50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,2.786045,,,,,,,,,,,,42a62524-c625-4d79-a3f7-be5fe7b582f3,50,,,"[47.3, 29.4]",3930182,0,,,,,0.40429118,,Right Foot,,,,"[87.5, 46.6]",High Pass,,43.72505,,Incomplete,,Alexander Hartmann Bah,24547.0,,,,,,,1,From Kick Off,Jannik Vestergaard,8815.0,Center Back,2,Denmark,776,"['3bfd0bc7-4d09-4a95-8c0c-e9fd1ba38dee', 'e5d496a6-0e4d-41f2-8d4b-8465bf9bb74d']",43,,,,,,,,,,,,,,,,Denmark,776,00:00:43.455,Pass,,,,,,,47.3,29.4,87.5,46.6,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,1.774125,,,,,,,,,,,,3bfd0bc7-4d09-4a95-8c0c-e9fd1ba38dee,52,,,"[32.6, 33.5]",3930182,0,,,,,-0.3610053,,Head,,,,"[42.4, 29.8]",High Pass,,10.475209,,Incomplete,,Saša Lukić,6687.0,,,,,,Recovery,1,From Kick Off,Strahinja Pavlović,27719.0,Left Center Back,2,Denmark,776,"['09eee907-78c1-4878-b8de-5ea9aba944b9', '42a62524-c625-4d79-a3f7-be5fe7b582f3', '85b46de3-2da5-48d4-9cab-2f3ef5a9e5fb']",46,,,,,,,,,,,,,,,,Serbia,786,00:00:46.241,Pass,,,,,,,32.6,33.5,42.4,29.8,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,1.626469,,,,,,,,,,,,09eee907-78c1-4878-b8de-5ea9aba944b9,55,,,"[77.7, 50.3]",3930182,0,,,,True,0.17722538,,,,,,"[84.4, 51.5]",Low Pass,,6.8066144,,,,Alexander Hartmann Bah,24547.0,,,,,,Recovery,1,From Kick Off,Jonas Older Wind,21261.0,Right Attacking Midfield,2,Denmark,776,"['3bfd0bc7-4d09-4a95-8c0c-e9fd1ba38dee', '9d37c1c1-bf3d-4439-983b-cf61725d83e4', 'b82036aa-5fb5-41de-98fe-c3f5d67fa71f']",48,,,,,,,,,,,,,,,,Denmark,776,00:00:48.015,Pass,True,,,,,,77.7,50.3,84.4,51.5,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,1.276033,,,,,,,,,,,,86b75da4-4766-4b5c-a0ae-d72b2ef6f17c,58,,,"[83.8, 50.9]",3930182,0,,,,,-2.5488954,,Head,,,,"[78.9, 47.6]",Low Pass,,5.9076223,,,,Morten Hjulmand,8621.0,,,,,,,1,From Kick Off,Alexander Hartmann Bah,24547.0,Right Wing Back,2,Denmark,776,"['6c764978-41c6-4169-bc8c-695753f9251c', 'e1757b51-b9c3-46fa-989b-9687931b87e5']",50,,,,,,,,,,,,,,,,Denmark,776,00:00:50.144,Pass,True,,,,,,83.8,50.9,78.9,47.6,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,0.277831,,,,,,,,,,,,876fe869-e65e-4382-897d-8d3c45a07739,61,,,"[78.9, 47.6]",3930182,0,,,,,0.0,,Right Foot,,,,"[84.7, 47.6]",Ground Pass,,5.8,,,,Christian Dannemann Eriksen,3043.0,,,,,,,1,From Kick Off,Morten Hjulmand,8621.0,Right Defensive Midfield,2,Denmark,776,['1d05ca29-0036-48d1-be77-23e1e1ded653'],51,,,,,,,,,,,,,,,,Denmark,776,00:00:51.463,Pass,,,,,,,78.9,47.6,84.7,47.6,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,0.540867,,,,,,,,,,,,6e5fc5fd-6cbe-4101-b061-e8f0c2a76d69,64,,,"[84.7, 47.6]",3930182,0,,,,,-0.30047718,,No Touch,,,,"[91.8, 45.4]",Ground Pass,,7.4330344,True,,,Rasmus Winther Højlund,51672.0,,,,,,,1,From Kick Off,Christian Dannemann Eriksen,3043.0,Left Attacking Midfield,2,Denmark,776,['79627402-0ba4-4951-a074-49f0046889a6'],51,,,,,,,,,,,,,,,,Denmark,776,00:00:51.779,Pass,,,,,,,84.7,47.6,91.8,45.4,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,2.413668,,,,,,,,,,,,cc1ad62f-8469-48e9-8aa4-cac7029b4a70,70,,,"[22.5, 49.1]",3930182,0,,,,,-0.47024506,,Right Foot,,,,"[64.8, 27.6]",High Pass,,47.450394,,Incomplete,,Aleksandar Mitrović,4269.0,,,,,,Recovery,1,From Kick Off,Srđan Mijailović,52089.0,Right Wing Back,2,Denmark,776,"['010374ec-83dd-4217-b956-251594191732', 'ae27f594-5c73-4d3f-8b92-1fd0a1069fad']",55,,,,,,,,,,,,,,,,Serbia,786,00:00:55.574,Pass,,,,,,,22.5,49.1,64.8,27.6,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,2.178225,,,,,,,,,,,,ae27f594-5c73-4d3f-8b92-1fd0a1069fad,73,,,"[55.3, 52.5]",3930182,0,,,,True,-1.5300949,,,,,,"[56.2, 30.4]",Low Pass,,22.118319,,,,Andreas Christensen,3959.0,,,,,,Recovery,1,From Kick Off,Joachim Andersen,8247.0,Right Center Back,2,Denmark,776,"['a25f4172-4959-4ebf-903b-02bbb806facf', 'ad3b97e9-1861-421e-a2ec-74bea819878b', 'cc1ad62f-8469-48e9-8aa4-cac7029b4a70']",57,,,,,,,,,,,,,,,,Denmark,776,00:00:57.987,Pass,True,,,,,,55.3,52.5,56.2,30.4,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,1.083005,,,,,,,,,,,,01d67767-8746-4d71-87bc-b042c9bc13e2,76,,,"[56.2, 30.4]",3930182,1,,,,,2.6082904,,Right Foot,,,,"[47.9, 35.3]",Ground Pass,,9.638465,,,,Jannik Vestergaard,8815.0,,,,,,,1,From Kick Off,Andreas Christensen,3959.0,Left Center Back,2,Denmark,776,['6730a11c-ddc6-471f-8ffa-44bffc402356'],0,,,,,,,,,,,,,,,,Denmark,776,00:01:00.214,Pass,,,,,,,56.2,30.4,47.9,35.3,Denmark vs Serbia,Denmark,Serbia
,,,,,,,,,,,,,,,,,,0.646143,,,,,,,,,,,,8080fd85-2864-40d6-ab49-d50896bf7dc7,79,,,"[47.9, 35.3]",3930182,1,,,,,0.14888994,,Right Foot,,,,"[55.9, 36.5]",Ground Pass,,8.089499,,,,Pierre-Emile Højbjerg,3570.0,,,,,,,1,From Kick Off,Jannik Vestergaard,8815.0,Center Back,2,Denmark,776,['e160a592-208d-4fab-9918-6dfa58bf634b'],1,,,,,,,,,,,,,,,,Denmark,776,00:01:01.323,Pass,,,,,,,47.9,35.3,55.9,36.5,Denmark vs Serbia,Denmark,Serbia
