50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,"[68.3, 55.8]",,,,,,,,,,,,,2.941417,,,,,,,,,,,a1f4b991-1698-4dfc-8e6e-a2e11e2147ed,3200,,,"[69.3, 65.5]",3938639,73,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Anzor Mekvabishvili,264017.0,Right Defensive Midfield,122,Georgia,2138,"['3ccf9fad-c42b-4229-bb90-27106bdb1168', '7b098a13-d549-467e-9383-a72c93d03ebe']",40,,,,,,,,,,,,,,,,,,Georgia,2138,00:28:40.734,Carry,,,,,,,69.3,65.5,68.3,55.8,Turkey vs Georgia,Turkey,Georgia
,,,,,"[54.4, 41.1]",,,,,,,,,,,,,1.217883,,,,,,,,,,,6783dc99-1918-435b-b924-a5a46ea65794,3203,,,"[54.4, 41.1]",3938639,73,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Guram Kashia,7839.0,Center Back,122,Georgia,2138,"['9a4d91e3-42e0-4a4d-a0f0-993cc5234d7a', 'fb80e7b4-11b0-4b02-8b6e-03b6596e47ac']",45,,,,,,,,,,,,,,,,,,Georgia,2138,00:28:45.105,Carry,,,,,,,54.4,41.1,54.4,41.1,Turkey vs Georgia,Turkey,Georgia
,,,,,"[54.6, 76.5]",,,,,,,,,,,,,1.835192,,,,,,,,,,,c2a56f8e-c5ce-4f83-94ef-33e86e54afef,3206,,,"[54.8, 71.8]",3938639,73,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Solomon Kverkvelia,16005.0,Right Center Back,122,Georgia,2138,"['8d2da25f-ca6f-4b43-9a97-5ec2b72be218', 'a15e8e05-a19f-4f48-87e6-4c95eaeabbcb']",48,,,,,,,,,,,,,,,,,,Georgia,2138,00:28:48.067,Carry,,,,,,,54.8,71.8,54.6,76.5,Turkey vs Georgia,Turkey,Georgia
,,,,,"[69.5, 77.5]",,,,,,,,,,,,,1.792039,,,,,,,,,,,75d9880d-8ad2-41d3-9301-cd2666fcbe4c,3209,,,"[64.3, 78.0]",3938639,73,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Otar Kakabadze,25036.0,Right Wing Back,122,Georgia,2138,"['6497a950-7a1a-490d-9342-1b8d265bd924', 'abdb687f-4a9a-4c2b-bc95-39db36ca57b9']",50,,,,,,,,,,,,,,,,,,Georgia,2138,00:28:50.738,Carry,,,,,,,64.3,78.0,69.5,77.5,Turkey vs Georgia,Turkey,Georgia
,,,,,"[14.2, 2.3]",,,,,,,,,,,,,1.380589,,,,,,,,,,,e7245e12-a03c-40b6-9ea6-a62a5a7ae53c,3214,,,"[14.4, 3.0]",3938639,73,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ferdi Erenay Kadıoğlu,30438.0,Left Back,123,Turkey,909,"['4e4b8149-67e9-4276-9532-d60a7cfe06d1', '9aac559c-2775-42b3-bb85-878dc43375c3', 'd0d37887-a572-470f-9f48-f7acc1530bec']",57,,,,,,,,,,,,,,,,,,Turkey,909,00:28:57.872,Carry,True,,,,,,14.4,3.0,14.2,2.3,Turkey vs Georgia,Turkey,Georgia
,,,,,"[9.4, 13.7]",,,,,,,,,,,,,0.487493,,,,,,,,,,,e5bdafd3-2484-4008-baaa-8266072886a0,3218,,,"[9.5, 13.5]",3938639,74,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Abdülkerim Bardakcı,48383.0,Left Center Back,123,Turkey,909,"['43215abd-9148-4378-a3bd-2a1157913092', 'aaa6d259-be0a-410a-9217-ab42dac89aae']",0,,,,,,,,,,,,,,,,,,Turkey,909,00:29:00.124,Carry,,,,,,,9.5,13.5,9.4,13.7,Turkey vs Georgia,Turkey,Georgia
,,,,,"[22.0, 18.5]",,,,,,,,,,,,,2.303749,,,,,,,,,,,30e37661-08ae-49e0-a4a0-ad93befd7c08,3223,,,"[25.8, 30.7]",3938639,74,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kaan Ayhan,12293.0,Right Defensive Midfield,123,Turkey,909,"['0558455c-38a9-4c89-b0f9-e4abafa899c2', '5cbcdbef-5ab8-4d79-b44f-a3d323579705']",2,,,,,,,,,,,,,,,,,,Turkey,909,00:29:02.378,Carry,,,,,,,25.8,30.7,22.0,18.5,Turkey vs Georgia,Turkey,Georgia
,,,,,"[20.6, 4.7]",,,,,,,,,,,,,0.627012,,,,,,,,,,,8251df0e-74e1-41b3-8bb1-5337265f2071,3227,,,"[20.8, 3.3]",3938639,74,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ferdi Erenay Kadıoğlu,30438.0,Left Back,123,Turkey,909,"['1bdc5330-2be5-4960-924b-2c623148d847', '3519d840-6527-4274-90b9-46f0e01865a7', 'f0ee3def-89c7-477b-bedd-a7ac872ece62']",5,,,,,,,,,,,,,,,,,,Turkey,909,00:29:05.478,Carry,True,,,,,,20.8,3.3,20.6,4.7,Turkey vs Georgia,Turkey,Georgia
,,,,,"[105.7, 72.8]",,,,,,,,,,,,,1.379554,,,,,,,,,,,8423ba40-f6ff-4f4c-95bd-5e50e3451c55,3230,,,"[99.5, 75.4]",3938639,74,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Zuriko Davitashvili,44183.0,Right Wing,124,Georgia,2138,"['33152326-8dcd-4532-8327-b934b7c46f61', 'bacb63da-c45e-49a8-9d3b-847d67e35f72', 'ca9e19de-8636-4950-b06b-15f2022c0016']",6,,,,,,,,,,,,,,,,,,Georgia,2138,00:29:06.105,Carry,True,,,,,,99.5,75.4,105.7,72.8,Turkey vs Georgia,Turkey,Georgia
,,,,,"[118.7, 21.5]",,,,,,,,,,,,,1.486264,,,,,,,,,,,2101de4a-98a7-44fb-9295-860233eba595,3242,,,"[113.0, 22.6]",3938639,74,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Khvicha Kvaratskhelia,38229.0,Left Wing,125,Georgia,2138,"['0b8bfe8d-54fc-4c5e-a0d1-8fe6a3c80d76', 'd4766dbd-f587-4f83-96b9-6be15a0d0557']",33,,,,,,,,,,,,,,,,,,Georgia,2138,00:29:33.047,Carry,,,,,,,113.0,22.6,118.7,21.5,Turkey vs Georgia,Turkey,Georgia
