50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,2.433054,,,,,,,,,,,,f9d74207-dfe6-4cb6-a20c-63e3c1a469d4,48,,,"[50.1, 15.7]",3941019,0,,,,1.4907078,,Right Foot,,,"[53.8, 61.8]",Ground Pass,,46.24824,,,Jules Koundé,4445.0,,True,,,,1,From Kick Off,William Saliba,17592.0,Left Center Back,2,France,771,['576ab476-fc82-4a53-8cca-0d7c7b471546'],38,,,,,,,,,,,,,,,,France,771,00:00:38.255,Pass,,,,,,,50.1,15.7,53.8,61.8,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,1.537436,,,,,,,,,,,,317d1656-bb63-4c9e-a0f3-4a05e28c5cf8,51,,,"[54.7, 61.6]",3941019,0,,,,0.81835324,,Right Foot,,,"[67.9, 75.7]",Ground Pass,,19.314503,,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Jules Koundé,4445.0,Right Back,2,France,771,['3f1fcce2-afe1-4419-8982-29d55a002db3'],41,,,,,,,,,,,,,,,,France,771,00:00:41.114,Pass,,,,,,,54.7,61.6,67.9,75.7,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,1.028298,,,,,,,,,,,,aaa31b01-5883-470e-943c-61b63500faa5,55,,,"[68.9, 75.6]",3941019,0,,,,-1.9552449,,Left Foot,,,"[63.6, 62.5]",Ground Pass,,14.131525,,,N'Golo Kanté,3961.0,,,,,,1,From Kick Off,Antoine Griezmann,5487.0,Right Wing,2,France,771,"['39ea7349-0baa-45da-9423-f7d47f3ccfb6', '4ea8f22d-3473-4ae3-ac98-1e9d67f4de34']",42,,,,,,,,,,,,,,,,France,771,00:00:42.837,Pass,True,,,,,,68.9,75.6,63.6,62.5,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,0.857086,,,,,,,,,,,,d9deee84-334b-4c36-8b7c-7524de782703,59,,,"[66.4, 60.2]",3941019,0,,,,-0.4549142,,Left Foot,,,"[75.6, 55.7]",Ground Pass,,10.241582,,,Marcus Thuram,2972.0,,,,,,1,From Kick Off,N'Golo Kanté,3961.0,Right Center Midfield,2,France,771,"['0376998e-c183-47f0-b401-98e677e87e72', '4f88d8c9-4656-4b0d-b243-26c0c612b5cb']",45,,,,,,,,,,,,,,,,France,771,00:00:45.106,Pass,True,,,,,,66.4,60.2,75.6,55.7,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1d1915d6-2fab-42ab-bb6f-97def3c3bb43,69,,,"[73.4, 70.3]",3941019,0,,,,0.22849664,,Right Foot,,,"[86.3, 73.3]",Ground Pass,,13.244244,,,Antoine Griezmann,5487.0,,,,,Recovery,1,From Kick Off,Jules Koundé,4445.0,Right Back,2,France,771,['0c0e2997-7497-4454-b31c-e1d4c1ea445b'],49,,,,,,,,,,,,,,,,France,771,00:00:49.309,Pass,,,,,,,73.4,70.3,86.3,73.3,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,0.910754,,,,,,,,,,,,6f536862-1d9f-41b9-8da6-f072b1d36341,73,,,"[91.2, 67.7]",3941019,0,,,,-1.6957957,,Left Foot,,,"[88.8, 48.6]",Ground Pass,,19.250195,,,Adrien Rabiot,3026.0,,,,,,1,From Kick Off,Antoine Griezmann,5487.0,Right Wing,2,France,771,['44b27ef0-c66f-45d1-a0c5-24779851754b'],52,,,,,,,,,,,,,,,,France,771,00:00:52.048,Pass,,,,,,,91.2,67.7,88.8,48.6,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,0.748456,,,,,,,,,,,,a5b8076f-eb7d-421b-abfc-6b0cb80d383b,76,,,"[89.0, 49.2]",3941019,0,,,,1.5707964,,Left Foot,,,"[89.0, 56.1]",Ground Pass,,6.9,,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Adrien Rabiot,3026.0,Left Center Midfield,2,France,771,['b3d85e2f-a5ff-4761-9c2c-237ad8386d98'],53,,,,,,,,,,,,,,,,France,771,00:00:53.120,Pass,,,,,,,89.0,49.2,89.0,56.1,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,1.497652,,,,,,,,,,,,67eaf0e7-8199-46c1-86b9-549aeb9ac97a,79,,,"[88.8, 56.1]",3941019,0,,,,-1.7799376,,Right Foot,,,"[83.6, 31.6]",Ground Pass,,25.045757,,,Theo Bernard François Hernández,6704.0,,,,,,1,From Kick Off,Antoine Griezmann,5487.0,Right Wing,2,France,771,['07b935e2-1133-4095-9702-f4e68c935ba5'],53,,,,,,,,,,,,,,,,France,771,00:00:53.953,Pass,,,,,,,88.8,56.1,83.6,31.6,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,0.728874,,,,,,,,,,,,01631148-033b-430b-acdd-78167e0ca32f,82,,,"[84.5, 30.7]",3941019,0,,,,-0.8960554,,Left Foot,,,"[96.9, 15.2]",Ground Pass,,19.849686,,,Kylian Mbappé Lottin,3009.0,,,,,,1,From Kick Off,Theo Bernard François Hernández,6704.0,Left Back,2,France,771,['705a22ab-6e94-4ccc-a9a8-0e6cbf8c1ddb'],56,,,,,,,,,,,,,,,,France,771,00:00:56.692,Pass,,,,,,,84.5,30.7,96.9,15.2,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,1.110463,,,,,,,,,,,,f928b719-d9a5-481e-a41d-3a0400dfb51d,86,,,"[104.0, 22.0]",3941019,1,,,,-2.7985687,,Right Foot,,,"[94.2, 18.5]",Ground Pass,,10.406248,,,Aurélien Djani Tchouaméni,10481.0,,,,,,1,From Kick Off,Kylian Mbappé Lottin,3009.0,Left Wing,2,France,771,"['477dd854-38b2-4aa9-95f0-62ca3bc018ff', 'd947fb39-f1bc-4c67-87d1-1d83a60f8d3d']",3,,,,,,,,,,,,,,,,France,771,00:01:03.215,Pass,True,,,,,,104.0,22.0,94.2,18.5,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,1.103319,,,,,,,,,,,,c0c813de-9508-4f6c-8caa-9f9edb73de14,89,,,"[94.0, 18.5]",3941019,1,,,,1.077139,3de5e2df-ddef-4212-8713-df14df022c8a,Right Foot,,,"[105.3, 39.5]",High Pass,,23.847221,,,Adrien Rabiot,3026.0,True,,,,,1,From Kick Off,Aurélien Djani Tchouaméni,10481.0,Center Defensive Midfield,2,France,771,['9c466473-afaa-414c-a9cd-9a5d53d117f4'],4,,,,,,,,,,,,,,,,France,771,00:01:04.507,Pass,,,,,,,94.0,18.5,105.3,39.5,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,1.498579,,,,,,,,,,,,9cdbc200-2e2b-4702-b876-4352a830c880,94,,,"[7.0, 46.6]",3941019,1,,,,-2.2424026,,Right Foot,,,"[3.9, 42.7]",Ground Pass,,4.9819674,,,Koen Casteels,8240.0,,,,,Goal Kick,1,From Goal Kick,Wout Faes,8854.0,Right Center Back,3,Belgium,782,['f6a8a7bc-d1cd-494b-a881-36bb7dafb820'],29,,,,,,,,,,,,,,,,Belgium,782,00:01:29.842,Pass,,,,,,,7.0,46.6,3.9,42.7,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,1.245206,,,,,,,,,,,,95b3724a-6b25-4c70-b85d-0454ecd3d9bf,97,,,"[11.7, 37.0]",3941019,1,,,,0.5200661,,Left Foot,,,"[23.4, 43.7]",Ground Pass,,13.482581,,,Amadou Onana,48347.0,,,,,,1,From Goal Kick,Koen Casteels,8240.0,Goalkeeper,3,Belgium,782,['947bf8c8-33d3-493a-827b-397d89133a92'],40,,,,,,,,,,,,,,,,Belgium,782,00:01:40.708,Pass,,,,,,,11.7,37.0,23.4,43.7,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,1.797859,,,,,,,,,,,,547e6843-dfea-4f2c-abc3-a42513582591,100,,,"[24.1, 43.7]",3941019,1,,,,-1.8739731,,Right Foot,,,"[18.0, 24.2]",Ground Pass,,20.431837,,,Jan Vertonghen,3077.0,,,,,,1,From Goal Kick,Amadou Onana,48347.0,Right Defensive Midfield,3,Belgium,782,['e6ff2d21-526b-4274-9ac8-ea92c4fd84ee'],44,,,,,,,,,,,,,,,,Belgium,782,00:01:44.686,Pass,,,,,,,24.1,43.7,18.0,24.2,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,1.152075,,,,,,,,,,,,b2bcb71a-85a0-4c90-8bc7-8816caa1adac,103,,,"[19.3, 23.5]",3941019,1,,,,1.2506255,,Left Foot,,,"[25.6, 42.5]",Ground Pass,,20.017242,,,Wout Faes,8854.0,,,,,,1,From Goal Kick,Jan Vertonghen,3077.0,Left Center Back,3,Belgium,782,['8af0212b-edaf-45ee-8b3c-305d95b5877f'],48,,,,,,,,,,,,,,,,Belgium,782,00:01:48.606,Pass,,,,,,,19.3,23.5,25.6,42.5,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,2.177929,,,,,,,,,,,,726c72dd-f2b0-48af-a57e-cc95a712dc7d,106,,,"[29.6, 43.5]",3941019,1,,,,-1.6993355,,Right Foot,,,"[27.7, 28.8]",Ground Pass,,14.822281,,,Jan Vertonghen,3077.0,,,,,,1,From Goal Kick,Wout Faes,8854.0,Right Center Back,3,Belgium,782,['1ee1c623-8eec-4c47-81a9-a0c3c85aaa2c'],54,,,,,,,,,,,,,,,,Belgium,782,00:01:54.434,Pass,,,,,,,29.6,43.5,27.7,28.8,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,1.261425,,,,,,,,,,,,1946a261-c99a-4ebb-a40a-74edd0196ad6,109,,,"[29.4, 28.8]",3941019,1,,,,1.5707964,,Left Foot,,,"[29.4, 47.5]",Ground Pass,,18.7,,,Wout Faes,8854.0,,,,,,1,From Goal Kick,Jan Vertonghen,3077.0,Left Center Back,3,Belgium,782,['4e15ee3e-0aca-48b9-afeb-8ae54d6e34e3'],58,,,,,,,,,,,,,,,,Belgium,782,00:01:58.814,Pass,,,,,,,29.4,28.8,29.4,47.5,France vs Belgium,France,Belgium
,,,,,,,,,,,,,,,,0.997033,,,,,,,,,,,,bbbc778d-7cd4-4f7f-95e4-7ccad40c8017,112,,,"[29.4, 47.5]",3941019,2,,,,-0.22290023,,Right Foot,,,"[36.9, 45.8]",Ground Pass,,7.6902537,,,Amadou Onana,48347.0,,,,,,1,From Goal Kick,Wout Faes,8854.0,Right Center Back,3,Belgium,782,['571ce138-8b83-4bae-b8f0-ce7be2523259'],0,,,,,,,,,,,,,,,,Belgium,782,00:02:00.779,Pass,,,,,,,29.4,47.5,36.9,45.8,France vs Belgium,France,Belgium
