50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,1.90829,,,,,,,,,,,,,,,303ef905-9bfe-4569-bb32-d61fa7a3d156,64,,"[78.3, 75.4]",3930183,0,,,,-2.2602928,,Right Foot,,,"[58.1, 50.9]",,Ground Pass,,31.753582,,,,,Milan Škriniar,6990.0,,,,,,1,From Throw In,Denis Vavro,16298.0,Right Center Back,4,Slovakia,908,['dba1275e-5031-4a7e-8b67-860ff8815e69'],51,,,,,,,,,,,,,,Slovakia,908,00:00:51.359,Pass,,,,,,,78.3,75.4,58.1,50.9,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,,,,,,,1.694,,,,,,,,,,,,,,,475e0c8c-56e6-473a-a12d-cccd135e1962,67,,"[58.1, 50.1]",3930183,0,,,,1.3152472,,Left Foot,,,"[61.0, 61.2]",,Ground Pass,,11.472576,,,,,Denis Vavro,16298.0,,,,,,1,From Throw In,Milan Škriniar,6990.0,Left Center Back,4,Slovakia,908,['88ec466a-c083-4695-9eac-3165a1f0846c'],55,,,,,,,,,,,,,,Slovakia,908,00:00:55.034,Pass,,,,,,,58.1,50.1,61.0,61.2,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,,,,,,,0.918109,,,,,,,,,,,,,,,98129fd1-c0da-4ab9-b21b-e90ae7a6c042,70,,"[63.4, 62.2]",3930183,0,,,,-0.318217,,Right Foot,,,"[71.9, 59.4]",,Ground Pass,,8.949302,,,,,Juraj Kucka,10919.0,,,,,,1,From Throw In,Denis Vavro,16298.0,Right Center Back,4,Slovakia,908,['d103c71a-3d90-441f-bec5-027c0dae34df'],58,,,,,,,,,,,,,,Slovakia,908,00:00:58.968,Pass,,,,,,,63.4,62.2,71.9,59.4,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,,,,,,,1.312804,,,,,,,,,,,,,,,dc80114b-846b-41bd-8432-314e5f265eef,73,,"[72.6, 59.3]",3930183,1,,,,-2.1613305,,Left Foot,,,"[66.5, 50.2]",,Ground Pass,,10.955364,,,,,Stanislav Lobotka,6798.0,,,,,,1,From Throw In,Juraj Kucka,10919.0,Right Center Midfield,4,Slovakia,908,['4f145305-b74f-4389-9563-951d4478df5a'],0,,,,,,,,,,,,,,Slovakia,908,00:01:00.433,Pass,,,,,,,72.6,59.3,66.5,50.2,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,,,,,,,0.862302,,,,,,,,,,,,,,,3935e516-b085-4ea9-93bd-1f8bad939177,76,,"[65.8, 45.6]",3930183,1,,,,-1.4091749,,Right Foot,,,"[68.8, 27.2]",,Ground Pass,,18.642962,,,,,Ondrej Duda,8967.0,,,,,,1,From Throw In,Stanislav Lobotka,6798.0,Center Defensive Midfield,4,Slovakia,908,['a0a58804-b51d-4998-9ac9-bae6c9da03e0'],2,,,,,,,,,,,,,,Slovakia,908,00:01:02.673,Pass,,,,,,,65.8,45.6,68.8,27.2,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,,,,,,,1.225261,,,,,,,,,,,,,,,91a650aa-4655-4260-9197-a93145e3e443,80,,"[67.6, 26.9]",3930183,1,,,,3.1172073,,Right Foot,,,"[55.3, 27.2]",,Ground Pass,,12.303658,,,,,Milan Škriniar,6990.0,,,,,,1,From Throw In,Ondrej Duda,8967.0,Left Center Midfield,4,Slovakia,908,['6cee400f-11f2-4ae6-b39f-56a97e54e2a2'],4,,,,,,,,,,,,,,Slovakia,908,00:01:04.316,Pass,,,,,,,67.6,26.9,55.3,27.2,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,,,,,,,1.543609,,,,,,,,,,,,,,,1e84e7a3-67c8-462f-aa4f-0d4ab4f97b90,83,,"[55.3, 27.4]",3930183,1,,,,-0.99204415,,Right Foot,,,"[71.7, 2.3]",,Ground Pass,,29.982828,,,,,Dávid Hancko,16879.0,,,,,,1,From Throw In,Milan Škriniar,6990.0,Left Center Back,4,Slovakia,908,['3649779a-8220-4573-ac08-9c48ce8cd8fd'],5,,,,,,,,,,,,,,Slovakia,908,00:01:05.581,Pass,,,,,,,55.3,27.4,71.7,2.3,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,,,,,,,1.474848,,,,,,,,,,,,,,,616bbb8e-3a98-41c6-af3e-ceeaad22f3bd,86,,"[64.3, 1.6]",3930183,1,,,,2.3948848,,Left Foot,,,"[48.2, 16.5]",,Ground Pass,,21.936728,,,,,Milan Škriniar,6990.0,,,,,,1,From Throw In,Dávid Hancko,16879.0,Left Back,4,Slovakia,908,['6b65b138-5980-403c-9de8-f5746bf298a4'],8,,,,,,,,,,,,,,Slovakia,908,00:01:08.252,Pass,,,,,,,64.3,1.6,48.2,16.5,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,,,,,,,1.181024,,,,,,,,,,,,,,,06cd9479-1244-45f0-8932-4522ddbd5003,89,,"[48.5, 17.0]",3930183,1,,,,-0.6576068,,Right Foot,,,"[58.6, 9.2]",,Ground Pass,,12.76127,,,,,Ondrej Duda,8967.0,,,,,,1,From Throw In,Milan Škriniar,6990.0,Left Center Back,4,Slovakia,908,['3e5ec989-4794-4f7c-a463-60d611f5a9dc'],9,,,,,,,,,,,,,,Slovakia,908,00:01:09.767,Pass,,,,,,,48.5,17.0,58.6,9.2,Slovakia vs Romania,Slovakia,Romania
,,,,,,,,,,,,,,,,,,2.535068,,,,,,,,,,,,,,,d257b4ed-d999-49e1-b99d-a022598a796c,91,,"[56.5, 11.6]",3930183,1,,,,1.94013,,Right Foot,,,"[43.3, 45.7]",,Ground Pass,,36.565693,,,,,Denis Vavro,16298.0,,,,,,1,From Throw In,Ondrej Duda,8967.0,Left Center Midfield,4,Slovakia,908,['9e6583a3-aac5-49c8-82fc-d4f86b4cf64d'],10,,,,,,,,,,,,,,Slovakia,908,00:01:10.948,Pass,,,,,,,56.5,11.6,43.3,45.7,Slovakia vs Romania,Slovakia,Romania
