50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,1.636782,,,,,,,,,,,,,85d649f3-c80d-447a-b292-dab7d3669090,54,,"[56.3, 55.0]",3930176,0,,,,1.1867217,,Right Foot,,,,"[64.1, 74.3]",,Ground Pass,,20.81658,,,Joshua Kimmich,5579.0,,,,,,1,From Free Kick,Robert Andrich,9195.0,Right Defensive Midfield,3,Germany,770,['623762bc-1bd5-446e-89dd-eea841c40ca3'],46,,,,,,,,,,,,,,,Germany,770,00:00:46.766,Pass,,,,,,,56.3,55.0,64.1,74.3,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,1.490943,,,,,,,,,,,,,c679d999-abad-4db8-8bf8-ec516fbf8386,57,,"[64.0, 74.6]",3930176,0,,,,0.22768933,,Right Foot,,,,"[80.4, 78.4]",,Ground Pass,,16.834488,,,Kai Havertz,8966.0,,,,,,1,From Free Kick,Joshua Kimmich,5579.0,Right Back,3,Germany,770,['1826c510-0cc0-4422-be29-2e04c13d6068'],49,,,,,,,,,,,,,,,Germany,770,00:00:49.199,Pass,,,,,,,64.0,74.6,80.4,78.4,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,0.96679,,,,,,,,,,,,,06b1d8c0-9cac-4289-99e6-66cd23b49a21,64,,"[74.5, 76.4]",3930176,0,,,,2.953371,,Left Foot,,,,"[64.0, 78.4]",,Ground Pass,,10.688779,,,Joshua Kimmich,5579.0,,,,,,1,From Free Kick,Kai Havertz,8966.0,Center Forward,3,Germany,770,"['aba89f4c-642c-44a3-affd-6d8757c58b32', 'eedb955f-b91c-40e9-b6ba-bfe5c6c0e67a']",52,,,,,,,,,,,,,,,Germany,770,00:00:52.907,Pass,True,,,,,,74.5,76.4,64.0,78.4,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,1.777527,,,,,,,,,,,,,91361cfa-7379-4ba5-9754-e9a6aaf3a66b,67,,"[64.0, 78.4]",3930176,0,,,,-2.6891177,,Right Foot,,,,"[49.6, 71.4]",,Ground Pass,,16.011246,,,Antonio Rüdiger,3167.0,,,,,,1,From Free Kick,Joshua Kimmich,5579.0,Right Back,3,Germany,770,['ab084394-78d0-4f08-97bc-bb331e4bef22'],53,,,,,,,,,,,,,,,Germany,770,00:00:53.928,Pass,,,,,,,64.0,78.4,49.6,71.4,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,1.349047,,,,,,,,,,,,,495bb787-6842-4983-8c26-ae9b91b69457,70,,"[49.2, 70.2]",3930176,0,,,,0.5838704,,Left Foot,,,,"[60.4, 77.6]",,Ground Pass,,13.42386,,,Joshua Kimmich,5579.0,,,,,,1,From Free Kick,Antonio Rüdiger,3167.0,Right Center Back,3,Germany,770,['b96808c3-bded-4dbd-ba01-52e5d6f8ac1d'],58,,,,,,,,,,,,,,,Germany,770,00:00:58.374,Pass,,,,,,,49.2,70.2,60.4,77.6,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,2.298721,,,,,,,,,,,,,0fb4610e-4b11-4352-b999-c00bfe17e363,73,,"[59.3, 76.4]",3930176,1,,,,-2.4393358,,Right Foot,,,,"[46.3, 65.4]",,Ground Pass,,17.029387,,,Antonio Rüdiger,3167.0,,,,,,1,From Free Kick,Joshua Kimmich,5579.0,Right Back,3,Germany,770,['9b48172e-5e3c-4f01-8e4f-e5bc47062aca'],1,,,,,,,,,,,,,,,Germany,770,00:01:01.219,Pass,,,,,,,59.3,76.4,46.3,65.4,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,1.406292,,,,,,,,,,,,,8df4f7e4-9e7b-4b18-9003-eb207b7abf1f,76,,"[45.6, 65.1]",3930176,1,,,,1.2293439,,Left Foot,,,,"[49.9, 77.2]",,Ground Pass,,12.841339,,,Joshua Kimmich,5579.0,,,,,,1,From Free Kick,Antonio Rüdiger,3167.0,Right Center Back,3,Germany,770,['9e2644f4-8df8-4575-9e75-1f32349f8506'],6,,,,,,,,,,,,,,,Germany,770,00:01:06.052,Pass,,,,,,,45.6,65.1,49.9,77.2,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,1.885134,,,,,,,,,,,,,df0f25e1-adb7-4a64-bb60-6f666021de34,79,,"[40.8, 55.6]",3930176,1,,,,-2.1995926,,Right Foot,,,,"[29.6, 40.2]",,Ground Pass,,19.042059,,,Jonathan Tah,8221.0,,,,,,1,From Free Kick,Joshua Kimmich,5579.0,Right Back,3,Germany,770,['f52e5442-89a2-476c-95cb-947ad2bfd855'],11,,,,,,,,,,,,,,,Germany,770,00:01:11.336,Pass,,,,,,,40.8,55.6,29.6,40.2,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,1.407152,,,,,,,,,,,,,173a2a60-feb9-406d-844a-e7c8255d2c92,82,,"[34.8, 39.2]",3930176,1,,,,-1.472751,,Right Foot,,,,"[37.8, 8.7]",,Ground Pass,,30.647186,,,Toni Kroos,5574.0,,,,,,1,From Free Kick,Jonathan Tah,8221.0,Left Center Back,3,Germany,770,['138675c5-71be-4918-a3e1-692f016b9d0e'],14,,,,,,,,,,,,,,,Germany,770,00:01:14.149,Pass,,,,,,,34.8,39.2,37.8,8.7,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,1.611382,,,,,,,,,,,,,58337f46-925b-4819-b059-e52f9aa3925f,86,,"[38.4, 8.4]",3930176,1,,,,2.3880308,,Left Foot,,,,"[22.2, 23.6]",,Ground Pass,,22.214409,,,Jonathan Tah,8221.0,,,,,,1,From Free Kick,Toni Kroos,5574.0,Left Defensive Midfield,3,Germany,770,"['1b01239a-0aa0-44df-8aee-46b5a3361396', 'e0ecc59c-8bc1-440d-a23c-44c3ada52185']",16,,,,,,,,,,,,,,,Germany,770,00:01:16.452,Pass,True,,,,,,38.4,8.4,22.2,23.6,Switzerland vs Germany,Switzerland,Germany
