50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,1.522446,,,,,,,,,,,,,d37af538-e0f6-4142-af7e-9402108014a2,1977,,,"[69.0, 65.7]",3942752,55,,,,,-2.422214,,Right Foot,,,"[56.1, 54.4]",,Ground Pass,,17.149343,,,,Aurélien Djani Tchouaméni,10481.0,,,,,2,Regular Play,Jules Koundé,4445.0,Right Back,91,France,771,['3bfb1463-c707-4065-81b7-10c2cbad239c'],17,,,,,,,,,,,,,,,,France,771,00:10:17.993,Pass,,,,,,,69.0,65.7,56.1,54.4,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,2.034717,,,,,,,,,,,,,1c06e6a6-f3cc-4ecc-8e4b-d6ef33699171,1980,,,"[56.1, 54.4]",3942752,55,,,,,-1.6494012,,Right Foot,,,"[53.8, 25.2]",,Ground Pass,,29.290442,,,,William Saliba,17592.0,,,,,2,Regular Play,Aurélien Djani Tchouaméni,10481.0,Center Defensive Midfield,91,France,771,['681acff4-6f34-479b-a89b-3d9ffe25cf7a'],19,,,,,,,,,,,,,,,,France,771,00:10:19.918,Pass,,,,,,,56.1,54.4,53.8,25.2,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.066977,,,,,,,,,,,,,0e814f36-c422-437e-8582-685d3d4b0fe1,1983,,,"[84.8, 17.5]",3942752,55,,,,,0.94147867,,Right Foot,,,"[93.1, 28.9]",,Ground Pass,,14.1014185,,,,Randal Kolo Muani,22097.0,,,,,2,Regular Play,William Saliba,17592.0,Left Center Back,91,France,771,['c2fe2dde-3aa3-4274-aa42-058e20b8bba8'],29,,,,,,,,,,,,,,,,France,771,00:10:29.231,Pass,,,,,,,84.8,17.5,93.1,28.9,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,0.289969,,,,,,,,,,,,,61f7ca90-8cba-4d53-804f-e6d7f5497b7a,1987,,,"[92.2, 28.1]",3942752,55,,,,,-2.9441972,,Right Foot,,,"[90.2, 27.7]",,Ground Pass,,2.0396078,,Incomplete,,William Saliba,17592.0,,,,,2,Regular Play,Randal Kolo Muani,22097.0,Center Forward,91,France,771,"['80021d7c-29b8-48f9-8eee-78e585dee334', '9a73cff0-bc69-4370-934d-1f61de41a705', 'e80c5175-d69e-4d35-8bf5-418524f68e23']",30,,,,,,,,,,,,,,,,France,771,00:10:30.807,Pass,True,,,,,,92.2,28.1,90.2,27.7,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,0.794702,,,,,,,,,,,,,75c7f971-df39-4be1-a855-a715d939496b,1994,,,"[28.4, 54.4]",3942752,55,,,,,-3.018924,,Right Foot,,,"[21.1, 53.5]",,Ground Pass,,7.3552704,,,,José Ignacio Fernández Iglesias,5202.0,,,,,2,Regular Play,Rodrigo Hernández Cascante,6765.0,Right Defensive Midfield,92,Spain,772,['bd048e54-1132-4192-97b8-671e42dcd184'],32,,,,,,,,,,,,,,,,Spain,772,00:10:32.230,Pass,,,,,,,28.4,54.4,21.1,53.5,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,0.581531,,,,,,,,,,,,,1670b74c-2229-4cf4-aa30-465414870d11,1997,,,"[21.1, 53.5]",3942752,55,,,,,0.32175055,,Left Foot,,,"[27.7, 55.7]",,Ground Pass,,6.9570107,,,,Rodrigo Hernández Cascante,6765.0,,,,,2,Regular Play,José Ignacio Fernández Iglesias,5202.0,Right Center Back,92,Spain,772,['b9c50a51-50eb-446c-bf38-b4a677f649ff'],33,,,,,,,,,,,,,,,,Spain,772,00:10:33.527,Pass,,,,,,,21.1,53.5,27.7,55.7,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,0.794465,,,,,,,,,,,,,fc398a15-a711-46e9-a724-37d405bcc7b5,2000,,,"[27.7, 55.5]",3942752,55,,,,,-1.2106032,,Left Foot,,,"[30.6, 47.8]",,Ground Pass,,8.228001,,,,Fabián Ruiz Peña,6655.0,,,,,2,Regular Play,Rodrigo Hernández Cascante,6765.0,Right Defensive Midfield,92,Spain,772,['6e180bab-d259-431a-9cff-fd3957f19956'],34,,,,,,,,,,,,,,,,Spain,772,00:10:34.149,Pass,,,,,,,27.7,55.5,30.6,47.8,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,4.713988,,,,,,,,,,,,,76cd033f-30a2-40a4-baf2-d74c893b996a,2003,,,"[35.9, 43.7]",3942752,55,,,,,-0.27626342,,Left Foot,,,"[100.8, 25.3]",,Low Pass,,67.45792,,Incomplete,,Nicholas Williams Arthuer,68574.0,,,,,2,Regular Play,Fabián Ruiz Peña,6655.0,Left Defensive Midfield,92,Spain,772,"['8a01293e-cd9b-40ff-8cfa-be0984075337', 'a3705cf5-e356-493c-b2ec-e3a495eee700']",36,,,,,,,,,,,,,,,,Spain,772,00:10:36.625,Pass,,,,,,,35.9,43.7,100.8,25.3,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.231644,,,,,,,,,,,,,a3705cf5-e356-493c-b2ec-e3a495eee700,2006,,,"[19.3, 54.8]",3942752,55,,,,,-2.4636223,,Left Foot,,,"[8.0, 45.7]",,Ground Pass,,14.508618,,,,Mike Maignan,3761.0,,,,Recovery,2,Regular Play,Jules Koundé,4445.0,Right Back,93,France,771,"['76cd033f-30a2-40a4-baf2-d74c893b996a', '81421c48-6e70-4351-bd47-cd2c776a71fd', 'f90333ed-ead0-4184-8157-6e6afd11e9f8']",41,,,,,,,,,,,,,,,,France,771,00:10:41.339,Pass,True,,,,,,19.3,54.8,8.0,45.7,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.598958,,,,,,,,,,,,,6eeb1b65-5733-45d7-b83f-61e6391709c4,2008,,,"[8.0, 45.5]",3942752,55,,,,,0.2812322,,Right Foot,,,"[21.5, 49.4]",,Ground Pass,,14.052046,,,,Dayotchanculle Upamecano,8519.0,,,,,2,Regular Play,Mike Maignan,3761.0,Goalkeeper,93,France,771,"['81421c48-6e70-4351-bd47-cd2c776a71fd', '87a3174a-c811-46ce-91b5-9a06bb1fe186']",42,,,,,,,,,,,,,,,,France,771,00:10:42.571,Pass,True,,,,,,8.0,45.5,21.5,49.4,Spain vs France,Spain,France
