50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1eeea543-8d11-4a79-b5c8-6d5aea0f8fc4,285,,,"[42.7, 69.2]",3938638,6,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Denis Mihai Drăguş,31193.0,Center Forward,9,Romania,905,,32,,,,,,,,,,,,,,,,Romania,905,00:06:32.329,Ball Recovery,,,,,,,42.7,69.2,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,58967e24-963e-48b1-b670-7f9e38175584,319,,,"[91.5, 28.8]",3938638,6,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mykola Shaparenko,21294.0,Right Defensive Midfield,10,Ukraine,911,,56,,,,,,,,,,,,,,,,Ukraine,911,00:06:56.022,Ball Recovery,,,,,,,91.5,28.8,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1bb43c2c-ded3-4cb0-bcc8-c49fc7a7fa9c,353,,,"[38.1, 65.6]",3938638,7,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Denis Mihai Drăguş,31193.0,Center Forward,11,Romania,905,,26,,,,,,,,,,,,,,,,Romania,905,00:07:26.086,Ball Recovery,,,,,,,38.1,65.6,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ea103e43-593a-408f-bcb1-6e470ee4b94c,373,,,"[33.1, 9.6]",3938638,8,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Oleksandr Zinchenko,3575.0,Left Back,15,Ukraine,911,,24,,,,,,,,,,,,,,,,Ukraine,911,00:08:24.923,Ball Recovery,,,,,,,33.1,9.6,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d0cf4890-be02-41b5-95ca-0f0c8f757f1f,416,,,"[52.7, 56.7]",3938638,9,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Illia Zabarnyi,39136.0,Right Center Back,15,Ukraine,911,,4,,,,,,,,,,,,,,,,Ukraine,911,00:09:04.601,Ball Recovery,,,,,,,52.7,56.7,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1af122bf-6f1f-42ae-a55f-cd8bda16c2e1,437,,,"[74.4, 4.8]",3938638,9,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Oleksandr Zinchenko,3575.0,Left Back,17,Ukraine,911,['c4f199b3-5408-4cce-9c83-a30b7dceaae8'],44,,,,,,,,,,,,,,,,Ukraine,911,00:09:44.790,Ball Recovery,,,,,,,74.4,4.8,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5fa94bed-388d-432b-964c-553166ff69d4,525,,,"[49.1, 17.0]",3938638,11,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Illia Zabarnyi,39136.0,Right Center Back,21,Ukraine,911,,47,,,,,,,,,,,,,,,,Ukraine,911,00:11:47.737,Ball Recovery,,,,,,,49.1,17.0,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,baf2c8bf-7389-47f6-a01e-84c444ab25ad,592,,,"[3.6, 33.1]",3938638,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Florin Constantin Niţă,28242.0,Goalkeeper,24,Romania,905,,28,,,,,,,,,,,,,,,,Romania,905,00:13:28.618,Ball Recovery,,,,,,,3.6,33.1,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e69d1185-aef9-4372-afe8-9680269717cf,635,,,"[30.1, 10.2]",3938638,14,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Georgiy Sudakov,38975.0,Center Attacking Midfield,25,Ukraine,911,,28,,,,,,,,,,,,,,,,Ukraine,911,00:14:28.128,Ball Recovery,,,,,,,30.1,10.2,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5a56050f-ef4a-47a1-9cb7-2ff49df7c56a,703,,,"[45.7, 65.6]",3938638,15,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Denis Mihai Drăguş,31193.0,Center Forward,26,Romania,905,['e911669e-c407-4186-835a-8d4f24b5617b'],49,,,,,,,,,,,,,,,,Romania,905,00:15:49.105,Ball Recovery,,,,,,,45.7,65.6,,,Romania vs Ukraine,Romania,Ukraine
