50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,0.180406,,,,,,,,,,,,,,682fb639-9d67-4421-98ff-2609000f194f,58,,,"[104.2, 28.6]",3942382,0,,,,,0.6556956,,Right Foot,,,"[105.5, 29.6]",,Ground Pass,,1.6401219,Incomplete,Cody Mathès Gakpo,20750.0,,,,,,,1,From Throw In,Memphis Depay,2988.0,Center Forward,3,Netherlands,941,"['89e5b6b8-faaf-4065-a947-e2c4e0cd25ad', 'bf5329ea-1d11-4ffd-af81-f07afbb47abf', 'cf25e7a3-7e2f-4540-ac9e-f5d1de067647']",58,,,,,,,,,,,,,,,,,Netherlands,941,00:00:58.238,Pass,True,,,,,,104.2,28.6,105.5,29.6,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,3.329795,,,,,,,,,,,,,,fa2f92a2-246d-41cd-b009-f534ce953793,68,,,"[5.4, 45.9]",3942382,1,,True,,,-0.2814793,,Right Foot,,,"[55.2, 31.5]",,High Pass,,51.840137,Incomplete,Barış Alper Yılmaz,134209.0,,,,,,Goal Kick,1,From Goal Kick,Fehmi Mert Günok,30310.0,Goalkeeper,4,Turkey,909,"['94b50ea5-1391-4342-8526-9cff45ef62a2', 'a28494dd-0533-4413-92cc-fe8abfc7e8ef']",25,,,,,,,,,,,,,,,,,Turkey,909,00:01:25.245,Pass,,,,,,,5.4,45.9,55.2,31.5,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,1.322579,,,,,,,,,,,,,,94b50ea5-1391-4342-8526-9cff45ef62a2,70,,,"[64.9, 48.6]",3942382,1,,True,,,0.0,,Head,,,"[75.2, 48.6]",,High Pass,,10.3,Incomplete,,,,,,,,Recovery,1,From Goal Kick,Stefan de Vrij,7787.0,Right Center Back,4,Turkey,909,"['439522e2-905d-42eb-8bef-38fd79e54da7', 'fa2f92a2-246d-41cd-b009-f534ce953793']",28,,,,,,,,,,,,,,,,,Netherlands,941,00:01:28.575,Pass,,,,,,,64.9,48.6,75.2,48.6,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,2.642291,,,,,,,,,,,,,,439522e2-905d-42eb-8bef-38fd79e54da7,71,,,"[44.9, 31.5]",3942382,1,,,,,-0.11499197,,Head,,,"[77.8, 27.7]",,High Pass,,33.118725,Incomplete,Barış Alper Yılmaz,134209.0,,,,,,Recovery,1,From Goal Kick,Salih Özcan,9085.0,Right Defensive Midfield,4,Turkey,909,"['94b50ea5-1391-4342-8526-9cff45ef62a2', 'f05891d5-bc42-4b1b-a7b5-b83eaa12b0b1', 'f6a1555e-68df-4a03-b1f9-86923703ec67']",29,,,,,,,,,,,,,,,,,Turkey,909,00:01:29.898,Pass,,,,,,,44.9,31.5,77.8,27.7,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,2.996325,,,,,,,,,,,,,,f05891d5-bc42-4b1b-a7b5-b83eaa12b0b1,73,,,"[42.3, 52.4]",3942382,1,,,,,1.6789441,,Head,,,"[40.4, 69.9]",,High Pass,,17.60284,,Denzel Dumfries,8125.0,,,,,,Recovery,1,Regular Play,Virgil van Dijk,3669.0,Left Center Back,5,Netherlands,941,"['247f6a26-31bc-4a3b-b27c-9035e5e46e38', '439522e2-905d-42eb-8bef-38fd79e54da7']",32,,,,,,,,,,,,,,,,,Netherlands,941,00:01:32.540,Pass,,,,,,,42.3,52.4,40.4,69.9,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,0.84496,,,,,,,,,,,,,,b49b118d-0df0-4c7e-acb9-a9cdb095bb12,75,,,"[39.0, 69.5]",3942382,1,,,,,-1.8993495,,Head,,,"[37.5, 65.1]",,Low Pass,,4.648656,,Stefan de Vrij,7787.0,,,,,,,1,Regular Play,Denzel Dumfries,8125.0,Right Back,5,Netherlands,941,['f33977a9-e55f-4fbb-a2d2-6d3f8baaea5a'],35,,,,,,,,,,,,,,,,,Netherlands,941,00:01:35.576,Pass,,,,,,,39.0,69.5,37.5,65.1,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,1.728186,,,,,,,,,,,,,,418f9cd9-7dc5-49b7-8028-3e8d0544f7c5,78,,,"[35.3, 68.0]",3942382,1,,,,,1.8585043,,Right Foot,,,"[32.4, 77.8]",,Ground Pass,,10.220078,,Denzel Dumfries,8125.0,,,,,,,1,Regular Play,Stefan de Vrij,7787.0,Right Center Back,5,Netherlands,941,['83cfd4e6-a3bd-40d3-964f-f53d886f5615'],37,,,,,,,,,,,,,,,,,Netherlands,941,00:01:37.316,Pass,,,,,,,35.3,68.0,32.4,77.8,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,2.353841,,,,,,,,,,,,,,f937d8d5-6174-43c0-9513-f52e0f6cde55,80,,,"[32.4, 77.8]",3942382,1,,,,,-0.17670886,,Right Foot,,,"[80.0, 69.3]",,High Pass,,48.352974,Incomplete,Xavi Simons,39167.0,,,,,,,1,Regular Play,Denzel Dumfries,8125.0,Right Back,5,Netherlands,941,"['26807981-a2c4-4ff7-87cb-4da2b8ed9fff', '569954ec-b637-4632-abc8-808db17f6cbd']",39,,,,,,,,,,,,,,,,,Netherlands,941,00:01:39.044,Pass,,,,,,,32.4,77.8,80.0,69.3,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,2.424969,,,,,,,,,,,,,,569954ec-b637-4632-abc8-808db17f6cbd,82,,,"[40.1, 10.8]",3942382,1,,,,,-1.3185539,,Right Foot,,,"[42.6, 1.1]",,High Pass,,10.016986,,Abdülkerim Bardakcı,48383.0,,,,,,Recovery,1,Regular Play,Samet Akaydin,133305.0,Center Back,5,Netherlands,941,"['e2b37e63-3278-45b3-887a-095e0ef795e1', 'f937d8d5-6174-43c0-9513-f52e0f6cde55']",41,,,,,,,,,,,,,,,,,Turkey,909,00:01:41.398,Pass,,,,,,,40.1,10.8,42.6,1.1,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,2.72241,,,,,,,,,,,,,,1e3c050a-05a8-40cf-a8cd-c1ea51edbc56,85,,,"[42.5, 1.0]",3942382,1,,,,,0.54731596,,Left Foot,,,"[78.6, 23.0]",,High Pass,,42.275406,Pass Offside,Barış Alper Yılmaz,134209.0,,,,,,,1,Regular Play,Abdülkerim Bardakcı,48383.0,Left Center Back,5,Netherlands,941,['a71f9bd4-0b45-4d2d-ae59-13f154df5df9'],44,,,,,,,,,,,,,,,,,Turkey,909,00:01:44.321,Pass,,,,,,,42.5,1.0,78.6,23.0,Netherlands vs Turkey,Netherlands,Turkey
