50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,0.379203,,,,,,,,,,,,,,,,a88a8b2f-4d2c-488c-8067-ddc4dd4063c8,957,,,"[14.3, 48.0]",3930160,21,,True,,,0.61895245,,Right Foot,,,,"[21.6, 53.2]",,Ground Pass,,8.962701,,,Robin Aime Robert Le Normand,22128.0,,,,,,1,From Keeper,Unai Simón Mendibil,11748.0,Goalkeeper,36,Spain,772,['761d6788-d23a-4c3a-aed6-d8f9c7beca4d'],11,,,,,,,,,,,,,,,,,,,Spain,772,00:21:11.974,Pass,,,,,,,14.3,48.0,21.6,53.2,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,1.287431,,,,,,,,,,,,,,,,30271f02-48c4-4ff2-b9fb-7190cd7cd70e,959,,,"[21.6, 53.4]",3930160,21,,True,,,-2.6630208,,Right Foot,,,,"[8.3, 46.5]",,Ground Pass,,14.983324,,,Unai Simón Mendibil,11748.0,,,,,,1,From Keeper,Robin Aime Robert Le Normand,22128.0,Right Center Back,36,Spain,772,['13ffaf93-2c91-4500-afbb-625d56f046f4'],12,,,,,,,,,,,,,,,,,,,Spain,772,00:21:12.353,Pass,,,,,,,21.6,53.4,8.3,46.5,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,2.973615,,,,,,,,,,,,,,,,cdde7a65-3cdd-42fd-b681-f4847c59205a,961,,,"[8.8, 43.4]",3930160,21,,,,,-0.32549587,,Left Foot,,,,"[56.8, 27.2]",,High Pass,,50.66004,Incomplete,,Pedro González López,30486.0,,,,,,1,From Keeper,Unai Simón Mendibil,11748.0,Goalkeeper,36,Spain,772,"['1be56e5a-d341-4b7c-9671-c16ffb19a6bd', 'c7f6ff41-4383-429c-b26b-fd384e81cfdf']",15,,,,,,,,,,,,,,,,,,,Spain,772,00:21:15.379,Pass,,,,,,,8.8,43.4,56.8,27.2,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,1.905051,,,,,,,,,,,,,,,,c7f6ff41-4383-429c-b26b-fd384e81cfdf,963,,,"[63.3, 52.9]",3930160,21,,,,,0.36346862,,Head,,,,"[79.6, 59.1]",,Low Pass,,17.439323,,,Lovro Majer,28914.0,,,,,Recovery,1,Regular Play,Josip Šutalo,37148.0,Right Center Back,37,Croatia,785,"['4f2cea2e-5f44-4f7b-b49d-6c8968b8ed36', 'cdde7a65-3cdd-42fd-b681-f4847c59205a']",18,,,,,,,,,,,,,,,,,,,Croatia,785,00:21:18.353,Pass,,,,,,,63.3,52.9,79.6,59.1,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,1.311119,,,,,,,,,,,,,,,,7b071a2a-bf5a-4adf-87e4-bc8428adfece,966,,,"[78.0, 60.3]",3930160,21,,,,,-1.5328399,,Left Foot,,,,"[78.3, 52.4]",,High Pass,,7.905694,,,Mateo Kovačić,5456.0,,,,,,1,Regular Play,Lovro Majer,28914.0,Right Wing,37,Croatia,785,['da019c86-def9-4d65-bf18-96e8904c3ece'],21,,,,,,,,,,,,,,,,,,,Croatia,785,00:21:21.387,Pass,,,,,,,78.0,60.3,78.3,52.4,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,0.605262,,,,,,,,,,,,,,,,78e4a8b6-a59e-451c-bc4b-864f1a947861,968,,,"[77.8, 51.6]",3930160,21,,,,,0.4636476,,Right Foot,,,,"[83.6, 54.5]",,Low Pass,,6.484597,,,Lovro Majer,28914.0,,,,,,1,Regular Play,Mateo Kovačić,5456.0,Left Center Midfield,37,Croatia,785,['1838e5de-f9a6-452c-8818-e0d003a4f92c'],22,,,,,,,,,,,,,,,,,,,Croatia,785,00:21:22.698,Pass,,,,,,,77.8,51.6,83.6,54.5,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,1.100475,,,,,,,,,,,,,,,,e9d0b3a2-1eaf-4f9e-88d4-16fc75ff7db9,972,,,"[82.9, 53.4]",3930160,21,,,,,-2.0905404,,Right Foot,,,,"[72.6, 35.4]",,Ground Pass,,20.738611,,,Andrej Kramarić,5460.0,,,,,,1,Regular Play,Lovro Majer,28914.0,Right Wing,37,Croatia,785,['6357deba-44ab-47d2-94a1-8f286ded8334'],23,,,,,,,,,,,,,,,,,,,Croatia,785,00:21:23.482,Pass,,,,,,,82.9,53.4,72.6,35.4,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,2.858922,,,,,,,,,,,,,,,,b8204dcf-b6e0-4b67-a14a-f8b2f932b83c,975,,,"[78.0, 31.0]",3930160,21,,,,,-3.020969,,Right Foot,,,,"[51.6, 27.8]",,Low Pass,,26.593233,,,Joško Gvardiol,33018.0,,,,,,1,Regular Play,Andrej Kramarić,5460.0,Left Wing,37,Croatia,785,['0d4d360a-f61e-42e4-a0bb-8b1acb329713'],27,,,,,,,,,,,,,,,,,,,Croatia,785,00:21:27.334,Pass,,,,,,,78.0,31.0,51.6,27.8,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,1.537093,,,,,,,,,,,,,,,,ebf41aae-e935-4245-b87a-b08bebc147ef,979,,,"[49.3, 29.8]",3930160,21,,,,,1.5242199,,Right Foot,,,,"[50.4, 53.4]",,Ground Pass,,23.625622,,,Josip Šutalo,37148.0,,,,,,1,Regular Play,Joško Gvardiol,33018.0,Left Back,37,Croatia,785,"['2a618d0d-4ee4-4576-8811-74aef96fa377', '84b7bd8a-7968-44df-be8b-0adf03ea7708']",31,,,,,,,,,,,,,,,,,,,Croatia,785,00:21:31.445,Pass,True,,,,,,49.3,29.8,50.4,53.4,Spain vs Croatia,Spain,Croatia
,,,,,,,,,,,,,,,,,1.158126,,,,,,,,,,,,,,,,2444ac3c-ab8a-4ea7-8662-bc5bcebd60d9,982,,,"[59.4, 47.6]",3930160,21,,,,,-2.9829373,,Right Foot,,,,"[46.9, 45.6]",,Ground Pass,,12.658989,,,Marin Pongracic,8773.0,,,,,,1,Regular Play,Josip Šutalo,37148.0,Right Center Back,37,Croatia,785,['56428ecb-4233-4559-a110-400a42020ea1'],35,,,,,,,,,,,,,,,,,,,Croatia,785,00:21:35.637,Pass,,,,,,,59.4,47.6,46.9,45.6,Spain vs Croatia,Spain,Croatia
