50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,1.546395,,,,,,,,,,,,,130b2405-3439-4f0d-93ae-7a3233cfa0c6,3361,,"[108.8, 73.2]",3930178,79,,,,,-1.4668776,,Right Foot,True,,"[112.2, 40.6]",High Pass,,32.77682,,Incomplete,,Ante Budimir,8654.0,,,,,,2,From Throw In,Marcelo Brozović,5469.0,Center Defensive Midfield,107,Croatia,785,"['5e8b3153-84d8-45f2-838c-3ad1ba741d6e', 'f1c33292-05e6-4c98-b7e6-77bd91056bcb']",6,,,,,,,,,,,,,,,,Croatia,785,00:34:06.030,Pass,,,,,,,108.8,73.2,112.2,40.6,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,0.701534,,,,,,,,,,,,,b4a42f64-de70-43ae-8a8f-f752848e8ac2,3365,,"[101.9, 0.1]",3930178,80,,,,,2.334615,,,,,"[95.1, 7.2]",Low Pass,,9.831073,,,,Lovro Majer,28914.0,,,,,Throw-in,2,From Throw In,Joško Gvardiol,33018.0,Left Back,108,Croatia,785,['650e952f-2a79-45d8-8aa3-4fa95e41cb2e'],14,,,,,,,,,,,,,,,,Croatia,785,00:35:14.176,Pass,,,,,,,101.9,0.1,95.1,7.2,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,0.960651,,,,,,,,,,,,,7ad77098-b36c-4b88-a011-807bd38afe6d,3368,,"[95.1, 7.2]",3930178,80,,,,,-0.81569195,,Left Foot,,,"[98.3, 3.8]",Ground Pass,,4.669047,,,,Joško Gvardiol,33018.0,,,,,,2,From Throw In,Lovro Majer,28914.0,Right Center Midfield,108,Croatia,785,['912e352f-6c4b-4e73-b51f-e011420211e9'],14,,,,,,,,,,,,,,,,Croatia,785,00:35:14.947,Pass,,,,,,,95.1,7.2,98.3,3.8,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,0.174984,,,,,,,,,,,,,93bf4a0e-4ac3-498e-8e58-38a1ae18fed2,3372,,"[97.7, 1.9]",3930178,80,,,,,3.0535853,,Left Foot,,,"[90.9, 2.5]",Ground Pass,,6.8264194,,,,Lovro Majer,28914.0,,,,,,2,From Throw In,Joško Gvardiol,33018.0,Left Back,108,Croatia,785,['be4084c2-8890-47ef-8dbd-664b2152b1e5'],16,,,,,,,,,,,,,,,,Croatia,785,00:35:16.113,Pass,,,,,,,97.7,1.9,90.9,2.5,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,0.812299,,,,,,,,,,,,,5e6093db-5e4c-48f9-abac-aa00a78f066d,3376,,"[33.1, 80.0]",3930178,80,,,,,-1.7126933,,,,,"[31.9, 71.6]",Low Pass,,8.485281,,,,Jorge Luiz Frello Filho,7024.0,,,,,Throw-in,2,From Throw In,Giovanni Di Lorenzo,11514.0,Right Center Back,109,Italy,914,['9da0c903-bb25-4b05-9d6e-724944c10a77'],29,,,,,,,,,,,,,,,,Italy,914,00:35:29.220,Pass,,,,,,,33.1,80.0,31.9,71.6,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,0.632813,,,,,,,,,,,,,ef3586d1-70cc-4efb-b9fa-2d30173ec0c4,3379,,"[31.9, 71.6]",3930178,80,,,,,1.4659194,,Right Foot,,,"[32.5, 77.3]",Low Pass,,5.731492,,,,Giovanni Di Lorenzo,11514.0,,,,,,2,From Throw In,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,109,Italy,914,['b22d3787-0958-4979-a45f-ffb25eb7294c'],30,,,,,,,,,,,,,,,,Italy,914,00:35:30.112,Pass,,,,,,,31.9,71.6,32.5,77.3,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,2.035242,,,,,,,,,,,,,9470b8a6-c9cf-4df0-be9a-6d196bc77ed6,3382,,"[34.2, 77.6]",3930178,80,,,,,-0.6493528,,Left Foot,,,"[58.7, 59.0]",High Pass,,30.760527,,Incomplete,,Gianluca Scamacca,10992.0,,,,,,2,From Throw In,Giovanni Di Lorenzo,11514.0,Right Center Back,109,Italy,914,"['9d7151ff-6309-4771-ae48-ef147716e6ed', '9e435f18-dbe5-4281-aa74-01a1f7982fb4']",30,,,,,,,,,,,,,,,,Italy,914,00:35:30.865,Pass,,,,,,,34.2,77.6,58.7,59.0,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,1.80112,,,,,,,,,,,,,9e435f18-dbe5-4281-aa74-01a1f7982fb4,3385,,"[61.4, 21.1]",3930178,80,,,,,0.41979584,,Head,,,"[79.1, 29.0]",High Pass,,19.382982,,Incomplete,,Andrej Kramarić,5460.0,,,,,Recovery,2,From Throw In,Josip Šutalo,37148.0,Right Center Back,109,Italy,914,"['1291f190-3bb8-470a-8c0a-035667870d22', '287c4b04-84ee-431a-8a95-84df708418ed', '9470b8a6-c9cf-4df0-be9a-6d196bc77ed6']",32,,,,,,,,,,,,,,,,Croatia,785,00:35:32.900,Pass,,,,,,,61.4,21.1,79.1,29.0,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,0.81438,,,,,,,,,,,,,b04b13c0-195a-454c-a6ce-02162bfd30fc,3392,,"[42.9, 49.3]",3930178,81,,,,,-0.853255,,Left Foot,,,"[52.5, 38.3]",Ground Pass,,14.6,,,,Nicolò Fagioli,38909.0,,,,,Free Kick,2,From Free Kick,Alessandro Bastoni,7480.0,Center Back,110,Italy,914,['ecbb1d8f-7ab6-4261-8dbc-9313fb3a0af2'],17,,,,,,,,,,,,,,,,Italy,914,00:36:17.385,Pass,,,,,,,42.9,49.3,52.5,38.3,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,1.015841,,,,,,,,,,,,,9247df63-dedd-4f7e-b734-475efbd48577,3395,,"[47.9, 38.2]",3930178,81,,,,,-1.8000282,,Right Foot,,,"[45.8, 29.2]",Ground Pass,,9.241753,,,,Riccardo Calafiori,41768.0,,,,,,2,From Free Kick,Nicolò Fagioli,38909.0,Center Defensive Midfield,110,Italy,914,['0423d885-226e-40e2-8a79-612f29882dc7'],20,,,,,,,,,,,,,,,,Italy,914,00:36:20.364,Pass,,,,,,,47.9,38.2,45.8,29.2,Croatia vs Italy,Croatia,Italy
