50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.970938,,,,,,,,,,,,442962e9-77bf-48dc-9fe3-1f69c5cf1dca,59,,"[63.4, 77.4]",3941021,0,,,,-1.3780956,,Right Foot,,,,"[64.2, 73.3]",,Low Pass,,4.1773195,,,,Răzvan Gabriel Marin,16344.0,,,,,,1,From Free Kick,Denis Mihai Drăguş,31193.0,,Center Forward,4,Romania,905,['8ec7b134-395e-409c-8d9f-9b637c6e54e3'],59,,,,,,,,,,,,,,,,Romania,905,00:00:59.244,Pass,,,,,,,63.4,77.4,64.2,73.3,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1961e120-39fc-4cd5-8296-bc0a5c596033,63,,"[71.2, 71.5]",3941021,1,,,,1.4056476,,Right Foot,,,,"[71.9, 75.7]",,Ground Pass,,4.2579336,,,,Denis Mihai Drăguş,31193.0,,,,,,1,From Free Kick,Răzvan Gabriel Marin,16344.0,,Right Center Midfield,4,Romania,905,"['278619aa-0aee-466a-a18d-11ad804e3aa3', '9259a691-a754-4799-a945-b12c7b0f15e1']",0,,,,,,,,,,,,,,,,Romania,905,00:01:00.771,Pass,True,,,,,,71.2,71.5,71.9,75.7,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,1.651189,,,,,,,,,,,,74d68afb-83be-4164-a28b-e196fc5d9d76,68,,"[42.0, 0.1]",3941021,1,,,,2.49728,,,,,,"[22.3, 14.9]",,Low Pass,,24.640009,,,,Virgil van Dijk,3669.0,,,,,Throw-in,1,From Throw In,Nathan Aké,3306.0,,Left Back,5,Netherlands,941,['f3840dbd-cbcd-49d4-95e0-a8ec2088cb36'],8,,,,,,,,,,,,,,,,Netherlands,941,00:01:08.271,Pass,,,,,,,42.0,0.1,22.3,14.9,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,1.986358,,,,,,,,,,,,306bc35a-9e9e-4048-b35d-3c959ff36034,71,,"[15.0, 15.8]",3941021,1,,,,1.8468271,,Right Foot,,,,"[8.4, 39.1]",,Ground Pass,,24.21673,,,,Bart Verbruggen,37274.0,,,,,,1,From Throw In,Virgil van Dijk,3669.0,,Left Center Back,5,Netherlands,941,['72de376a-a02d-4625-907a-b6d282953884'],11,,,,,,,,,,,,,,,,Netherlands,941,00:01:11.757,Pass,,,,,,,15.0,15.8,8.4,39.1,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,1.353241,,,,,,,,,,,,72709f00-9fa7-4f18-830f-1bbf79108886,74,,"[11.6, 44.2]",3941021,1,,,,0.8220015,,Left Foot,,,,"[28.7, 62.6]",,Ground Pass,,25.119116,,,,Stefan de Vrij,7787.0,,,,,,1,From Throw In,Bart Verbruggen,37274.0,,Goalkeeper,5,Netherlands,941,['fa749189-a2f4-4e6a-a9a8-5e2b882d12a6'],21,,,,,,,,,,,,,,,,Netherlands,941,00:01:21.961,Pass,,,,,,,11.6,44.2,28.7,62.6,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,1.926742,,,,,,,,,,,,eb3b9875-e01d-4c0a-9b5c-4ad1ba89796a,78,,"[22.9, 63.7]",3941021,1,,,,-2.3720663,,Right Foot,,,,"[3.7, 45.1]",,Ground Pass,,26.732004,,,,Bart Verbruggen,37274.0,,,,,,1,From Throw In,Stefan de Vrij,7787.0,,Right Center Back,5,Netherlands,941,"['696eb9ac-2ce5-45da-8e12-d48d6ac993cb', '906a005d-44b8-405b-9f60-3c5425a2544f']",26,,,,,,,,,,,,,,,,Netherlands,941,00:01:26.090,Pass,True,,,,,,22.9,63.7,3.7,45.1,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,1.6366,,,,,,,,,,,,803a5f55-04f6-4882-afad-c39ec73bb45e,82,,"[5.8, 46.3]",3941021,1,,,,1.2477751,,Right Foot,,,,"[13.7, 69.9]",,Ground Pass,,24.887146,,,,Stefan de Vrij,7787.0,,,,,,1,From Throw In,Bart Verbruggen,37274.0,,Goalkeeper,5,Netherlands,941,"['0b5ee403-cdb8-49a9-9022-076b4e31f4df', '5ebbf043-341e-4309-aafd-aeadf761d998']",29,,,,,,,,,,,,,,,,Netherlands,941,00:01:29.606,Pass,True,,,,,,5.8,46.3,13.7,69.9,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,1.384998,,,,,,,,,,,,f779864f-2fab-46a7-97a2-217547740f55,85,,"[13.1, 58.3]",3941021,1,,,,-2.3188288,,Right Foot,,,,"[2.8, 47.2]",,Ground Pass,,15.142655,,,,Bart Verbruggen,37274.0,,,,,,1,From Throw In,Stefan de Vrij,7787.0,,Right Center Back,5,Netherlands,941,['0608b45d-497e-4510-af93-b659288a9421'],33,,,,,,,,,,,,,,,,Netherlands,941,00:01:33.182,Pass,,,,,,,13.1,58.3,2.8,47.2,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,2.580455,,,,,,,,,,,,989f9bd3-ded4-46c3-aa1d-a64f8bd4c61c,89,,"[3.5, 42.1]",3941021,1,,,,-1.4392081,,Right Foot,,,,"[8.0, 8.1]",,Ground Pass,,34.2965,,,,Nathan Aké,3306.0,,,,,,1,From Throw In,Bart Verbruggen,37274.0,,Goalkeeper,5,Netherlands,941,"['86fa16c4-b3b7-4fab-9464-768c167c1074', '8ad84298-9447-40f6-9baa-9a6b175adbf5']",35,,,,,,,,,,,,,,,,Netherlands,941,00:01:35.461,Pass,True,,,,,,3.5,42.1,8.0,8.1,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,2.482825,,,,,,,,,,,,97166213-059f-4d30-915c-2a7723f16a40,92,,"[7.3, 2.3]",3941021,1,,,,0.049056217,,Left Foot,,,,"[46.0, 4.2]",,High Pass,,38.746613,,,,Cody Mathès Gakpo,20750.0,,,,,,1,From Throw In,Nathan Aké,3306.0,,Left Back,5,Netherlands,941,['4c36f563-0ac1-4e01-baae-e3b830982c1f'],39,,,,,,,,,,,,,,,,Netherlands,941,00:01:39.424,Pass,,,,,,,7.3,2.3,46.0,4.2,Romania vs Netherlands,Romania,Netherlands
