50_50,bad_behaviour_card,ball_receipt_outcome,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,"[72.3, 35.3]",,,,,,,,,,,3.953886,,,,,,,,,,,,,0dde322c-2673-4521-b72a-d90ff1badd78,2281,,,"[71.5, 29.6]",3930161,53,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ylber Ramadani,24438.0,Right Defensive Midfield,74,Albania,906,"['45cbcace-efb8-4027-91e5-ef064bc38c05', '77eddcaf-9ff4-4967-93c0-8fd6cc77a1e8']",48,,,,,,,,,,,,,,,,,Albania,906,00:08:48.349,Carry,,,,,,,71.5,29.6,72.3,35.3,Italy vs Albania,Italy,Albania
,,,,,"[64.3, 43.4]",,,,,,,,,,,3.076378,,,,,,,,,,,,,63c4483a-c82c-4562-8353-b584b8794e6a,2284,,,"[63.7, 47.5]",3930161,53,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kristjan Asllani,57303.0,Left Defensive Midfield,74,Albania,906,"['0e45cae8-e2c0-4b9d-8cf3-671ea851eea6', 'f4fc1871-6775-462b-8eca-b868b087c384']",53,,,,,,,,,,,,,,,,,Albania,906,00:08:53.257,Carry,,,,,,,63.7,47.5,64.3,43.4,Italy vs Albania,Italy,Albania
,,,,,"[71.8, 20.1]",,,,,,,,,,,2.81879,,,,,,,,,,,,,73d0d214-572a-4df0-8bcf-2f4c3c789ae0,2287,,,"[71.6, 19.7]",3930161,53,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Nedim Bajrami,32030.0,Center Attacking Midfield,74,Albania,906,"['1ac3b93d-53b8-42d2-85b6-a932fe995dc9', 'daa7f041-4e4e-45b5-9c81-3049839d929c']",58,,,,,,,,,,,,,,,,,Albania,906,00:08:58.039,Carry,,,,,,,71.6,19.7,71.8,20.1,Italy vs Albania,Italy,Albania
,,,,,"[64.2, 41.3]",,,,,,,,,,,1.374746,,,,,,,,,,,,,f6187708-99aa-49a7-8e9c-23d691020765,2290,,,"[74.2, 37.8]",3930161,54,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ylber Ramadani,24438.0,Right Defensive Midfield,74,Albania,906,"['94a11407-c86e-4386-adaf-a390c036f5e3', 'e0449901-4f82-4d67-80ea-8fddbc7dbb2f']",2,,,,,,,,,,,,,,,,,Albania,906,00:09:02.346,Carry,,,,,,,74.2,37.8,64.2,41.3,Italy vs Albania,Italy,Albania
,,,,,"[63.9, 64.9]",,,,,,,,,,,1.744459,,,,,,,,,,,,,96594050-e747-4522-b999-63e44266fd01,2293,,,"[63.4, 58.9]",3930161,54,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Arlind Afrim Ajeti,8291.0,Right Center Back,74,Albania,906,"['aec5a3bd-df2e-4728-8687-0d57fafa9e7a', 'ceaa0978-aa71-432e-bef4-280d86a882d8']",5,,,,,,,,,,,,,,,,,Albania,906,00:09:05.395,Carry,,,,,,,63.4,58.9,63.9,64.9,Italy vs Albania,Italy,Albania
,,,,,"[57.7, 70.8]",,,,,,,,,,,3.256835,,,,,,,,,,,,,af359281-be77-42e4-9340-294451b0f42f,2296,,,"[71.5, 76.0]",3930161,54,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Elseid Hysaj,7031.0,Right Back,74,Albania,906,"['a0f4c3cb-4069-4e6a-a170-3897a2c179c3', 'c3b0087d-5d3d-4f24-aa56-252dfd210ad9', 'd8fa341e-0b3d-4774-9e55-6421b1a3c6a6']",8,,,,,,,,,,,,,,,,,Albania,906,00:09:08.152,Carry,True,,,,,,71.5,76.0,57.7,70.8,Italy vs Albania,Italy,Albania
,,,,,"[33.4, 41.3]",,,,,,,,,,,0.37438402,,,,,,,,,,,,,c1730ae2-a578-41ce-9960-e641cdda099b,2302,,,"[33.8, 48.3]",3930161,54,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ylber Ramadani,24438.0,Right Defensive Midfield,74,Albania,906,"['877be430-cc93-4635-93b8-f2b2eb7d1be1', '9ec5e11a-4bb8-437a-a1e4-bed0536f10a6']",15,,,,,,,,,,,,,,,,,Albania,906,00:09:15.904,Carry,,,,,,,33.8,48.3,33.4,41.3,Italy vs Albania,Italy,Albania
,,,,,"[36.8, 23.2]",,,,,,,,,,,0.979537,,,,,,,,,,,,,f8726a79-fc32-4804-920b-29a88bfe1bfb,2305,,,"[35.5, 22.3]",3930161,54,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Berat Djimsiti,7108.0,Left Center Back,74,Albania,906,"['5a774f86-c015-44ae-beda-8102a974b9b7', '75f91143-4240-4619-a73a-31e2a831b06f']",18,,,,,,,,,,,,,,,,,Albania,906,00:09:18.058,Carry,,,,,,,35.5,22.3,36.8,23.2,Italy vs Albania,Italy,Albania
,,,,,"[44.4, 41.9]",,,,,,,,,,,3.852078,,,,,,,,,,,,,3fd9a46c-8df4-473d-9d58-4a67b6b49881,2308,,,"[37.1, 42.1]",3930161,54,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kristjan Asllani,57303.0,Left Defensive Midfield,74,Albania,906,"['cd93f6c6-1221-4997-8722-2ce8d671f854', 'fa029334-187f-4121-be7c-8dc64f45fc4d']",20,,,,,,,,,,,,,,,,,Albania,906,00:09:20.895,Carry,,,,,,,37.1,42.1,44.4,41.9,Italy vs Albania,Italy,Albania
,,,,,"[58.0, 46.7]",,,,,,,,,,,2.538478,,,,,,,,,,,,,450766c7-3d5b-46a7-bbd6-eb1fcd53ae03,2311,,,"[56.6, 43.7]",3930161,54,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Nedim Bajrami,32030.0,Center Attacking Midfield,74,Albania,906,"['4a043bca-3c22-4ffa-a9f2-c2315f85b5a7', 'bd6a96f3-23da-46a7-abdc-97b33e5d0092']",25,,,,,,,,,,,,,,,,,Albania,906,00:09:25.681,Carry,,,,,,,56.6,43.7,58.0,46.7,Italy vs Albania,Italy,Albania
