50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,1.08863,,,,,,,,,,,,95c0b058-5f9a-4207-a467-6fea641cbb66,31,,,"[23.8, 55.9]",3942349,0,,,,,0.28337207,,Right Foot,,,,"[42.0, 61.2]",Ground Pass,,18.956001,,,,N'Golo Kanté,3961.0,,,,,,,1,From Kick Off,Dayotchanculle Upamecano,8519.0,Right Center Back,2,France,771,['ad9c45e0-4d7a-4745-a70d-62d4ca9c7e5c'],24,,,,,,,,,,,,,,,,France,771,00:00:24.708,Pass,,,,,,,23.8,55.9,42.0,61.2,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,1.281521,,,,,,,,,,,,fbf29753-7ee7-4b79-a1be-7154cdf04512,34,,,"[77.3, 66.6]",3942349,0,,,,,0.4395236,,Right Foot,,,,"[92.4, 73.7]",Ground Pass,,16.685923,,,,Randal Kolo Muani,22097.0,,,,,,,1,From Kick Off,N'Golo Kanté,3961.0,Right Center Midfield,2,France,771,['4c0ceabd-8c46-441e-b133-c0b8fea380dc'],30,,,,,,,,,,,,,,,,France,771,00:00:30.641,Pass,,,,,,,77.3,66.6,92.4,73.7,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,1.126664,,,,,,,,,,,,8f2c7ddb-659f-45eb-89b0-f9a95c13cc7e,38,,,"[91.8, 74.1]",3942349,0,,,,,-2.7343369,,Right Foot,,,,"[81.6, 69.7]",Ground Pass,,11.108555,,,,N'Golo Kanté,3961.0,,,,,,,1,From Kick Off,Randal Kolo Muani,22097.0,Right Center Forward,2,France,771,"['8d797664-f776-4d28-a25f-4968374b4287', 'aced22eb-d327-4865-9d33-37db2875ebd1']",32,,,,,,,,,,,,,,,,France,771,00:00:32.688,Pass,True,,,,,,91.8,74.1,81.6,69.7,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,1.132724,,,,,,,,,,,,754d711a-9364-48de-b003-dac27d25a7ac,41,,,"[75.6, 62.9]",3942349,0,,,,,-1.4684525,,Left Foot,,,,"[77.5, 44.4]",Ground Pass,,18.597311,,,,Antoine Griezmann,5487.0,,,,,,,1,From Kick Off,N'Golo Kanté,3961.0,Right Center Midfield,2,France,771,['153270e9-cad9-4c6e-8a1a-d87d0ff55f8b'],35,,,,,,,,,,,,,,,,France,771,00:00:35.311,Pass,,,,,,,75.6,62.9,77.5,44.4,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,4.161554,,,,,,,,,,,,5a370081-4b95-4e86-8c31-731428a4bb98,44,,,"[76.2, 43.8]",3942349,0,,,,,-0.8043084,,Left Foot,,,,"[117.7, 0.7]",High Pass,,59.831932,,,,Theo Bernard François Hernández,6704.0,,,True,,,,1,From Kick Off,Antoine Griezmann,5487.0,Center Attacking Midfield,2,France,771,['6d01a67e-1d4c-4d77-970c-912ed3429970'],38,,,,,,,,,,,,,,,,France,771,00:00:38.209,Pass,,,,,,,76.2,43.8,117.7,0.7,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,1.335707,,,,,,,,,,,,d7874fde-acb6-4ace-a464-08143e9400e1,47,,,"[117.7, 0.7]",3942349,0,,,,,2.8002367,,Left Foot,,,,"[102.5, 6.1]",Ground Pass,,16.130716,,,,Kylian Mbappé Lottin,3009.0,,,,,,,1,From Kick Off,Theo Bernard François Hernández,6704.0,Left Back,2,France,771,['0f4a7819-2263-4e96-b3f5-541c632d7d7e'],43,,,,,,,,,,,,,,,,France,771,00:00:43.678,Pass,,,,,,,117.7,0.7,102.5,6.1,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,1.01951,,,,,,,,,,,,05892bac-8453-471a-b798-86e69e6dd08b,50,,,"[100.5, 9.2]",3942349,0,,,,,3.0263166,,Left Foot,,,,"[91.0, 10.3]",Ground Pass,,9.563472,,,,Eduardo Camavinga,24778.0,,,,,,,1,From Kick Off,Kylian Mbappé Lottin,3009.0,Left Center Forward,2,France,771,['6f6af5fb-be1f-4896-b81b-4151f4134c95'],47,,,,,,,,,,,,,,,,France,771,00:00:47.950,Pass,,,,,,,100.5,9.2,91.0,10.3,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,0.630531,,,,,,,,,,,,f23bf20d-d930-4d79-b8c7-0c624a074cb9,53,,,"[90.8, 10.3]",3942349,0,,,,,1.659846,,Left Foot,,,,"[90.3, 15.9]",Ground Pass,,5.6222773,,,,Antoine Griezmann,5487.0,,,,,,,1,From Kick Off,Eduardo Camavinga,24778.0,Left Center Midfield,2,France,771,['74dfa393-8316-409d-86db-646e29d29389'],49,,,,,,,,,,,,,,,,France,771,00:00:49.331,Pass,,,,,,,90.8,10.3,90.3,15.9,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,0.70625,,,,,,,,,,,,6502aa26-8cab-4461-aa75-61a31a92e916,55,,,"[90.3, 15.9]",3942349,0,,,,,-1.815775,,Left Foot,,,,"[88.0, 6.7]",Ground Pass,,9.483143,,,,Eduardo Camavinga,24778.0,,,,,,,1,From Kick Off,Antoine Griezmann,5487.0,Center Attacking Midfield,2,France,771,['d4c74915-aa34-4bca-89e3-c5f4d73adad3'],49,,,,,,,,,,,,,,,,France,771,00:00:49.962,Pass,,,,,,,90.3,15.9,88.0,6.7,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,1.192092,,,,,,,,,,,,ce329c5a-8f00-4216-82d7-c3e8f7a185a7,57,,,"[88.2, 6.8]",3942349,0,,,,,-0.5968259,,Left Foot,,,,"[96.0, 1.5]",Ground Pass,,9.43027,,,,Theo Bernard François Hernández,6704.0,,,,,,,1,From Kick Off,Eduardo Camavinga,24778.0,Left Center Midfield,2,France,771,['5e224156-a7b5-49b9-81d5-277a90d650b6'],50,,,,,,,,,,,,,,,,France,771,00:00:50.668,Pass,,,,,,,88.2,6.8,96.0,1.5,Portugal vs France,Portugal,France
