50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b6996cd3-487a-4006-a43e-af821fa0447e,2813,,,"[28.9, 47.5]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Stefan de Vrij,7787.0,Right Center Back,148,Netherlands,941,['0c9775b1-b466-4bf9-8f22-8c9edd386403'],26,,,,,,,,,,,,,,,,,,Netherlands,941,00:41:26.613,Ball Receipt*,,,,,,,28.9,47.5,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a3a90d8c-0700-45b2-895f-5fd3984cd723,2816,,,"[35.8, 27.9]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Virgil van Dijk,3669.0,Left Center Back,148,Netherlands,941,['48ff15de-5b1e-4247-bb26-a1fcb04bdd81'],28,,,,,,,,,,,,,,,,,,Netherlands,941,00:41:28.813,Ball Receipt*,,,,,,,35.8,27.9,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2f8a556f-7966-4b61-81de-51e2078896bf,2819,,,"[50.8, 15.5]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Micky van de Ven,32547.0,Left Back,148,Netherlands,941,['ca97c330-9200-48d5-a15f-066b9f13dd07'],30,,,,,,,,,,,,,,,,,,Netherlands,941,00:41:30.797,Ball Receipt*,,,,,,,50.8,15.5,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16a645ef-0fa0-4759-ab75-d770c4ce5111,2822,,,"[43.5, 26.3]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Virgil van Dijk,3669.0,Left Center Back,148,Netherlands,941,['50a5ce83-c1ac-4901-96a5-9530279d44c8'],34,,,,,,,,,,,,,,,,,,Netherlands,941,00:41:34.397,Ball Receipt*,,,,,,,43.5,26.3,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59587e62-9bec-46dd-b14f-536f92076ff1,2825,,,"[43.4, 52.2]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Stefan de Vrij,7787.0,Right Center Back,148,Netherlands,941,['53ce216a-5087-47d6-b544-a95924fbd20c'],37,,,,,,,,,,,,,,,,,,Netherlands,941,00:41:37.077,Ball Receipt*,,,,,,,43.4,52.2,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89685420-0042-4f8d-91b9-19c2d90cd4f0,2827,,,"[44.0, 34.0]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Virgil van Dijk,3669.0,Left Center Back,148,Netherlands,941,['f8199e27-f354-4cc3-96bf-f349deb51809'],38,,,,,,,,,,,,,,,,,,Netherlands,941,00:41:38.347,Ball Receipt*,,,,,,,44.0,34.0,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7e17becb-f586-4ee5-9ac4-3339c51dd087,2830,,,"[54.2, 44.7]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lutsharel Geertruida,22352.0,Right Back,148,Netherlands,941,['8faa4c9e-58d1-4d4f-8564-c48594fe5703'],39,,,,,,,,,,,,,,,,,,Netherlands,941,00:41:39.783,Ball Receipt*,,,,,,,54.2,44.7,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d75a844d-f3e0-4751-b66b-0a9f4538aade,2833,,,"[70.5, 5.5]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Micky van de Ven,32547.0,Left Back,148,Netherlands,941,['5c2aa0bc-a272-466b-a054-c7564f4ad071'],44,,,,,,,,,,,,,,,,,,Netherlands,941,00:41:44.273,Ball Receipt*,,,,,,,70.5,5.5,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07ea5454-acfa-48ae-baef-3da162b808a4,2836,,,"[62.7, 20.2]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lutsharel Geertruida,22352.0,Right Back,148,Netherlands,941,['f1f65f28-f14e-4581-be70-5af141ca1db3'],46,,,,,,,,,,,,,,,,,,Netherlands,941,00:41:46.866,Ball Receipt*,,,,,,,62.7,20.2,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6980cdd3-03e2-410f-94e7-c47353cf5893,2839,,,"[53.0, 33.4]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Virgil van Dijk,3669.0,Left Center Back,148,Netherlands,941,['9df6f145-735e-4933-9000-7def6ed63636'],49,,,,,,,,,,,,,,,,,,Netherlands,941,00:41:49.166,Ball Receipt*,,,,,,,53.0,33.4,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7ec660a8-4a94-46a7-a795-79524de52de1,2842,,,"[63.8, 22.7]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lutsharel Geertruida,22352.0,Right Back,148,Netherlands,941,['76c51131-9bbd-449c-b9e7-27462169c91b'],50,,,,,,,,,,,,,,,,,,Netherlands,941,00:41:50.555,Ball Receipt*,,,,,,,63.8,22.7,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fab567d-bcd1-4f88-94a5-8a94316d2fa8,2846,,,"[55.5, 34.3]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Virgil van Dijk,3669.0,Left Center Back,148,Netherlands,941,['f48bb520-de4b-4079-a323-1e05956def7c'],54,,,,,,,,,,,,,,,,,,Netherlands,941,00:41:54.259,Ball Receipt*,,,,,,,55.5,34.3,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b50dfaed-1d6e-4354-884b-b7526df3fb14,2850,,,"[82.2, 51.7]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Wout Weghorst,7829.0,Center Forward,148,Netherlands,941,"['21a1af8c-8a8c-42c6-ba2a-fe42c4d3d960', '55259d18-de09-4ec5-b6b7-4716a6d4b71f']",56,,,,,,,,,,,,,,,,,,Netherlands,941,00:41:56.493,Ball Receipt*,True,,,,,,82.2,51.7,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0378053b-390e-4ef8-af93-7bee604e1f09,2854,,,"[91.2, 34.2]",3930180,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Memphis Depay,2988.0,Center Attacking Midfield,148,Netherlands,941,"['c083dab6-aebd-4f9d-86f0-8cb52e068b06', 'fffba430-a748-4a73-a549-80d2affa0316']",57,,,,,,,,,,,,,,,,,,Netherlands,941,00:41:57.629,Ball Receipt*,True,,,,,,91.2,34.2,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5420c4a1-1bf0-450c-974e-7c3d02c23c84,2859,,,"[99.3, 18.4]",3930180,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Micky van de Ven,32547.0,Left Back,148,Netherlands,941,['9bcb2b1d-840e-4d5a-ac61-09e8fcd57c80'],1,,,,,,,,,,,,,,,,,,Netherlands,941,00:42:01.391,Ball Receipt*,,,,,,,99.3,18.4,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0572e3ff-f7b1-478b-bfb2-809328ee9ae2,2870,,,"[93.7, 15.1]",3930180,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jerdy Schouten,15503.0,Right Defensive Midfield,149,Netherlands,941,['ab138ab4-450b-42d4-9937-9e4a24192599'],16,,,,,,,,,,,,,,,,,,Netherlands,941,00:42:16.267,Ball Receipt*,,,,,,,93.7,15.1,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80f64725-f67c-4d7a-b8e9-8f1c65e6f9b2,2874,,,"[103.5, 4.1]",3930180,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Micky van de Ven,32547.0,Left Back,149,Netherlands,941,['895dcc18-0025-4a6f-820f-00cd9f29182b'],18,,,,,,,,,,,,,,,,,,Netherlands,941,00:42:18.724,Ball Receipt*,,,,,,,103.5,4.1,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611d8e8e-2872-4c45-9298-793302548845,2877,,,"[84.6, 2.9]",3930180,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jerdy Schouten,15503.0,Right Defensive Midfield,149,Netherlands,941,['51b97d08-49ec-4ed3-9f06-5dc4c8f82ec4'],22,,,,,,,,,,,,,,,,,,Netherlands,941,00:42:22.593,Ball Receipt*,,,,,,,84.6,2.9,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2b0df0a1-e4cf-4a20-aa06-072f41ed6d43,2880,,,"[83.0, 22.3]",3930180,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lutsharel Geertruida,22352.0,Right Back,149,Netherlands,941,['1e6bedaa-c967-4e3c-8654-5edd33aa4db7'],24,,,,,,,,,,,,,,,,,,Netherlands,941,00:42:24.696,Ball Receipt*,,,,,,,83.0,22.3,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ae258ce-dd54-4eb5-87ac-59bb005651b0,2884,,,"[70.8, 20.4]",3930180,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Virgil van Dijk,3669.0,Left Center Back,149,Netherlands,941,['e0cc4a81-7283-453e-be23-b80a01ab6304'],28,,,,,,,,,,,,,,,,,,Netherlands,941,00:42:28.088,Ball Receipt*,,,,,,,70.8,20.4,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cd2edacb-7afc-4e4f-9048-a501f75b0007,2888,,,"[83.8, 26.0]",3930180,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jerdy Schouten,15503.0,Right Defensive Midfield,149,Netherlands,941,"['3ea74f3c-64e2-48c8-89a7-d579fc0a5b64', '669bfbff-cd12-4013-83fb-c966a75e3267']",31,,,,,,,,,,,,,,,,,,Netherlands,941,00:42:31.843,Ball Receipt*,True,,,,,,83.8,26.0,,,Netherlands vs Austria,Netherlands,Austria
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,b6ed98a8-85f0-4ee0-998b-ef7b4af43e3c,2890,,,"[96.0, 33.7]",3930180,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Wout Weghorst,7829.0,Center Forward,149,Netherlands,941,['9520b1d5-effa-48af-a417-7ae2b272af4d'],32,,,,,,,,,,,,,,,,,,Netherlands,941,00:42:32.864,Ball Receipt*,,,,,,,96.0,33.7,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43548642-8ca5-493a-9e21-ace660bce7aa,2896,,,"[40.2, 37.1]",3930180,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Marcel Sabitzer,8518.0,Left Wing,150,Austria,915,['776ddf72-3153-4079-96a5-0686386cecab'],34,,,,,,,,,,,,,,,,,,Austria,915,00:42:34.932,Ball Receipt*,,,,,,,40.2,37.1,,,Netherlands vs Austria,Netherlands,Austria
