50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,3.782228,,,,,,,,,,,,,,8e270b84-d034-4364-b887-1e80e94e2d25,175,,"[50.1, 13.4]",3930158,5,,,,,0.1624512,,Left Foot,,,,"[92.2, 20.3]",,Ground Pass,,42.661694,Incomplete,,Florian Wirtz,40724.0,,,,,,1,Regular Play,Maximilian Mittelstädt,12407.0,Left Back,13,Germany,770,"['57e50f3a-aa57-4a83-81e7-f03106b931bf', '5f467dfd-a88b-40f4-84db-bd8672f66048']",26,,,,,,,,,,,,,,,,Germany,770,00:05:26.355,Pass,,,,,,,50.1,13.4,92.2,20.3,,,,,,92.2,20.3,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,1.681846,,,,,,,,,,,,,,5f467dfd-a88b-40f4-84db-bd8672f66048,178,,"[27.9, 59.8]",3930158,5,,,,,-2.419329,,Right Foot,,,,"[9.4, 43.5]",,Ground Pass,,24.656439,,,Angus Gunn,22379.0,,,,,Recovery,1,Regular Play,Jack Hendry,11116.0,Center Back,14,Scotland,942,"['726787be-feea-4bc0-852f-238c25512428', '8e270b84-d034-4364-b887-1e80e94e2d25']",30,,,,,,,,,,,,,,,,Scotland,942,00:05:30.137,Pass,,,,,,,27.9,59.8,9.4,43.5,,,,,,9.4,43.5,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,3.299615,,,,,,,,,,,,,,237c3cce-a7f6-453d-a956-809b58dd33fb,182,,"[10.0, 44.8]",3930158,5,,,,,0.4500576,,Right Foot,,,,"[66.3, 72.0]",,High Pass,,62.526234,,,John McGinn,9974.0,,,,,,1,Regular Play,Angus Gunn,22379.0,Goalkeeper,14,Scotland,942,"['105101a4-c258-450c-871b-81e0c67a3f47', '6874cd15-d92f-4139-8ff3-69822628e0f3']",33,,,,,,,,,,,,,,,,Scotland,942,00:05:33.286,Pass,True,,,,,,10.0,44.8,66.3,72.0,,,,,,66.3,72.0,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,1.61073,,,,,,,,,,,,,,97d4fd0f-8691-40eb-9a96-506793335040,185,,"[66.1, 72.1]",3930158,5,,,,True,2.9702134,,,,,,"[55.7, 73.9]",,Low Pass,,10.55462,,,Anthony Ralston,22308.0,,,,,,1,Regular Play,John McGinn,9974.0,Right Wing,14,Scotland,942,"['bd5ecc13-4a7b-4c7d-9ebc-165574b51266', 'd82d9e36-d3ce-44ce-b3db-62a9c6b82db9']",36,,,,,,,,,,,,,,,,Scotland,942,00:05:36.585,Pass,True,,,,,,66.1,72.1,55.7,73.9,,,,,,55.7,73.9,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,0.827496,,,,,,,,,,,,,,70ddf30e-9ecf-471a-95ed-623171b377e1,189,,"[56.5, 76.9]",3930158,5,,,,,-2.8988562,,Left Foot,,,,"[46.0, 74.3]",,Ground Pass,,10.817116,,,Ryan Porteous,18797.0,,,,,,1,Regular Play,Anthony Ralston,22308.0,Right Wing Back,14,Scotland,942,['17635f04-5395-4683-b25e-d51787b65a91'],40,,,,,,,,,,,,,,,,Scotland,942,00:05:40.985,Pass,,,,,,,56.5,76.9,46.0,74.3,,,,,,46.0,74.3,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,0.758131,,,,,,,,,,,,,,7d745486-6a60-4517-98c7-c04e95a02628,192,,"[47.4, 74.3]",3930158,5,,,,,-0.7853982,,Right Foot,,,,"[50.8, 70.9]",,Ground Pass,,4.8083262,,,Scott McTominay,3620.0,,,,,,1,Regular Play,Ryan Porteous,18797.0,Right Center Back,14,Scotland,942,['a57e23e9-5fa0-4f1c-b261-d2db1cd5f220'],42,,,,,,,,,,,,,,,,Scotland,942,00:05:42.317,Pass,,,,,,,47.4,74.3,50.8,70.9,,,,,,50.8,70.9,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,1.016933,,,,,,,,,,,,,,5553b956-bf36-4dc8-8dbe-e3b96dfd5561,196,,"[48.3, 70.1]",3930158,5,,,,,-1.4413468,,Right Foot,,,,"[50.5, 53.2]",,Ground Pass,,17.042593,,,Callum McGregor,10534.0,,,,,,1,Regular Play,Scott McTominay,3620.0,Right Defensive Midfield,14,Scotland,942,"['45d50f4f-be0f-4d9e-b084-92dd3f1e5b0f', 'cd42c8ba-8c64-4e69-9ff7-822f8044c24b']",43,,,,,,,,,,,,,,,,Scotland,942,00:05:43.783,Pass,True,,,,,,48.3,70.1,50.5,53.2,,,,,,50.5,53.2,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,2.665526,,,,,,,,,,,,,,7c58d595-2ce8-4f48-9d81-773c182dd7b3,199,,"[49.0, 54.6]",3930158,5,,,,,-1.4282998,,Left Foot,,,,"[55.7, 7.9]",,Low Pass,,47.178173,,,Andrew Robertson,3655.0,,True,,,,1,Regular Play,Callum McGregor,10534.0,Left Defensive Midfield,14,Scotland,942,['ab409e4f-4ec1-4e91-91a6-67592a5d724b'],45,,,,,,,,,,,,,,,,Scotland,942,00:05:45.566,Pass,,,,,,,49.0,54.6,55.7,7.9,,,,,,55.7,7.9,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,2.762143,,,,,,,,,,,,,,f0876c82-1f9f-4f68-8478-73387b6c995e,203,,"[78.8, 6.9]",3930158,5,,,,,0.41987994,,Left Foot,,,,"[118.0, 24.4]",,Ground Pass,,42.928894,Incomplete,,Ryan Christie,12510.0,,,,,,1,Regular Play,Andrew Robertson,3655.0,Left Wing Back,14,Scotland,942,"['7ef532a7-d5e1-41a5-9a50-c5da05169998', 'afaca8f3-a8b2-4918-a343-92f47de0dfcf', 'cb143bff-aaf1-4d31-8a3a-e35fa0732cb0']",52,,,,,,,,,,,,,,,,Scotland,942,00:05:52.144,Pass,True,,,,,,78.8,6.9,118.0,24.4,,,,,,118.0,24.4,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,1.199999,,,,,,,,,,,,,,11717863-57d6-484c-bd6a-042398a2810d,206,,"[13.9, 41.8]",3930158,6,,True,,,-0.79074574,,Keeper Arm,,,,"[23.2, 32.4]",,Ground Pass,,13.223085,,,Robert Andrich,9195.0,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,15,Germany,770,['e534c903-e4cb-42d3-8b7e-e61c4e6938d1'],5,,,,,,,,,,,,,,,,Germany,770,00:06:05.625,Pass,,,,,,,13.9,41.8,23.2,32.4,,,,,,23.2,32.4,Germany vs Scotland,Germany,Scotland
