50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,0.979541,,,,,,,,,,,8d98091f-dc59-43de-bad0-e281b4fd7178,51,,,"[21.7, 50.7]",3938645,1,,,,,-0.98132527,,Right Foot,,"[32.2, 35.0]",Ground Pass,,18.887562,,,,Youri Tielemans,2954.0,,,,,,,1,From Goal Kick,Wout Faes,8854.0,Right Center Back,5,Belgium,782,['1146a523-041e-4995-9f6f-814537070d87'],25,,,,,,,,,,,,,,,,Belgium,782,00:01:25.820,Pass,,,,,,,21.7,50.7,32.2,35.0,,,,,,32.2,35.0,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,1.020998,,,,,,,,,,,4d47bad8-28c3-482f-8c50-091aa452b4b4,54,,,"[31.6, 37.5]",3938645,1,,,,,1.1889845,,Right Foot,,"[36.9, 50.7]",Ground Pass,,14.224275,,,,Amadou Onana,48347.0,,,,,,,1,From Goal Kick,Youri Tielemans,2954.0,Left Defensive Midfield,5,Belgium,782,['3b9c9bbc-b17d-4bc3-853e-32e2f9c74a0c'],27,,,,,,,,,,,,,,,,Belgium,782,00:01:27.634,Pass,,,,,,,31.6,37.5,36.9,50.7,,,,,,36.9,50.7,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,1.486646,,,,,,,,,,,41e64645-8922-4b73-bfea-9480aceb51d5,57,,,"[36.9, 53.9]",3938645,1,,,,,0.7266424,,Right Foot,,"[63.0, 77.1]",Ground Pass,,34.920624,,,,Leandro Trossard,16559.0,,,,,,,1,From Goal Kick,Amadou Onana,48347.0,Right Defensive Midfield,5,Belgium,782,['ee2301b4-c4f5-4e36-93c0-d34880b8ea03'],29,,,,,,,,,,,,,,,,Belgium,782,00:01:29.972,Pass,,,,,,,36.9,53.9,63.0,77.1,,,,,,63.0,77.1,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,1.57787,,,,,,,,,,,14d9b2e6-a30f-45f0-bbcd-9ebf13457917,61,,,"[62.4, 75.8]",3938645,1,,,,,-3.0753632,,Right Foot,,"[42.8, 74.5]",Ground Pass,,19.643064,,,,Timothy Castagne,6989.0,,,,,,,1,From Goal Kick,Leandro Trossard,16559.0,Right Wing,5,Belgium,782,"['1d9a2d9c-6a7c-4776-94e7-6bae360212da', '545d2c35-8110-4f84-9a70-0481b86ce15a']",32,,,,,,,,,,,,,,,,Belgium,782,00:01:32.539,Pass,True,,,,,,62.4,75.8,42.8,74.5,,,,,,42.8,74.5,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,1.875259,,,,,,,,,,,46850ad6-1408-47af-b533-c777f3cb5f75,64,,,"[44.5, 71.8]",3938645,1,,,,,-2.427502,,Right Foot,,"[29.5, 58.8]",Ground Pass,,19.849434,,,,Wout Faes,8854.0,,,,,,,1,From Goal Kick,Timothy Castagne,6989.0,Right Back,5,Belgium,782,['cfc6231b-eeab-4963-a594-befea0b5e027'],37,,,,,,,,,,,,,,,,Belgium,782,00:01:37.991,Pass,,,,,,,44.5,71.8,29.5,58.8,,,,,,29.5,58.8,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,1.572193,,,,,,,,,,,61cc76f2-a01c-49b6-a06b-15972518b1fa,67,,,"[29.1, 58.7]",3938645,1,,,,,-1.7869503,,Right Foot,,"[21.7, 25.0]",Ground Pass,,34.5029,,,,Jan Vertonghen,3077.0,,,,,,,1,From Goal Kick,Wout Faes,8854.0,Right Center Back,5,Belgium,782,['21890419-cded-46ce-9fc2-9fcedb8f0576'],40,,,,,,,,,,,,,,,,Belgium,782,00:01:40.635,Pass,,,,,,,29.1,58.7,21.7,25.0,,,,,,21.7,25.0,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,1.945352,,,,,,,,,,,13a7821b-cfae-42e5-946e-113e7dd7a2a0,70,,,"[24.0, 30.5]",3938645,1,,,,,-1.0814358,,Right Foot,,"[37.9, 4.4]",Ground Pass,,29.570593,,,,Arthur Theate,43913.0,,,,,,,1,From Goal Kick,Jan Vertonghen,3077.0,Left Center Back,5,Belgium,782,['bcca9944-33a2-49d2-a873-fe0431d9a3cd'],42,,,,,,,,,,,,,,,,Belgium,782,00:01:42.657,Pass,,,,,,,24.0,30.5,37.9,4.4,,,,,,37.9,4.4,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,4.314883,,,,,,,,,,,8e10e70e-6725-4eb4-8272-fe518309bbd8,74,,,"[47.2, 2.3]",3938645,1,,,,,0.40118504,,Left Foot,,"[105.9, 27.2]",High Pass,,63.76284,,,Incomplete,Jeremy Doku,23650.0,,,,,,,1,From Goal Kick,Arthur Theate,43913.0,Left Back,5,Belgium,782,"['0d1ff530-12cf-43a5-a3b7-ff27e0cedcfd', '55b82564-7783-48b3-bda0-5c2a619f4f9f', 'f1e3006b-9a9a-4f05-8724-52b482d6169d']",46,,,,,,,,,,,,,,,,Belgium,782,00:01:46.396,Pass,True,,,,,,47.2,2.3,105.9,27.2,,,,,,105.9,27.2,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,1.921016,,,,,,,,,,,8860200c-60eb-41b5-b78d-fb4b5bafe3ee,79,,,"[12.9, 56.5]",3938645,1,,,,,0.8948491,,Keeper Arm,,"[29.1, 76.7]",Ground Pass,,25.89363,,,,Oleksandr Tymchyk,45863.0,,,,,,,1,Regular Play,Anatolii Trubin,37330.0,Goalkeeper,6,Ukraine,911,['486c47a9-d739-4a8b-a99f-48f2cf834a98'],53,,,,,,,,,,,,,,,,Ukraine,911,00:01:53.817,Pass,,,,,,,12.9,56.5,29.1,76.7,,,,,,29.1,76.7,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,1.563723,,,,,,,,,,,d29b0d8a-1bdc-4803-b71b-ea7ebce3af75,82,,,"[33.1, 76.3]",3938645,1,,,,,-2.609619,,Right Foot,,"[15.6, 66.0]",Ground Pass,,20.306156,,,,Illia Zabarnyi,39136.0,,,,,,,1,Regular Play,Oleksandr Tymchyk,45863.0,Right Wing Back,6,Ukraine,911,['3252f37b-b308-476b-9ec9-5d3949bdbca9'],58,,,,,,,,,,,,,,,,Ukraine,911,00:01:58.297,Pass,,,,,,,33.1,76.3,15.6,66.0,,,,,,15.6,66.0,Ukraine vs Belgium,Ukraine,Belgium
,,,,,,,,,,,,,,,,2.151064,,,,,,,,,,,8946df25-f868-436c-9950-d57679b0c112,85,,,"[15.0, 59.7]",3938645,2,,,,,-2.0958323,,Right Foot,,"[5.5, 43.3]",Ground Pass,,18.952837,,,,Anatolii Trubin,37330.0,,,,,,,1,Regular Play,Illia Zabarnyi,39136.0,Right Center Back,6,Ukraine,911,['b2508f2e-b6b1-4668-8d76-dc0401f87732'],1,,,,,,,,,,,,,,,,Ukraine,911,00:02:01.002,Pass,,,,,,,15.0,59.7,5.5,43.3,,,,,,5.5,43.3,Ukraine vs Belgium,Ukraine,Belgium
