50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,"[72.7, 6.6]",,,,,,,,,,,,0.98293,,,,,,,,,,,,,07f28901-6343-4e4d-b7d8-eb2ac0c700d2,1293,,,"[70.4, 7.0]",3930166,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nuno Mendes,41092.0,Left Center Back,51,Portugal,780,"['99454f3a-decb-4817-bbc0-fa0f0c812ffb', 'ec4b0fb2-a436-4e74-b21b-a1ff28814150']",16,,,,,,,,,,,,,,,Portugal,780,00:30:16.346,Carry,,,,,,,70.4,7.0,,,72.7,6.6,,,,72.7,6.6,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[81.9, 8.4]",,,,,,,,,,,,1.394159,,,,,,,,,,,,,d85df461-0469-4530-8d90-08a0fba6b9ff,1296,,,"[82.9, 5.6]",3930166,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,João Pedro Cavaco Cancelo,7005.0,Left Wing Back,51,Portugal,780,"['7c00b404-f280-4611-ae33-bd39e823a00f', '9ff9a78f-ce4a-47e1-b031-6de62aa6a6d7', 'c646ca33-3c93-42c4-9711-f42445956450']",18,,,,,,,,,,,,,,,Portugal,780,00:30:18.313,Carry,True,,,,,,82.9,5.6,,,81.9,8.4,,,,81.9,8.4,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[67.8, 73.1]",,,,,,,,,,,,5.839976,,,,,,,,,,,,,0f021960-1b27-498b-8f7e-01ca00b17b1f,1301,,,"[32.1, 66.9]",3930166,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lukáš Provod,28034.0,Right Center Midfield,51,Portugal,780,"['20c88ff2-6036-469c-86d5-2d26b0b3b83b', 'ac8794b1-a968-4c81-a94d-89689d36f1f5']",21,,,,,,,,,,,,,,,Czech Republic,912,00:30:21.066,Carry,,,,,,,32.1,66.9,,,67.8,73.1,,,,67.8,73.1,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[83.2, 76.7]",,,,,,,,,,,,3.770146,,,,,,,,,,,,,8c9a3551-3885-4f41-a41e-71132e14e22f,1305,,,"[69.6, 76.7]",3930166,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jan Kuchta,29484.0,Left Center Forward,51,Portugal,780,"['1a924589-a0a8-4476-8669-a7f3d47a71f8', '29fc277b-4246-4147-8c33-e6c2ede08c9c', 'bb8fc76f-4b80-4a70-8e06-9fa686569bbe']",28,,,,,,,,,,,,,,,Czech Republic,912,00:30:28.083,Carry,True,,,,,,69.6,76.7,,,83.2,76.7,,,,83.2,76.7,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[55.6, 31.5]",,,,,,,,,,,,0.898863,,,,,,,,,,,,,dc305475-2a30-4331-93e6-2267a38e013b,1309,,,"[55.7, 29.9]",3930166,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Center Attacking Midfield,51,Portugal,780,"['001b454e-e0bc-47ec-934f-c6e1d8068f04', '05348c42-7e45-4d83-96aa-4c617e644a3b', '230d80dc-2abe-440f-9710-cf5820cce6eb']",34,,,,,,,,,,,,,,,Portugal,780,00:30:34.769,Carry,True,,,,,,55.7,29.9,,,55.6,31.5,,,,55.6,31.5,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[55.7, 27.9]",,,,,,,,,,,,0.907971,,,,,,,,,,,,,eef86d53-e65e-4c43-892e-851f2aec300f,1313,,,"[55.6, 31.5]",3930166,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Center Attacking Midfield,51,Portugal,780,"['05348c42-7e45-4d83-96aa-4c617e644a3b', '114d53a3-819d-4838-ab4c-785100b052d3', 'b7e28fa6-d3ef-4293-bce8-044da05162ad']",35,,,,,,,,,,,,,,,Portugal,780,00:30:35.668,Carry,True,,,,,,55.6,31.5,,,55.7,27.9,,,,55.7,27.9,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[92.6, 36.6]",,,,,,,,,,,,3.889962,,,,,,,,,,,,,96ea57c1-920e-4950-aaf0-1151804c6fa0,1316,,,"[67.5, 21.7]",3930166,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bruno Miguel Borges Fernandes,5204.0,Left Defensive Midfield,51,Portugal,780,"['3a8f5c2b-268c-4a8a-92ae-3a4a8f5dfe0e', 'abf521e0-699f-4a9c-babc-6f7f2cd676b4']",37,,,,,,,,,,,,,,,Portugal,780,00:30:37.989,Carry,,,,,,,67.5,21.7,,,92.6,36.6,,,,92.6,36.6,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[105.5, 31.3]",,,,,,,,,,,,2.098481,,,,,,,,,,,,,eff750e5-b19c-41d7-86a7-606b0802a00f,1319,,,"[101.4, 23.4]",3930166,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rafael Alexandre Conceição Leão,18360.0,Left Center Forward,51,Portugal,780,"['1413ba4f-bc1c-4f81-9820-97bc396c90b4', '86009f49-0e76-4db7-8ff3-9c5ec1891294', 'e024191f-98ac-4a40-b999-38dbab32d830']",43,,,,,,,,,,,,,,,Portugal,780,00:30:43.105,Carry,True,,,,,,101.4,23.4,,,105.5,31.3,,,,105.5,31.3,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[115.9, 20.3]",,,,,,,,,,,,3.233159,,,,,,,,,,,,,e72941c3-56ca-49c5-8f46-5d9738c07fb3,1326,,,"[102.0, 27.6]",3930166,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rafael Alexandre Conceição Leão,18360.0,Left Center Forward,51,Portugal,780,"['51d5d102-96db-466d-a41d-ca310d88fff2', '97135c13-fe31-43a9-bfa4-5db5414d109b', 'ad586b05-dbc7-403c-8a04-20befd2f7328']",46,,,,,,,,,,,,,,,Portugal,780,00:30:46.596,Carry,True,,,,,,102.0,27.6,,,115.9,20.3,,,,115.9,20.3,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[114.7, 8.8]",,,,,,,,,,,,1.65082,,,,,,,,,,,,,d8653e58-d150-418a-a0e3-fc9f9b24af07,1332,,,"[114.9, 10.0]",3930166,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Center Attacking Midfield,51,Portugal,780,"['543b68ea-340f-420c-9687-f219bad699bf', '56ab8bd0-143a-4935-b02e-56c15864a18b']",52,,,,,,,,,,,,,,,Portugal,780,00:30:52.042,Carry,,,,,,,114.9,10.0,,,114.7,8.8,,,,114.7,8.8,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[95.4, 10.8]",,,,,,,,,,,,1.083291,,,,,,,,,,,,,11f905fb-a502-4adc-8c76-50271febf629,1335,,,"[95.4, 10.8]",3930166,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Vitor Machado Ferreira,34639.0,Right Defensive Midfield,51,Portugal,780,"['4ad9a33f-625d-4301-8123-92ee91838720', '813d4c80-7b9e-4607-b011-71fdf8f3b7bb']",55,,,,,,,,,,,,,,,Portugal,780,00:30:55.275,Carry,,,,,,,95.4,10.8,,,95.4,10.8,,,,95.4,10.8,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,"[93.7, 25.1]",,,,,,,,,,,,1.268334,,,,,,,,,,,,,8e6d9722-f37b-44cd-bbba-742c11947e0c,1338,,,"[89.5, 21.7]",3930166,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,João Pedro Cavaco Cancelo,7005.0,Left Wing Back,51,Portugal,780,"['772b7678-4e1c-4804-b6e5-56f11d888ea9', '91cf42e0-cd41-4e2d-9eea-8503e384c202', 'dbb19b4d-25c9-47a1-929d-0abe6f4f18a1']",57,,,,,,,,,,,,,,,Portugal,780,00:30:57.152,Carry,True,,,,,,89.5,21.7,,,93.7,25.1,,,,93.7,25.1,Portugal vs Czech Republic,Portugal,Czech Republic
