50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,1.482957,,,,,,,,,,,,,ed03a06d-14bd-4ffa-9ec3-b43690f18f30,64,,"[42.6, 59.1]",3930175,0,,,,-1.6890539,,Right Foot,,,"[41.4, 49.0]",,Ground Pass,,10.171038,,,,Nicolae Claudiu Stanciu,10916.0,,,,,,1,Regular Play,Andrei Florin Ratiu,24861.0,Right Back,4,Romania,905,['d45b1428-dcf6-44dc-aa67-d6a67aa4fe53'],52,,,,,,,,,,,,,,,,Romania,905,00:00:52.442,Pass,,,,,,,42.6,59.1,41.4,49.0,,,,,,41.4,49.0,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,1.829492,,,,,,,,,,,,,a1c841d8-81f5-4469-8891-d6f188135e10,67,,"[41.4, 46.6]",3930175,0,,,,-1.9176812,,Right Foot,,,"[33.7, 25.3]",,Ground Pass,,22.649061,,,,Andrei Burcă Andonie,31908.0,,,,,,1,Regular Play,Nicolae Claudiu Stanciu,10916.0,Left Center Midfield,4,Romania,905,['7ab9d824-8673-4852-9eb4-b9a1235ecd30'],54,,,,,,,,,,,,,,,,Romania,905,00:00:54.723,Pass,,,,,,,41.4,46.6,33.7,25.3,,,,,,33.7,25.3,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,0.984002,,,,,,,,,,,,,ab7900be-7a64-4ed5-a424-040dc8e153a8,70,,"[33.7, 25.3]",3930175,0,,,,-0.1372888,,Left Foot,,,"[48.9, 23.2]",,Ground Pass,,15.34438,,,,Nicușor Silviu Bancu,34600.0,,,,,,1,Regular Play,Andrei Burcă Andonie,31908.0,Left Center Back,4,Romania,905,['86510943-26b8-482e-b54c-c83c739a99d5'],56,,,,,,,,,,,,,,,,Romania,905,00:00:56.569,Pass,,,,,,,33.7,25.3,48.9,23.2,,,,,,48.9,23.2,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,0.103183,,,,,,,,,,,,,436b9630-25bc-433e-b9a3-202315fdb039,74,,"[49.2, 16.8]",3930175,0,,,,-0.41822433,,Left Foot,,,"[51.0, 16.0]",,Ground Pass,,1.9697715,,Incomplete,,Valentin Mihai Mihăilă,72512.0,,,,,,1,Regular Play,Nicușor Silviu Bancu,34600.0,Left Back,4,Romania,905,"['d6ea814f-413e-4955-a50d-f1714d63b28a', 'eea91ccd-bbbc-4eff-a2ab-07a66aa72885', 'f532e6cb-8901-498a-a58b-984a3cc00be6']",59,,,,,,,,,,,,,,,,Romania,905,00:00:59.352,Pass,True,,,,,,49.2,16.8,51.0,16.0,,,,,,51.0,16.0,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,0.117205,,,,,,,,,,,,,6785a56c-04a9-4128-ae57-02ac1f310761,78,,"[64.6, 67.0]",3930175,1,,,,0.2551824,,Right Foot,,,"[66.9, 67.6]",,Low Pass,,2.376973,,Incomplete,,,,,,,,Recovery,1,Regular Play,Youri Tielemans,2954.0,Right Defensive Midfield,4,Romania,905,"['0246dfdb-fc41-46f8-9899-8afe745f1aec', '6f09654e-df2f-46f1-96a6-36d6ba140111']",0,,,,,,,,,,,,,,,,Belgium,782,00:01:00.906,Pass,True,,,,,,64.6,67.0,66.9,67.6,,,,,,66.9,67.6,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,1.230182,,,,,,,,,,,,,fedae4de-1210-4f78-b9ff-0e334c52c5c4,83,,"[93.3, 43.6]",3930175,1,,,,-1.5260501,,Left Foot,,,"[94.2, 23.5]",,Ground Pass,,20.12014,,,,Jeremy Doku,23650.0,,,,,,1,Regular Play,Romelu Lukaku Menama,3289.0,Center Forward,5,Belgium,782,"['1592482a-a56e-4600-98c5-f7dcc71892d0', '27e3c750-d4de-48c6-bab3-42b246e60ff7']",5,,,,,,,,,,,,,,,,Belgium,782,00:01:05.474,Pass,True,,,,,,93.3,43.6,94.2,23.5,,,,,,94.2,23.5,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,0.937486,,,,,,,,,,,,,c1ac6cd1-374b-490d-ae56-c4b9cb7914db,86,,"[104.0, 26.5]",3930175,1,,,,1.3654009,,Right Foot,,,"[107.5, 43.3]",,Ground Pass,,17.160711,,,,Romelu Lukaku Menama,3289.0,,,,,,1,Regular Play,Jeremy Doku,23650.0,Left Wing,5,Belgium,782,['87220da3-7766-41ac-9a6d-87e1b0fc004b'],11,,,,,,,,,,,,,,,,Belgium,782,00:01:11.802,Pass,,,,,,,104.0,26.5,107.5,43.3,,,,,,107.5,43.3,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,0.751124,,,,,,,,,,,,,f8e22ab1-6160-4e49-a512-03dfc97c8b9a,90,,"[107.3, 43.9]",3930175,1,,,,3.1126153,00018844-2ac3-441c-b751-8ed47ad26daf,Left Foot,,,"[100.4, 44.1]",True,Ground Pass,,6.902898,,,,Youri Tielemans,2954.0,,,,,,1,Regular Play,Romelu Lukaku Menama,3289.0,Center Forward,5,Belgium,782,['6003c593-8188-46a1-b9f5-c32b4febcd6d'],13,,,,,,,,,,,,,,,,Belgium,782,00:01:13.827,Pass,,,,,,,107.3,43.9,100.4,44.1,,,,,,100.4,44.1,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,1.452747,,,,,,,,,,,,,5c75ba52-8587-4ed8-9530-3b6f43ba1bc7,95,,"[61.0, 40.1]",3930175,2,True,,,-2.9229238,,Right Foot,,,"[30.4, 33.3]",,Ground Pass,,31.34645,,,,Marius Mihai Marin,30913.0,,,,,Kick Off,1,From Kick Off,Denis Mihai Drăguş,31193.0,Center Forward,6,Romania,905,['ac88aaa6-74df-40b9-a30c-a7f8e727322b'],14,,,,,,,,,,,,,,,,Romania,905,00:02:14.392,Pass,,,,,,,61.0,40.1,30.4,33.3,,,,,,30.4,33.3,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,3.655897,,,,,,,,,,,,,d4a4d027-ffd4-4f61-9c42-714fac03875d,97,,"[30.4, 34.0]",3930175,2,,,,-0.16162136,,Right Foot,,,"[104.0, 22.0]",,High Pass,,74.571846,,Incomplete,,Valentin Mihai Mihăilă,72512.0,,,,,,1,From Kick Off,Marius Mihai Marin,30913.0,Center Defensive Midfield,6,Romania,905,"['c37b1bb2-b931-4cd6-96cd-7015e7465e12', 'e3f62c85-3895-48e5-9adc-c33f2adbe1ed']",16,,,,,,,,,,,,,,,,Romania,905,00:02:16.835,Pass,,,,,,,30.4,34.0,104.0,22.0,,,,,,104.0,22.0,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,1.503195,,,,,,,,,,,,,c37b1bb2-b931-4cd6-96cd-7015e7465e12,99,,"[16.1, 58.1]",3930175,2,,,,0.5485494,,Head,,,"[28.7, 65.8]",,High Pass,,14.766516,,,,Dodi Lukebakio,12306.0,,,,,Recovery,1,Regular Play,Timothy Castagne,6989.0,Right Back,7,Belgium,782,"['59c1e7d4-0f6a-4e64-9d4b-dd3f8478aeb6', 'd4a4d027-ffd4-4f61-9c42-714fac03875d']",20,,,,,,,,,,,,,,,,Belgium,782,00:02:20.491,Pass,,,,,,,16.1,58.1,28.7,65.8,,,,,,28.7,65.8,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,0.951088,,,,,,,,,,,,,82edbdf2-98f1-4398-8e0b-937451061ab2,108,,"[77.6, 21.8]",3930175,2,,,,-1.6747679,,Right Foot,,,"[76.4, 10.3]",,Ground Pass,,11.562439,,,,Nicușor Silviu Bancu,34600.0,,,,,Recovery,1,Regular Play,Marius Mihai Marin,30913.0,Center Defensive Midfield,8,Romania,905,['9b5871a9-6afd-48c2-b0e0-84a044fbefb3'],25,,,,,,,,,,,,,,,,Romania,905,00:02:25.310,Pass,,,,,,,77.6,21.8,76.4,10.3,,,,,,76.4,10.3,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,0.66155,,,,,,,,,,,,,6ac19d75-8831-4393-a94e-34ceb0caa89e,111,,"[76.4, 10.3]",3930175,2,,,,0.5317241,,Left Foot,,,"[83.2, 14.3]",,Ground Pass,,7.889233,,,,Valentin Mihai Mihăilă,72512.0,,,,,,1,Regular Play,Nicușor Silviu Bancu,34600.0,Left Back,8,Romania,905,['09a1f556-22a6-4f7a-a01a-2116060212d3'],26,,,,,,,,,,,,,,,,Romania,905,00:02:26.600,Pass,,,,,,,76.4,10.3,83.2,14.3,,,,,,83.2,14.3,Belgium vs Romania,Belgium,Romania
