50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.552096,,,,,,,,,,,,,,e0604363-da3b-44ff-979e-b8a439b60fd3,49,,,"[73.2, 68.2]",3930170,0,,,,-3.0291655,,Left Foot,,,"[67.0, 67.5]",,Ground Pass,,6.239391,,,,Andrija Živković,6318.0,,,,,,,1,Regular Play,Dušan Tadić,3831.0,Right Attacking Midfield,3,Serbia,786,['91e96f90-aad9-443d-a345-885f8c75a7ff'],33,,,,,,,,,,,,,,,,,Serbia,786,00:00:33.084,Pass,,,,,,,73.2,68.2,67.0,67.5,,,,,,67.0,67.5,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,2.449056,,,,,,,,,,,,,,68d4715f-0cea-4b0c-8fbc-48f26f35ed18,53,,,"[67.3, 56.6]",3930170,0,,,,-1.263661,,Left Foot,,,"[83.0, 7.1]",,High Pass,,51.930145,,,,Filip Mladenović,7993.0,,,True,,,,1,Regular Play,Andrija Živković,6318.0,Right Wing Back,3,Serbia,786,"['51ab350c-d380-4764-93c6-6cc9c3ffbe24', '7132b2f4-b084-4242-9570-9ecca5b2d2da']",35,,,,,,,,,,,,,,,,,Serbia,786,00:00:35.468,Pass,True,,,,,,67.3,56.6,83.0,7.1,,,,,,83.0,7.1,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,1.481074,,,,,,,,,,,,,,2881b50c-2cc4-4bd7-ba9e-4451e8b6e1a5,56,,,"[91.6, 9.7]",3930170,0,,,,1.1186424,,Left Foot,True,,"[106.9, 41.2]",,High Pass,,35.01914,,Incomplete,,Aleksandar Mitrović,4269.0,,,,,,,1,Regular Play,Filip Mladenović,7993.0,Left Wing Back,3,Serbia,786,"['1294e556-8f06-4453-a289-8f18ef4c2869', '1cdc0d7a-5f62-42b1-b681-6198bd97dfba']",39,,,,,,,,,,,,,,,,,Serbia,786,00:00:39.597,Pass,,,,,,,91.6,9.7,106.9,41.2,,,,,,106.9,41.2,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,1.711721,,,,,,,,,,,,,,0ce6d778-8d8e-4186-8d5b-d3d1096efa8b,62,,,"[20.5, 39.5]",3930170,0,,,,-0.80622846,,Left Foot,,,"[29.9, 29.7]",,Low Pass,,13.579396,,Incomplete,,,,,,,,,,1,Regular Play,Timi Elšnik,15896.0,Left Defensive Midfield,3,Serbia,786,['0f46162b-b62e-4d6f-9a14-084672720340'],44,,,,,,,,,,,,,,,,,Slovenia,944,00:00:44.519,Pass,,,,,,,20.5,39.5,29.9,29.7,,,,,,29.9,29.7,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,0.972003,,,,,,,,,,,,,,0f46162b-b62e-4d6f-9a14-084672720340,63,,,"[90.2, 50.4]",3930170,0,,,,0.7440993,,Left Foot,,,"[96.5, 56.2]",,Ground Pass,,8.563293,,,,Andrija Živković,6318.0,,,,,,Recovery,1,Regular Play,Ivan Ilić,30179.0,Right Defensive Midfield,3,Serbia,786,"['0ce6d778-8d8e-4186-8d5b-d3d1096efa8b', 'f9ec4a9a-d75a-41d9-a796-8da307fa4215']",46,,,,,,,,,,,,,,,,,Serbia,786,00:00:46.230,Pass,,,,,,,90.2,50.4,96.5,56.2,,,,,,96.5,56.2,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,0.553579,,,,,,,,,,,,,,1c9a8b89-9a2e-42ed-b870-e24ef4803af5,66,,,"[97.8, 57.3]",3930170,0,,,,-0.7039461,,Left Foot,,,"[103.1, 52.8]",,Ground Pass,,6.9526973,,,,Dušan Vlahović,18015.0,,,,,,,1,Regular Play,Andrija Živković,6318.0,Right Wing Back,3,Serbia,786,['dc8f5673-859b-45eb-a76a-f728fd080b53'],47,,,,,,,,,,,,,,,,,Serbia,786,00:00:47.242,Pass,,,,,,,97.8,57.3,103.1,52.8,,,,,,103.1,52.8,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,0.883728,,,,,,,,,,,,,,d8a25caf-1f79-43be-bd09-67a6360ad8b2,71,,,"[102.6, 54.8]",3930170,0,,,,-2.691833,,Left Foot,,,"[99.7, 53.4]",,Ground Pass,,3.2202485,,Incomplete,,Andrija Živković,6318.0,,,,,,,1,Regular Play,Dušan Vlahović,18015.0,Left Attacking Midfield,3,Serbia,786,"['2498511e-e4f3-4dab-b05f-c185c0844ea6', '5ada8ba6-d290-403f-9453-460636433c5f', '90cbb7fb-d75f-47dc-8232-d3e1dbdde841', 'afba7ad3-9cd5-4dae-a7ce-34ce0df816cf']",48,,,,,,,,,,,,,,,,,Serbia,786,00:00:48.698,Pass,True,,,,,,102.6,54.8,99.7,53.4,,,,,,99.7,53.4,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,434654a3-ef6a-4d30-97d6-94e4a81486cc,77,,,"[71.3, 43.5]",3930170,0,,,,1.7429872,,Left Foot,,,"[70.9, 45.8]",,Ground Pass,,2.3345234,,Incomplete,,,,,,,,,,1,Regular Play,Strahinja Pavlović,27719.0,Left Center Back,3,Serbia,786,"['65458973-84e7-43eb-90e1-bf1ceef5c9d8', 'f2b1ea18-365c-47f3-971f-387c21697767']",52,,,,,,,,,,,,,,,,,Serbia,786,00:00:52.329,Pass,True,,,,,,71.3,43.5,70.9,45.8,,,,,,70.9,45.8,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,4.016132,,,,,,,,,,,,,,703eef92-c4f2-4c75-ab29-c067456e5a47,79,,,"[54.4, 33.4]",3930170,0,,,,-0.534127,,Left Foot,,,"[110.7, 0.1]",,High Pass,,65.41086,,Out,,Filip Mladenović,7993.0,,,,,,Recovery,1,Regular Play,Nikola Milenković,5603.0,Center Back,3,Serbia,786,['7593f9f3-8712-44af-b37b-6b377a7dbdc2'],54,,,,,,,,,,,,,,,,,Serbia,786,00:00:54.127,Pass,,,,,,,54.4,33.4,110.7,0.1,,,,,,110.7,0.1,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,1.797049,,,,,,,,,,,,,,63473389-e230-4cd5-acae-9676633c87f8,81,,,"[16.4, 80.0]",3930170,1,,,,-0.119428925,,,,,"[41.4, 77.0]",,High Pass,,25.179358,,,,Andraž Šporar,31866.0,,,,,,Throw-in,1,From Throw In,Žan Karničnik,137487.0,Right Back,4,Slovenia,944,['01ade67b-99a3-462d-ad20-fe73fea5b5e6'],18,,,,,,,,,,,,,,,,,Slovenia,944,00:01:18.033,Pass,,,,,,,16.4,80.0,41.4,77.0,,,,,,41.4,77.0,Slovenia vs Serbia,Slovenia,Serbia
