50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_penalty_saved_to_post,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,,,2.346329,,,,,,,,,,,,,,,,,d4b28383-c190-48f0-8650-423d6a989382,33,,"[58.4, 2.2]",3941020,1,,,,0.8177755,,Left Foot,,,,"[82.3, 27.7]",High Pass,,34.94939,,Incomplete,,Andraž Šporar,31866.0,,,,,,1,From Throw In,Jure Balkovec,30940.0,Left Back,5,Slovenia,944,"['c3ec7fa8-4cb2-45bd-9d0c-4478f6080bb8', 'ed990040-4301-478d-9c70-725a882138e1']",4,,,,,,,,,,,,,,,,,,,Slovenia,944,00:01:04.808,Pass,,,,,,,58.4,2.2,82.3,27.7,,,,,,82.3,27.7,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,1.798845,,,,,,,,,,,,,,,,,707e680c-feba-4470-aed2-d13515078886,45,,"[84.7, 17.3]",3941020,1,,,,0.76803017,,Left Foot,True,,,"[105.2, 37.1]",High Pass,,28.500702,,Incomplete,,Andraž Šporar,31866.0,,,,,,1,From Throw In,Timi Elšnik,15896.0,Left Defensive Midfield,5,Slovenia,944,"['6c8e7bb0-8813-4fd6-9e75-384a8b87afcd', '71493ae8-0ce3-48e0-a3c8-ad8d6fdb3b15']",12,,,,,,,,,,,,,,,,,,,Slovenia,944,00:01:12.902,Pass,,,,,,,84.7,17.3,105.2,37.1,,,,,,105.2,37.1,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,0.687397,,,,,,,,,,,,,,,,,878a57bb-1584-4510-92d3-ba98295fb154,48,,"[6.2, 78.3]",3941020,1,,,,-0.097726904,,Right Foot,,,,"[16.4, 77.3]",High Pass,,10.248902,,Incomplete,,,,,,,,Recovery,1,From Throw In,João Pedro Cavaco Cancelo,7005.0,Right Back,5,Slovenia,944,['117338a9-737f-46d6-a3f0-42542c688749'],18,,,,,,,,,,,,,,,,,,,Portugal,780,00:01:18.753,Pass,,,,,,,6.2,78.3,16.4,77.3,,,,,,16.4,77.3,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,1.583286,,,,,,,,,,,,,,,,,117338a9-737f-46d6-a3f0-42542c688749,49,,"[103.7, 2.8]",3941020,1,,,,1.702624,,Head,,,,"[101.3, 20.9]",High Pass,,18.258423,,Incomplete,,,,,,,,Recovery,1,From Throw In,Timi Elšnik,15896.0,Left Defensive Midfield,5,Slovenia,944,"['878a57bb-1584-4510-92d3-ba98295fb154', 'd717d90d-ac41-4ea6-8264-5e108bbbddb8']",19,,,,,,,,,,,,,,,,,,,Slovenia,944,00:01:19.440,Pass,,,,,,,103.7,2.8,101.3,20.9,,,,,,101.3,20.9,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,2.166893,,,,,,,,,,,,,,,,,8670a976-5470-46fb-8e87-e0b39467ea05,55,,"[18.0, 69.5]",3941020,1,,,,-2.0717075,,Right Foot,,,,"[8.2, 51.6]",Ground Pass,,20.407106,,,,Diogo Meireles Costa,32975.0,,,,,Free Kick,1,From Free Kick,Rúben Santos Gato Alves Dias,5206.0,Right Center Back,7,Portugal,780,['8275de68-5cef-41ee-a1a9-aca24e40e308'],39,,,,,,,,,,,,,,,,,,,Portugal,780,00:01:39.914,Pass,,,,,,,18.0,69.5,8.2,51.6,,,,,,8.2,51.6,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,1.810226,,,,,,,,,,,,,,,,,afa89503-f41a-4e53-add8-ea0d25fabf18,58,,"[10.3, 49.3]",3941020,1,,,,-1.1110022,,Right Foot,,,,"[20.6, 28.5]",Ground Pass,,23.210558,,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,1,From Free Kick,Diogo Meireles Costa,32975.0,Goalkeeper,7,Portugal,780,['d98d0986-00d5-47b1-a80b-6d194098985f'],43,,,,,,,,,,,,,,,,,,,Portugal,780,00:01:43.281,Pass,,,,,,,10.3,49.3,20.6,28.5,,,,,,20.6,28.5,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,1.370703,,,,,,,,,,,,,,,,,f7bd9586-0b00-4c0f-9270-34c1bcdfce01,61,,"[27.2, 27.1]",3941020,1,,,,-1.1071488,,Right Foot,,,,"[35.2, 11.1]",Ground Pass,,17.888544,,,,Nuno Mendes,41092.0,,,,,,1,From Free Kick,Kléper Laveran Lima Ferreira,20016.0,Left Center Back,7,Portugal,780,['eaf95a86-b8f8-4f64-8c78-bb4bad0e89ee'],47,,,,,,,,,,,,,,,,,,,Portugal,780,00:01:47.210,Pass,,,,,,,27.2,27.1,35.2,11.1,,,,,,35.2,11.1,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,1.166629,,,,,,,,,,,,,,,,,bbee84fe-9511-4f74-b2cf-de672d591ccc,64,,"[33.9, 14.7]",3941020,1,,,,2.0418239,,Left Foot,,,,"[28.4, 25.5]",Ground Pass,,12.119819,,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,1,From Free Kick,Nuno Mendes,41092.0,Left Back,7,Portugal,780,['d23f8aba-1df0-4946-864d-ef7d97bf666d'],50,,,,,,,,,,,,,,,,,,,Portugal,780,00:01:50.006,Pass,,,,,,,33.9,14.7,28.4,25.5,,,,,,28.4,25.5,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,1.058979,,,,,,,,,,,,,,,,,36854238-a4dd-4850-9429-026a63f3bc13,67,,"[35.4, 24.5]",3941020,1,,,,-0.89728844,,Right Foot,,,,"[43.3, 14.6]",Ground Pass,,12.665702,,,,Nuno Mendes,41092.0,,,,,,1,From Free Kick,Kléper Laveran Lima Ferreira,20016.0,Left Center Back,7,Portugal,780,['d35573db-dac0-4e95-9cd0-6af80d64fe08'],55,,,,,,,,,,,,,,,,,,,Portugal,780,00:01:55.020,Pass,,,,,,,35.4,24.5,43.3,14.6,,,,,,43.3,14.6,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,1.07172,,,,,,,,,,,,,,,,,80a84fad-ad0c-4321-9397-1d6edea29f2c,70,,"[41.1, 17.3]",3941020,1,,,,2.1001925,,Left Foot,,,,"[35.6, 26.7]",Ground Pass,,10.890821,,,,Kléper Laveran Lima Ferreira,20016.0,,,,,,1,From Free Kick,Nuno Mendes,41092.0,Left Back,7,Portugal,780,['8391d643-0140-467b-9367-c3577c47f470'],59,,,,,,,,,,,,,,,,,,,Portugal,780,00:01:59.023,Pass,,,,,,,41.1,17.3,35.6,26.7,,,,,,35.6,26.7,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,1.959028,,,,,,,,,,,,,,,,,2e5e247c-18c8-4510-ab58-8a46048f2283,73,,"[35.6, 27.6]",3941020,2,,,,1.2823668,,Right Foot,,,,"[46.4, 64.0]",Ground Pass,,37.968407,,,,Rúben Santos Gato Alves Dias,5206.0,,,,,,1,From Free Kick,Kléper Laveran Lima Ferreira,20016.0,Left Center Back,7,Portugal,780,['37f85876-82bc-4b60-8173-88d6dea7abe3'],1,,,,,,,,,,,,,,,,,,,Portugal,780,00:02:01.325,Pass,,,,,,,35.6,27.6,46.4,64.0,,,,,,46.4,64.0,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,1.340048,,,,,,,,,,,,,,,,,9236af1b-0941-40c1-8616-8c1858e8b770,76,,"[48.4, 69.7]",3941020,2,,,,0.28662124,,Left Foot,,,,"[67.4, 75.3]",Ground Pass,,19.808079,,,,Bernardo Mota Veiga de Carvalho e Silva,3193.0,,,,,,1,From Free Kick,Rúben Santos Gato Alves Dias,5206.0,Right Center Back,7,Portugal,780,['cc1f89ea-8e21-4767-9076-b9c5c1bac7d8'],4,,,,,,,,,,,,,,,,,,,Portugal,780,00:02:04.742,Pass,,,,,,,48.4,69.7,67.4,75.3,,,,,,67.4,75.3,Portugal vs Slovenia,Portugal,Slovenia
