50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3f371c93-7adf-4632-b28f-86a710ce1736,1033,,"[53.7, 48.7]",3930168,25,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Attila Fiola,11268.0,Right Center Back,41,Germany,770,['e757f6ec-b37c-4c7f-86b0-bfe92e1e91fc'],48,,,,,,,,,,,,,,,,Hungary,916,00:25:48.604,Foul Committed,,,,,,,53.7,48.7,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,True,,,,,,,,,,757a4908-fa7a-4a72-ac11-2662abf07174,1071,,"[69.8, 64.5]",3930168,27,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Robert Andrich,9195.0,Right Defensive Midfield,44,Hungary,916,"['2029b139-8e21-4b43-9418-9e20b9268469', 'b8cbf91c-dfee-4359-8995-4bdb6f6d7556']",12,,,,,,,,,,,,,,,,Germany,770,00:27:12.625,Foul Committed,,,,,,,69.8,64.5,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,11b1ac43-ba81-469a-89ff-1b86a1196dfd,1092,,"[60.5, 74.7]",3930168,27,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Attila Fiola,11268.0,Right Center Back,45,Germany,770,['f6c440b5-f6c1-4d18-8eba-0b911f7f9fdb'],25,,,,,,,,,,,,,,,,Hungary,916,00:27:25.469,Foul Committed,,,,,,,60.5,74.7,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,db41c253-f05f-467c-b535-43c4c86a1e90,1428,,"[90.9, 57.9]",3930168,33,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Robert Andrich,9195.0,Right Defensive Midfield,55,Hungary,916,"['08e50a0b-2dbd-4c47-90c6-4a7eb30b5967', '36ce9001-29e7-4866-8ef7-a8100f435526']",43,,,,,,,,,,,,,,,,Germany,770,00:33:43.737,Foul Committed,,,,,,,90.9,57.9,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,True,,,,,,,,,,a0c56cc2-9870-4ada-9f41-743e5aa3c49e,1488,,"[47.1, 77.8]",3930168,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bendegúz Bolla,46789.0,Right Wing Back,57,Germany,770,"['115194a9-9bef-4aea-a7b0-9dbf4b2e8e92', '6e3ee663-7ed7-4987-972b-28d4397817a1']",2,,,,,,,,,,,,,,,,Hungary,916,00:35:02.366,Foul Committed,,,,,,,47.1,77.8,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,64a09872-302d-45ea-b853-ab71d465bada,1582,,"[112.5, 23.7]",3930168,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Jamal Musiala,39565.0,Right Wing,59,Germany,770,['a4b5012d-a54f-410c-935c-98e2301447c8'],47,,,,,,,,,,,,,,,,Germany,770,00:37:47.035,Foul Committed,,,,,,,112.5,23.7,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,True,,,,,,,,,,bcb43ff2-b9ac-4ad4-9315-7386aade5a1a,1678,,"[32.1, 7.2]",3930168,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Roland Sallai,19316.0,Left Attacking Midfield,64,Germany,770,"['9cbf46ed-34ca-41c7-8ea4-1312f8802d09', 'a3b10f0e-68da-48dd-8718-5cf7101fa937']",59,,,,,,,,,,,,,,,,Hungary,916,00:40:59.045,Foul Committed,,,,,,,32.1,7.2,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,True,,,,,,,,,,863fe99d-b66e-4ecd-928d-1ff90afaff0b,1758,,"[27.9, 24.1]",3930168,42,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Márton Dárdai,40920.0,Left Center Back,66,Germany,770,['f040dfd6-86ab-4177-accf-d8d9bc02bc59'],16,,,,,,,,,,,,,,,,Hungary,916,00:42:16.251,Foul Committed,,,,,,,27.9,24.1,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7476a6fe-500e-4644-8c8d-baa7983035fd,1936,,"[32.6, 75.4]",3930168,45,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Joshua Kimmich,5579.0,Right Back,68,Hungary,916,"['714dfdd1-d7e6-4998-a525-bdf84ff27fdd', '9eac72f2-7227-4a03-8044-09fb4acc90d7']",45,,,,,,,,,,,,,,,,Germany,770,00:45:45.289,Foul Committed,,,,,,,32.6,75.4,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,842e0713-69ed-45a5-bb1b-4ced63339685,2044,,"[110.4, 30.5]",3930168,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Kai Havertz,8966.0,Center Forward,73,Germany,770,['a81053bd-a406-4b4f-bbd7-a9e39f53a1ff'],31,,,,,,,,,,,,,,,,Germany,770,00:01:31.533,Foul Committed,,,,,,,110.4,30.5,,,,,,,,,,Germany vs Hungary,Germany,Hungary
