50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,0.917016,,,,,,,,,,,7df8d992-42ea-496c-a2d4-0eaaf8d4f712,51,,,"[25.4, 59.2]",3930165,1,,,,1.6292403,,Right Foot,,,"[24.3, 78.0]",Ground Pass,,18.832153,,,,Jules Koundé,4445.0,,,,,,1,Regular Play,N'Golo Kanté,3961.0,Right Defensive Midfield,4,France,771,"['c91df299-03bb-4f18-affc-ee68d4362037', 'f63e9411-cd8b-4be8-b28e-ae662ba9f8db']",2,,,,,,,,,,,,,,,,France,771,00:01:02.608,Pass,True,,,,,,25.4,59.2,24.3,78.0,,,,,,24.3,78.0,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,4.124989,,,,,,,,,,,3d4bf6c7-7d2b-44cd-81c6-0037f69c4dda,54,,,"[24.7, 77.7]",3930165,1,,,,-0.031195551,,Right Foot,,,"[95.2, 75.5]",High Pass,,70.53432,,,,Ousmane Dembélé,5477.0,,,,,,1,Regular Play,Jules Koundé,4445.0,Right Back,4,France,771,['8ce1cbc8-286f-4a35-9175-3833e5f9b21f'],4,,,,,,,,,,,,,,,,France,771,00:01:04.431,Pass,,,,,,,24.7,77.7,95.2,75.5,,,,,,95.2,75.5,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,1.037158,,,,,,,,,,,6bb7608a-d42b-421b-8825-8be294275dbe,60,,,"[104.0, 73.1]",3930165,1,,,,-2.7980537,,Left Foot,,,"[91.7, 68.7]",Ground Pass,,13.063308,,,,Antoine Griezmann,5487.0,,,,,Recovery,1,Regular Play,Ousmane Dembélé,5477.0,Right Wing,4,France,771,['b52eff1a-3348-483e-957a-f4c4b17f6a9c'],11,,,,,,,,,,,,,,,,France,771,00:01:11.891,Pass,,,,,,,104.0,73.1,91.7,68.7,,,,,,91.7,68.7,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,0.443716,,,,,,,,,,,72e1113a-f0e7-4027-9445-34c4dfd6a468,64,,,"[96.9, 64.4]",3930165,1,,,,-0.87255543,,Right Foot,,,"[101.6, 58.8]",Low Pass,,7.3109508,,Incomplete,,Kylian Mbappé Lottin,3009.0,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Center Attacking Midfield,4,France,771,"['7a0b987c-e002-44b4-91aa-2b4e72f9c20f', '82150c2c-78e2-48a1-b689-f579db76865c', 'b4718f76-8472-4742-a287-14012f8114bc']",14,,,,,,,,,,,,,,,,France,771,00:01:14.097,Pass,True,,,,,,96.9,64.4,101.6,58.8,,,,,,101.6,58.8,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,0.632269,,,,,,,,,,,747c9d8c-2244-47f5-a0e2-4d580b306abc,68,,,"[15.8, 15.5]",3930165,1,,,,0.16183743,,Right Foot,,,"[25.6, 17.1]",Ground Pass,,9.929753,,,,Marcel Sabitzer,8518.0,,,,,Recovery,1,Regular Play,Philipp Mwene,13315.0,Left Back,5,Austria,915,['43306099-27e7-415e-8b73-f902509e7399'],16,,,,,,,,,,,,,,,,Austria,915,00:01:16.255,Pass,,,,,,,15.8,15.5,25.6,17.1,,,,,,25.6,17.1,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,0.608104,,,,,,,,,,,68b88367-7018-4711-81c1-1375a6d987cf,70,,,"[25.6, 17.1]",3930165,1,,,,2.3561945,,Right Foot,,,"[21.4, 21.3]",Ground Pass,,5.939697,,,,Florian Grillitsch,11396.0,,,,,,1,Regular Play,Marcel Sabitzer,8518.0,Left Wing,5,Austria,915,['ab97ce67-5459-4e14-9cd6-6b64ddbbb293'],16,,,,,,,,,,,,,,,,Austria,915,00:01:16.888,Pass,,,,,,,25.6,17.1,21.4,21.3,,,,,,21.4,21.3,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,0.918501,,,,,,,,,,,6801b688-0ce4-451a-b672-952c3dffc25d,73,,,"[21.4, 23.1]",3930165,1,,,,-0.70449406,,Right Foot,,,"[29.4, 16.3]",Ground Pass,,10.499524,,,,Marcel Sabitzer,8518.0,,,,,,1,Regular Play,Florian Grillitsch,11396.0,Left Defensive Midfield,5,Austria,915,"['2b31e5f1-0c25-4e60-ae18-8fc73207a8b9', '7233cb07-6b53-4b49-86fe-0a90c82e0a78']",17,,,,,,,,,,,,,,,,Austria,915,00:01:17.496,Pass,True,,,,,,21.4,23.1,29.4,16.3,,,,,,29.4,16.3,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,1.214486,,,,,,,,,,,67f002eb-be64-41ec-9f8a-17213279e171,77,,,"[84.6, 65.7]",3930165,1,,,,-1.2877005,,Right Foot,,,"[87.8, 54.7]",Ground Pass,,11.456003,,,,Adrien Rabiot,3026.0,,,,,Recovery,1,Regular Play,Jules Koundé,4445.0,Right Back,6,France,771,['6e0768c6-9c44-46b8-853e-3d7d735f8c4f'],18,,,,,,,,,,,,,,,,France,771,00:01:18.913,Pass,,,,,,,84.6,65.7,87.8,54.7,,,,,,87.8,54.7,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,0.979205,,,,,,,,,,,bb291247-42e1-4666-aa87-6fcf6da810dc,79,,,"[87.8, 54.7]",3930165,1,,,,-2.0344439,,Left Foot,,,"[85.9, 50.9]",Ground Pass,,4.248529,,,,N'Golo Kanté,3961.0,,,,,,1,Regular Play,Adrien Rabiot,3026.0,Left Defensive Midfield,6,France,771,['270f0e34-8298-43d5-aa2d-fbb6ecebc4d2'],20,,,,,,,,,,,,,,,,France,771,00:01:20.128,Pass,,,,,,,87.8,54.7,85.9,50.9,,,,,,85.9,50.9,Austria vs France,Austria,France
,,,,,,,,,,,,,,,,4.187715,,,,,,,,,,,11b5e8bc-b4bd-489e-8874-9de84fb24f8e,82,,,"[86.5, 44.5]",3930165,1,,,,-0.7508156,,Left Foot,,,"[117.9, 15.2]",Ground Pass,,42.94706,,,,Theo Bernard François Hernández,6704.0,,,,,,1,Regular Play,N'Golo Kanté,3961.0,Right Defensive Midfield,6,France,771,['732ff925-d07a-4536-bddf-d6810339a025'],22,,,,,,,,,,,,,,,,France,771,00:01:22.189,Pass,,,,,,,86.5,44.5,117.9,15.2,,,,,,117.9,15.2,Austria vs France,Austria,France
