50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,1.924713,,,,,,,,,,,,,,,35cc73e2-581f-4757-a7a9-18e10ca36cae,3238,,,"[10.8, 67.5]",3938642,92,,,,-0.23763785,,Right Foot,,,"[39.7, 60.5]",High Pass,,29.735668,,,Giorgi Kvilitaia,24284.0,,,,,,2,Regular Play,Otar Kakabadze,25036.0,Right Wing Back,168,Georgia,2138,['4a757ce1-0277-4238-8075-f8026a49c25d'],33,,,,,,,,,,,,,,,,,Georgia,2138,00:47:33.433,Pass,,,,,,,10.8,67.5,39.7,60.5,,,,,,39.7,60.5,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,1.003454,,,,,,,,,,,,,,,73505d25-392e-40ac-b080-3830f90bae33,3242,,,"[41.5, 59.9]",3938642,92,,,,-2.48751,,Right Foot,,,"[35.5, 55.3]",Ground Pass,,7.5604234,,,Anzor Mekvabishvili,264017.0,,,,,,2,Regular Play,Giorgi Kvilitaia,24284.0,Center Forward,168,Georgia,2138,"['5fb2c758-09e8-4867-b6ca-3c95f57b4fca', '7baf8407-4af8-4dcb-b41c-22b901aee16d']",36,,,,,,,,,,,,,,,,,Georgia,2138,00:47:36.318,Pass,True,,,,,,41.5,59.9,35.5,55.3,,,,,,35.5,55.3,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,2.761904,,,,,,,,,,,,,,,8ec5e387-089d-40b6-9dd5-18e740d91bf0,3245,,,"[36.3, 55.3]",3938642,92,,,,0.17583027,,Left Foot,,,"[75.7, 62.3]",High Pass,,40.017,Incomplete,,Saba Lobzhanidze,7087.0,,,,,,2,Regular Play,Anzor Mekvabishvili,264017.0,Right Defensive Midfield,168,Georgia,2138,"['cc01ac6c-551b-46dc-a731-4a66e058a01c', 'e582258b-351a-40ab-91ae-0a9b496b699b']",37,,,,,,,,,,,,,,,,,Georgia,2138,00:47:37.402,Pass,,,,,,,36.3,55.3,75.7,62.3,,,,,,75.7,62.3,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,2.578721,,,,,,,,,,,,,,,e582258b-351a-40ab-91ae-0a9b496b699b,3247,,,"[44.4, 17.8]",3938642,92,,,,-0.8515665,,Head,,,"[59.9, 0.1]",High Pass,,23.527431,Out,,Matěj Jurásek,39143.0,,,,,Recovery,2,Regular Play,Robin Hranáč,81330.0,Center Back,168,Georgia,2138,"['8ec5e387-089d-40b6-9dd5-18e740d91bf0', 'fb12261d-2a7a-4947-aa2d-875a84f7d444']",40,,,,,,,,,,,,,,,,,Czech Republic,912,00:47:40.164,Pass,,,,,,,44.4,17.8,59.9,0.1,,,,,,59.9,0.1,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,1.250011,,,,,,,,,,,,,,,30b66b1b-6c48-45f1-9437-bd1b920b33e8,3249,,,"[58.6, 80.0]",3938642,92,,,,-1.6622833,,,,,"[57.6, 69.1]",Low Pass,,10.945775,,,Anzor Mekvabishvili,264017.0,,,,,Throw-in,2,From Throw In,Otar Kakabadze,25036.0,Right Wing Back,169,Georgia,2138,['40ef9222-48cf-4070-9f99-f7c8cf3c02ba'],59,,,,,,,,,,,,,,,,,Georgia,2138,00:47:59.327,Pass,,,,,,,58.6,80.0,57.6,69.1,,,,,,57.6,69.1,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,1.861048,,,,,,,,,,,,,,,2c515e62-ce99-4721-8b4d-87a47fc694d4,3252,,,"[55.4, 69.7]",3938642,93,,,,2.874928,,Right Foot,,,"[34.9, 75.3]",Ground Pass,,21.251118,,,Giorgi Gvelesiani,398886.0,,,,,,2,From Throw In,Anzor Mekvabishvili,264017.0,Right Defensive Midfield,169,Georgia,2138,['f1d432f5-0853-4547-a48c-6b8e6f9e749d'],2,,,,,,,,,,,,,,,,,Georgia,2138,00:48:02.512,Pass,,,,,,,55.4,69.7,34.9,75.3,,,,,,34.9,75.3,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,2.304465,,,,,,,,,,,,,,,17ffdc3e-d2b3-4c8e-afb6-5de9fae77ceb,3255,,,"[34.9, 75.3]",3938642,93,,,,-2.2893198,,Right Foot,,,"[14.7, 52.2]",Ground Pass,,30.686316,,,Giorgi Mamardashvili,102371.0,,,,,,2,From Throw In,Giorgi Gvelesiani,398886.0,Right Center Back,169,Georgia,2138,['1c8b4d79-cc5c-41f5-a694-f96ae20742c7'],4,,,,,,,,,,,,,,,,,Georgia,2138,00:48:04.413,Pass,,,,,,,34.9,75.3,14.7,52.2,,,,,,14.7,52.2,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,6.338275,,,,,,,,,,,,,,,d10e15cf-334a-4e81-948d-82e1c19d72e9,3259,,,"[15.9, 47.9]",3938642,93,,,,-0.13557802,,Left Foot,,,"[104.6, 35.8]",Ground Pass,,89.52151,Incomplete,,,,,,,,,2,From Throw In,Giorgi Mamardashvili,102371.0,Goalkeeper,169,Georgia,2138,"['77e5589a-33ec-4415-9e7f-695886fbc4cb', '8f0c6f2b-d220-4908-af70-8e0b00f5dffd']",8,,,,,,,,,,,,,,,,,Georgia,2138,00:48:08.140,Pass,True,,,,,,15.9,47.9,104.6,35.8,,,,,,104.6,35.8,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,1.562873,,,,,,,,,,,,,,,77e5589a-33ec-4415-9e7f-695886fbc4cb,3260,,,"[15.5, 44.3]",3938642,93,,,,0.41900375,,Right Foot,,,"[27.4, 49.6]",Ground Pass,,13.0268955,,,Tomáš Holeš,16469.0,,,,,Recovery,2,Regular Play,Jindřich Staněk,28040.0,Goalkeeper,170,Czech Republic,912,"['c634cf67-d20e-4282-8140-2a8e64c90407', 'd10e15cf-334a-4e81-948d-82e1c19d72e9']",14,,,,,,,,,,,,,,,,,Czech Republic,912,00:48:14.478,Pass,,,,,,,15.5,44.3,27.4,49.6,,,,,,27.4,49.6,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,1.807258,,,,,,,,,,,,,,,5e261e13-03bd-4b32-9f8e-3201beeea7da,3263,,,"[37.9, 50.6]",3938642,93,,,,-1.1265324,,Right Foot,,,"[49.8, 25.6]",Ground Pass,,27.687723,,,Ladislav Krejčí,28272.0,,,,,,2,Regular Play,Tomáš Holeš,16469.0,Right Center Back,170,Czech Republic,912,['74c5ec7c-daf4-488a-92a2-8fb384aaf2ad'],19,,,,,,,,,,,,,,,,,Czech Republic,912,00:48:19.273,Pass,,,,,,,37.9,50.6,49.8,25.6,,,,,,49.8,25.6,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,1.659088,,,,,,,,,,,,,,,9fdb9201-8b13-4861-9ab5-2de414b1fd03,3266,,,"[56.9, 26.2]",3938642,93,,,,1.2748202,,Left Foot,,,"[63.7, 48.5]",Ground Pass,,23.31373,,,Petr Ševčík,23454.0,,,,,,2,Regular Play,Ladislav Krejčí,28272.0,Left Center Back,170,Czech Republic,912,['d91dfd4c-4f67-4ac0-bcc2-4f79befaf91c'],23,,,,,,,,,,,,,,,,,Czech Republic,912,00:48:23.146,Pass,,,,,,,56.9,26.2,63.7,48.5,,,,,,63.7,48.5,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,0.853785,,,,,,,,,,,,,,,baa7a834-93a5-4fd2-a4df-3ddddf78d464,3269,,,"[71.9, 59.9]",3938642,93,,,,0.36520144,,Right Foot,,,"[85.5, 65.1]",Ground Pass,,14.56022,,,Antonín Barák,7801.0,,,,,,2,Regular Play,Petr Ševčík,23454.0,Left Defensive Midfield,170,Czech Republic,912,['95214651-01e3-46b5-bab7-97072b1fb41c'],27,,,,,,,,,,,,,,,,,Czech Republic,912,00:48:27.761,Pass,,,,,,,71.9,59.9,85.5,65.1,,,,,,85.5,65.1,Georgia vs Czech Republic,Georgia,Czech Republic
