50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,,0.952905,,,,,,,,,,,,,07ac4dd9-9598-40ff-9d64-151851109179,48,,,"[38.5, 4.6]",3930164,0,,,,,2.4598935,,Right Foot,,,"[26.3, 14.5]",Ground Pass,,15.711461,,,Zeno Debast,114832.0,,,,,,1,From Throw In,Yannick Ferreira Carrasco,5633.0,Left Back,3,Belgium,782,['e044f7d3-2357-4b2a-a003-c37197cf41a3'],52,,,,,,,,,,,,,,,,Belgium,782,00:00:52.322,Pass,,,,,,,38.5,4.6,26.3,14.5,,,,,,26.3,14.5,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,2.162193,,,,,,,,,,,,,37ef39f9-7a0f-48e9-8774-feb72da61fd9,51,,,"[19.8, 11.2]",3930164,0,,,,,1.9988552,,Right Foot,,,"[7.8, 37.5]",Ground Pass,,28.908304,,,Koen Casteels,8240.0,,,,,,1,From Throw In,Zeno Debast,114832.0,Left Center Back,3,Belgium,782,['763cf58e-ec90-47e7-a941-cdc01d6f2271'],54,,,,,,,,,,,,,,,,Belgium,782,00:00:54.757,Pass,,,,,,,19.8,11.2,7.8,37.5,,,,,,7.8,37.5,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,1.348047,,,,,,,,,,,,,3c863cad-cdbd-46ef-ad49-d79a07f2390b,54,,,"[8.8, 39.2]",3930164,0,,,,,1.3654009,,Left Foot,,,"[12.8, 58.4]",Ground Pass,,19.612242,,,Wout Faes,8854.0,,,,,,1,From Throw In,Koen Casteels,8240.0,Goalkeeper,3,Belgium,782,['0a8c7452-4503-4939-89af-e7edd63ab953'],57,,,,,,,,,,,,,,,,Belgium,782,00:00:57.737,Pass,,,,,,,8.8,39.2,12.8,58.4,,,,,,12.8,58.4,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,1.004863,,,,,,,,,,,,,0fffc004-64fb-4208-8cb5-62782459ebbb,57,,,"[14.3, 59.2]",3930164,1,,,,,1.4755795,,Left Foot,,,"[16.0, 77.0]",Ground Pass,,17.880995,,,Timothy Castagne,6989.0,,,,,,1,From Throw In,Wout Faes,8854.0,Right Center Back,3,Belgium,782,['e048bb31-3a35-44a7-b8da-4a780f38a2e2'],0,,,,,,,,,,,,,,,,Belgium,782,00:01:00.195,Pass,,,,,,,14.3,59.2,16.0,77.0,,,,,,16.0,77.0,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,2.936797,,,,,,,,,,,,,dfcf87b5-1679-4cff-be42-f67683805258,61,,,"[16.2, 77.4]",3930164,1,,,,,-0.074627504,,Right Foot,,,"[69.7, 73.4]",High Pass,,53.649323,Incomplete,,Romelu Lukaku Menama,3289.0,,,,,,1,From Throw In,Timothy Castagne,6989.0,Right Back,3,Belgium,782,"['2bf51f81-1fa2-4ff3-a79f-f241923da268', 'a4d6eeff-63bf-49ea-9d3e-e9e28c004acb']",2,,,,,,,,,,,,,,,,Belgium,782,00:01:02.459,Pass,,,,,,,16.2,77.4,69.7,73.4,,,,,,69.7,73.4,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,1.092673,,,,,,,,,,,,,2bf51f81-1fa2-4ff3-a79f-f241923da268,63,,,"[50.4, 6.7]",3930164,1,,,,,-0.41822433,,Other,,,"[61.2, 1.9]",Low Pass,,11.818629,,,Dávid Hancko,16879.0,,,,,Recovery,1,Regular Play,Milan Škriniar,6990.0,Left Center Back,4,Slovakia,908,"['48097d08-641c-40d7-9efd-e00aee86f8ec', 'dfcf87b5-1679-4cff-be42-f67683805258']",5,,,,,,,,,,,,,,,,Slovakia,908,00:01:05.396,Pass,,,,,,,50.4,6.7,61.2,1.9,,,,,,61.2,1.9,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,1.384842,,,,,,,,,,,,,dcc068e9-5ee9-4a1b-b841-11f6bc8ce31b,67,,,"[60.7, 1.5]",3930164,1,,,,,1.4648119,,Left Foot,,,"[61.7, 10.9]",High Pass,,9.453042,,,Stanislav Lobotka,6798.0,,,,,,1,Regular Play,Dávid Hancko,16879.0,Left Back,4,Slovakia,908,"['5be1f40c-6d79-4490-a00e-ce38bef98d4d', 'd666ea51-3cb1-411f-87fb-9dba59b04b2f']",6,,,,,,,,,,,,,,,,Slovakia,908,00:01:06.958,Pass,True,,,,,,60.7,1.5,61.7,10.9,,,,,,61.7,10.9,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,2.588869,,,,,,,,,,,,,adf01f72-5d35-4570-aabd-4b2662f694ba,69,,,"[61.7, 10.9]",3930164,1,,,,,0.10308161,,Head,,,"[79.1, 12.7]",High Pass,,17.492855,Incomplete,,Róbert Boženík,34904.0,,,,,,1,Regular Play,Stanislav Lobotka,6798.0,Center Defensive Midfield,4,Slovakia,908,"['40808bae-c6c7-479e-b8bd-782dd3a2a0d0', '95d93667-e9bb-4790-98fe-6fc75d37718d']",8,,,,,,,,,,,,,,,,Slovakia,908,00:01:08.358,Pass,,,,,,,61.7,10.9,79.1,12.7,,,,,,79.1,12.7,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,2.037223,,,,,,,,,,,,,95d93667-e9bb-4790-98fe-6fc75d37718d,71,,,"[41.0, 67.4]",3930164,1,,,,,0.4426926,,Head,,,"[54.5, 73.8]",High Pass,,14.940214,Incomplete,,Orel Mangala,8950.0,,,,,Recovery,1,Regular Play,Wout Faes,8854.0,Right Center Back,4,Slovakia,908,"['5968f5a1-15be-4a22-8f70-d13c7c68c755', '8b35a919-4bef-4c4d-8c88-146aa218a285', 'adf01f72-5d35-4570-aabd-4b2662f694ba']",10,,,,,,,,,,,,,,,,Belgium,782,00:01:10.946,Pass,,,,,,,41.0,67.4,54.5,73.8,,,,,,54.5,73.8,Belgium vs Slovakia,Belgium,Slovakia
,,,,,,,,,,,,,,,,,,,1.334142,,,,,,,,,,,,,5c835edf-9fe0-48c6-ad6e-9ef3c7f9d9de,75,,,"[61.5, 12.1]",3930164,1,,,,,2.0309596,,Right Foot,,,"[55.8, 23.6]",High Pass,,12.835108,,,Stanislav Lobotka,6798.0,,,,,,1,Regular Play,Ondrej Duda,8967.0,Left Center Midfield,4,Slovakia,908,['21906cdb-60f9-45d7-ae30-2e298af04290'],13,,,,,,,,,,,,,,,,Slovakia,908,00:01:13.695,Pass,,,,,,,61.5,12.1,55.8,23.6,,,,,,55.8,23.6,Belgium vs Slovakia,Belgium,Slovakia
