50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,"[48.8, 56.0]",,,,,,,,,,,,0.710819,,,,,,,,,,,,,676332dc-6cf8-44f1-b88f-1a73a18cdfec,394,,,"[49.0, 56.4]",3930162,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Andreas Christensen,3959.0,Center Back,11,Denmark,776,"['413e7562-f09b-4f29-b3e9-eef92e32ec29', '88654da7-f30e-4a61-b7c7-ffd297205c97', 'd4d07a65-0063-4278-9d93-efe41d037858']",49,,,,,,,,,,,,,,,,,Denmark,776,00:07:49.425,Carry,True,,,,,,49.0,56.4,,,48.8,56.0,,,,48.8,56.0,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[55.7, 46.8]",,,,,,,,,,,,0.763318,,,,,,,,,,,,,36f64ec2-c76a-4183-a90b-35b093855b3a,398,,,"[56.3, 47.7]",3930162,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Pierre-Emile Højbjerg,3570.0,Left Defensive Midfield,11,Denmark,776,"['09b484e0-b332-4a0b-8612-cc4f6498a4bd', '1b550973-f067-4e2c-8f89-9e1443533fc3']",50,,,,,,,,,,,,,,,,,Denmark,776,00:07:50.843,Carry,,,,,,,56.3,47.7,,,55.7,46.8,,,,55.7,46.8,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[52.0, 20.7]",,,,,,,,,,,,1.063754,,,,,,,,,,,,,a6085fc5-200a-4e66-a639-c9d4a22898d1,401,,,"[53.3, 22.0]",3930162,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Victor Bernth Kristansen,60343.0,Left Wing Back,11,Denmark,776,"['9b8a2862-3a14-4642-a84f-2f89df8cd611', 'e78771d9-c27a-436b-9658-bc829db9a986']",54,,,,,,,,,,,,,,,,,Denmark,776,00:07:54.800,Carry,,,,,,,53.3,22.0,,,52.0,20.7,,,,52.0,20.7,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[50.1, 33.3]",,,,,,,,,,,,4.297123,,,,,,,,,,,,,c508233d-8aba-4507-bd8e-037de204406b,404,,,"[43.0, 34.6]",3930162,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Jannik Vestergaard,8815.0,Left Center Back,11,Denmark,776,"['5e34a33b-4a4f-4251-9800-35ffe052732f', 'c031528e-102a-4c10-8fde-f59b16bdb566']",57,,,,,,,,,,,,,,,,,Denmark,776,00:07:57.234,Carry,,,,,,,43.0,34.6,,,50.1,33.3,,,,50.1,33.3,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[57.4, 22.6]",,,,,,,,,,,,0.748308,,,,,,,,,,,,,64932346-0677-4a8d-96f9-59cc9bc00170,408,,,"[56.3, 22.0]",3930162,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Pierre-Emile Højbjerg,3570.0,Left Defensive Midfield,11,Denmark,776,"['4bd55ebe-4428-4215-8001-0b7fb9d73af4', '72c6f236-d308-4225-82f3-0a1dafb3239e', 'efa5a400-ddf0-4e9a-8e49-4b103eb6b071']",2,,,,,,,,,,,,,,,,,Denmark,776,00:08:02.821,Carry,True,,,,,,56.3,22.0,,,57.4,22.6,,,,57.4,22.6,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[70.6, 5.7]",,,,,,,,,,,,1.140117,,,,,,,,,,,,,b9f043a1-31b7-4128-a35d-4e42ba133ffd,411,,,"[70.6, 7.9]",3930162,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Victor Bernth Kristansen,60343.0,Left Wing Back,11,Denmark,776,"['1163cbf4-e543-475e-9595-ee7de9c665a9', '83cdb2cc-2b1a-40e3-b2d7-edb4d63ed409']",4,,,,,,,,,,,,,,,,,Denmark,776,00:08:04.838,Carry,,,,,,,70.6,7.9,,,70.6,5.7,,,,70.6,5.7,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[89.0, 20.5]",,,,,,,,,,,,1.548794,,,,,,,,,,,,,8520bc3a-e866-40d4-88bf-ca209c5c881e,414,,,"[83.9, 24.3]",3930162,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Rasmus Winther Højlund,51672.0,Left Center Forward,11,Denmark,776,"['2f4ce98d-3db5-4d2f-873d-fbc92d8f7677', 'bc47b8e3-44a9-4ba6-8287-1f3ec2648490', 'd73a1935-0233-4103-8dd0-b206bb45e0bf']",7,,,,,,,,,,,,,,,,,Denmark,776,00:08:07.038,Carry,True,,,,,,83.9,24.3,,,89.0,20.5,,,,89.0,20.5,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[85.8, 28.8]",,,,,,,,,,,,0.459697,,,,,,,,,,,,,3637ce13-4941-44e0-9e72-01b6d0bd5958,421,,,"[85.8, 29.0]",3930162,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Pierre-Emile Højbjerg,3570.0,Left Defensive Midfield,11,Denmark,776,"['1ce8f5d4-2ebd-4390-8925-c75cb458446b', '9d3c6d4a-74b3-4250-9254-923ab8cc3aca', 'c4be6077-5615-491f-9016-fff01842f81f']",10,,,,,,,,,,,,,,,,,Denmark,776,00:08:10.709,Carry,True,,,,,,85.8,29.0,,,85.8,28.8,,,,85.8,28.8,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[85.2, 40.0]",,,,,,,,,,,,0.522441,,,,,,,,,,,,,b133606b-b380-435e-ac42-87b5c1d9765c,425,,,"[84.5, 40.6]",3930162,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Morten Hjulmand,8621.0,Right Defensive Midfield,11,Denmark,776,"['7a5e7917-3bf1-40f0-ac88-488d1ce9e2b2', 'bdae83a9-5ff4-4664-89cd-7b4fc8424641']",12,,,,,,,,,,,,,,,,,Denmark,776,00:08:12.237,Carry,,,,,,,84.5,40.6,,,85.2,40.0,,,,85.2,40.0,Slovenia vs Denmark,Slovenia,Denmark
,,,,,"[92.7, 40.8]",,,,,,,,,,,,0.87971,,,,,,,,,,,,,197de332-cce8-4ff3-895f-c4c5067a30e9,428,,,"[93.1, 41.0]",3930162,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Christian Dannemann Eriksen,3043.0,Center Attacking Midfield,11,Denmark,776,"['b4e8b2c0-f715-4abf-ae18-984b45a6edbd', 'c9b97eff-4b19-4d5e-bdd3-9ae5d073f08f']",13,,,,,,,,,,,,,,,,,Denmark,776,00:08:13.457,Carry,,,,,,,93.1,41.0,,,92.7,40.8,,,,92.7,40.8,Slovenia vs Denmark,Slovenia,Denmark
