50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,3.225415,,,,,,,,,,,,,45631b52-ed55-4731-9ce1-df80f1f09682,55,,,"[28.3, 22.8]",3930177,0,,,,,-0.33230117,,Left Foot,,,,"[53.8, 14.0]",,High Pass,,26.975729,,,,Callum Styles,4286.0,,,,,,Recovery,1,From Free Kick,Willi Orban,8509.0,Center Back,4,Scotland,942,"['68b1d407-f0cd-495c-8368-316eb6b42334', '7f4e7686-be62-4b85-a3ac-ac92163ebd37']",58,,,,,,,,,,,,,,,,,Hungary,916,00:00:58.863,Pass,,,,,,,28.3,22.8,53.8,14.0,,,,,,53.8,14.0,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,2.121572,,,,,,,,,,,,,47542d9a-b208-49e2-9af4-2c37ef3dd93e,57,,,"[53.8, 13.3]",3930177,1,,,,True,-0.54486394,,,,,,"[57.1, 11.3]",,Low Pass,,3.8587563,,Incomplete,,,,,,,,,,1,From Free Kick,Callum Styles,4286.0,Left Defensive Midfield,4,Scotland,942,"['02a00c43-ff80-4ce4-b8b7-83bbfc6eb4ea', '1a7d1ad1-bd5f-4f02-b299-d2fc0b5f3cc9']",2,,,,,,,,,,,,,,,,,Hungary,916,00:01:02.143,Pass,True,,,,,,53.8,13.3,57.1,11.3,,,,,,57.1,11.3,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,1.953339,,,,,,,,,,,,,0cafd9a2-f84b-436f-8d2a-4f95b47469d1,65,,,"[70.7, 57.4]",3930177,1,,,,,-2.2534647,,Left Foot,,,,"[53.3, 36.0]",,Ground Pass,,27.581154,,,,Scott McKenna,10002.0,,,,,,,1,From Free Kick,John McGinn,9974.0,Right Attacking Midfield,4,Scotland,942,"['1da20ca7-d68d-4e6f-9980-d4e69edc9706', 'f4a19502-ade7-49d9-9063-04af3bb6ed0f']",6,,,,,,,,,,,,,,,,,Scotland,942,00:01:06.104,Pass,True,,,,,,70.7,57.4,53.3,36.0,,,,,,53.3,36.0,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,1.111004,,,,,,,,,,,,,c28c4ad1-6cc5-48c1-bab5-198c66b644d0,68,,,"[52.3, 33.1]",3930177,1,,,,,-1.359703,,Left Foot,,,,"[56.5, 13.5]",,Ground Pass,,20.044949,,,,Andrew Robertson,3655.0,,,,,,,1,From Free Kick,Scott McKenna,10002.0,Left Center Back,4,Scotland,942,['728c9381-b213-4e3a-b702-72d7c433c656'],8,,,,,,,,,,,,,,,,,Scotland,942,00:01:08.486,Pass,,,,,,,52.3,33.1,56.5,13.5,,,,,,56.5,13.5,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,2.308716,,,,,,,,,,,,,656edc95-21df-4dfc-bb19-e28511deadad,71,,,"[56.3, 16.5]",3930177,1,,,,,2.0624893,,Left Foot,,,,"[43.5, 40.4]",,Ground Pass,,27.111805,,,,Grant Campbell Hanley,9481.0,,,,,,,1,From Free Kick,Andrew Robertson,3655.0,Left Wing Back,4,Scotland,942,['31434a3c-3400-4ec3-b9e4-347b27b459b6'],11,,,,,,,,,,,,,,,,,Scotland,942,00:01:11.965,Pass,,,,,,,56.3,16.5,43.5,40.4,,,,,,43.5,40.4,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,1.004269,,,,,,,,,,,,,6e31a077-db59-434e-a910-9e34d30ae3c1,74,,,"[48.2, 46.4]",3930177,1,,,,,-0.4096461,,Right Foot,,,,"[55.8, 43.1]",,Ground Pass,,8.285529,,,,Billy Gilmour,31067.0,,,,,,,1,From Free Kick,Grant Campbell Hanley,9481.0,Center Back,4,Scotland,942,['e9ff8b75-a25d-4bfd-b28d-db537640e148'],16,,,,,,,,,,,,,,,,,Scotland,942,00:01:16.751,Pass,,,,,,,48.2,46.4,55.8,43.1,,,,,,55.8,43.1,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,1.224303,,,,,,,,,,,,,3869608e-7b22-402b-99fa-d592c557d35c,77,,,"[56.1, 58.1]",3930177,1,,,,,2.3927636,,Left Foot,,,,"[47.6, 66.0]",,Ground Pass,,11.604309,,,,Jack Hendry,11116.0,,,,,,,1,From Free Kick,Billy Gilmour,31067.0,Right Defensive Midfield,4,Scotland,942,['87bbc551-feba-4c3e-8eeb-81be7d438600'],20,,,,,,,,,,,,,,,,,Scotland,942,00:01:20.326,Pass,,,,,,,56.1,58.1,47.6,66.0,,,,,,47.6,66.0,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,1.456547,,,,,,,,,,,,,a7779f79-e786-4f3b-bf8e-ad41aa92fd93,80,,,"[52.0, 60.4]",3930177,1,,,,,-1.8970178,,Right Foot,,,,"[45.2, 40.3]",,Ground Pass,,21.219095,,,,Grant Campbell Hanley,9481.0,,,,,,,1,From Free Kick,Jack Hendry,11116.0,Right Center Back,4,Scotland,942,['66d33c88-eff2-4048-af7e-f0e6bcb15ba2'],25,,,,,,,,,,,,,,,,,Scotland,942,00:01:25.177,Pass,,,,,,,52.0,60.4,45.2,40.3,,,,,,45.2,40.3,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,1.518361,,,,,,,,,,,,,ee8b9f27-8a76-4a7a-a342-ec2faf58a6c7,83,,,"[49.0, 33.7]",3930177,1,,,,,0.9548112,,Left Foot,,,,"[55.3, 42.6]",,Ground Pass,,10.904128,,,,Billy Gilmour,31067.0,,,,,,,1,From Free Kick,Grant Campbell Hanley,9481.0,Center Back,4,Scotland,942,['7a38c059-0421-4594-8d4e-d80eed7d8e5b'],30,,,,,,,,,,,,,,,,,Scotland,942,00:01:30.238,Pass,,,,,,,49.0,33.7,55.3,42.6,,,,,,55.3,42.6,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,0.962228,,,,,,,,,,,,,f070bd81-0172-4ca3-a09b-d3d6a459368b,87,,,"[55.9, 42.6]",3930177,1,,,,,0.10673567,,Right Foot,,,,"[75.5, 44.7]",,Low Pass,,19.71218,,,,Che Adams,9466.0,,,,,,,1,From Free Kick,Billy Gilmour,31067.0,Right Defensive Midfield,4,Scotland,942,['bca5d3a5-02a3-479d-8797-d8678b3d444e'],33,,,,,,,,,,,,,,,,,Scotland,942,00:01:33.346,Pass,,,,,,,55.9,42.6,75.5,44.7,,,,,,75.5,44.7,Scotland vs Hungary,Scotland,Hungary
