50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,1.318499,,,,,,,,,,,,,,,3b8303a6-a412-4e18-91a4-08d9bc3b0bc6,55,,,"[23.7, 36.0]",3938643,1,,,,-1.5127969,,Right Foot,,,"[24.6, 20.5]",Ground Pass,,15.526107,,,,Jakub Piotr Kiwior,44166.0,,,,,,1,From Kick Off,Jakub Moder,29480.0,Center Defensive Midfield,2,Poland,789,['cb215f76-436d-47cd-811e-f7aaf4f26f05'],11,,,,,,,,,,,,,,,,,Poland,789,00:01:11.167,Pass,,,,,,,23.7,36.0,24.6,20.5,,,,,,24.6,20.5,France vs Poland,France,Poland
,,,,,,,,,,,,,,,2.520284,,,,,,,,,,,,,,,87444d67-e417-4d1e-8fb8-d9b611d9d4ec,59,,,"[28.3, 16.1]",3938643,1,,,,2.7744188,,Left Foot,,,"[4.9, 25.1]",Ground Pass,,25.071098,,,,Łukasz Skorupski,11508.0,,,,,,1,From Kick Off,Jakub Piotr Kiwior,44166.0,Left Center Back,2,Poland,789,['1f77bb13-12d3-4aff-b728-559f13c254ff'],14,,,,,,,,,,,,,,,,,Poland,789,00:01:14.510,Pass,,,,,,,28.3,16.1,4.9,25.1,,,,,,4.9,25.1,France vs Poland,France,Poland
,,,,,,,,,,,,,,,1.73306,,,,,,,,,,,,,,,01de7047-9732-4cd4-b180-fcd97b180117,62,,,"[4.5, 25.0]",3938643,1,,,,1.3025403,,Right Foot,,,"[10.3, 46.1]",Ground Pass,,21.88264,,,,Paweł Dawidowicz,30739.0,,,,,,1,From Kick Off,Łukasz Skorupski,11508.0,Goalkeeper,2,Poland,789,['b91b9c14-ec4b-4e46-abba-8e83f5558db1'],18,,,,,,,,,,,,,,,,,Poland,789,00:01:18.147,Pass,,,,,,,4.5,25.0,10.3,46.1,,,,,,10.3,46.1,France vs Poland,France,Poland
,,,,,,,,,,,,,,,1.069889,,,,,,,,,,,,,,,04722d2b-6cf1-4b1b-a2fc-ddec6851dbf8,66,,,"[11.1, 53.5]",3938643,1,,,,2.5677936,,Left Foot,,,"[2.9, 58.8]",Ground Pass,,9.763708,,,,Jan Bednarek,4626.0,,,,,,1,From Kick Off,Paweł Dawidowicz,30739.0,Center Back,2,Poland,789,['e88965b7-f077-4776-a312-1231e4778371'],21,,,,,,,,,,,,,,,,,Poland,789,00:01:21.713,Pass,,,,,,,11.1,53.5,2.9,58.8,,,,,,2.9,58.8,France vs Poland,France,Poland
,,,,,,,,,,,,,,,2.194885,,,,,,,,,,,,,,,de32a49b-3a80-4c8b-83e1-7804466cad44,69,,,"[2.4, 62.6]",3938643,1,,,,0.093925714,,Right Foot,,,"[43.8, 66.5]",High Pass,,41.58329,,Incomplete,,Robert Lewandowski,5668.0,,,,,,1,From Kick Off,Jan Bednarek,4626.0,Right Center Back,2,Poland,789,"['3a1bd00b-9871-4598-af17-bf19c74402f5', '9fd869f9-e690-4aa9-b4cd-2c715377e66d']",23,,,,,,,,,,,,,,,,,Poland,789,00:01:23.745,Pass,,,,,,,2.4,62.6,43.8,66.5,,,,,,43.8,66.5,France vs Poland,France,Poland
,,,,,,,,,,,,,,,1.511497,,,,,,,,,,,,,,,3a1bd00b-9871-4598-af17-bf19c74402f5,71,,,"[76.3, 13.6]",3938643,1,,,,1.1071488,,Head,,,"[83.3, 27.6]",Low Pass,,15.652476,,,,Aurélien Djani Tchouaméni,10481.0,,,,,Recovery,1,Regular Play,William Saliba,17592.0,Left Center Back,3,France,771,"['d956aae7-323f-4dc5-bbe5-ff1241ccc9f3', 'de32a49b-3a80-4c8b-83e1-7804466cad44']",25,,,,,,,,,,,,,,,,,France,771,00:01:25.940,Pass,,,,,,,76.3,13.6,83.3,27.6,,,,,,83.3,27.6,France vs Poland,France,Poland
,,,,,,,,,,,,,,,0.016451,,,,,,,,,,,,,,,90354d5a-91c3-4460-be7c-616066bf99f7,75,,,"[81.5, 28.6]",3938643,1,,,,-0.4636476,,Right Foot,,,"[82.3, 28.2]",Low Pass,,0.8944272,,Incomplete,,,,,,,,,1,Regular Play,Aurélien Djani Tchouaméni,10481.0,Center Defensive Midfield,3,France,771,['f25923f6-cc64-4149-b721-c9d302f389f8'],27,,,,,,,,,,,,,,,,,France,771,00:01:27.572,Pass,,,,,,,81.5,28.6,82.3,28.2,,,,,,82.3,28.2,France vs Poland,France,Poland
,,,,,,,,,,,,,,,1.591243,,,,,,,,,,,,,,,f7f4b3e2-9eb6-4ae6-b48b-e97ac192b974,77,,,"[79.5, 31.3]",3938643,1,,,,1.354071,,Right Foot,,,"[81.9, 42.2]",Ground Pass,,11.161093,,,,Ousmane Dembélé,5477.0,,,,,Recovery,1,Regular Play,Aurélien Djani Tchouaméni,10481.0,Center Defensive Midfield,3,France,771,['37a57c76-ff51-452b-82c1-a112c469a93a'],29,,,,,,,,,,,,,,,,,France,771,00:01:29.510,Pass,,,,,,,79.5,31.3,81.9,42.2,,,,,,81.9,42.2,France vs Poland,France,Poland
,,,,,,,,,,,,,,,1.55273,,,,,,,,,,,,,,,1db2d4ce-ddd2-441e-b761-3675dce33df8,81,,,"[76.6, 37.9]",3938643,1,,,,-1.5574192,,Left Foot,,,"[77.0, 8.0]",Ground Pass,,29.902676,,,,Theo Bernard François Hernández,6704.0,,,,,,1,Regular Play,Ousmane Dembélé,5477.0,Right Wing,3,France,771,['6cede02c-8fea-4cde-91f5-6da254129847'],33,,,,,,,,,,,,,,,,,France,771,00:01:33.171,Pass,,,,,,,76.6,37.9,77.0,8.0,,,,,,77.0,8.0,France vs Poland,France,Poland
,,,,,,,,,,,,,,,0.974228,,,,,,,,,,,,,,,2b4f6f78-4c20-41ef-89e3-c07bce68820d,84,,,"[86.7, 9.4]",3938643,1,,,,1.7102364,,Left Foot,,,"[85.9, 15.1]",Ground Pass,,5.7558665,,,,Kylian Mbappé Lottin,3009.0,,,,,,1,Regular Play,Theo Bernard François Hernández,6704.0,Left Back,3,France,771,['bf7766a9-74b1-49f6-933d-67fad933620f'],37,,,,,,,,,,,,,,,,,France,771,00:01:37.091,Pass,,,,,,,86.7,9.4,85.9,15.1,,,,,,85.9,15.1,France vs Poland,France,Poland
