50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,,,,,,,,6b8609f0-e465-4b96-9cdb-3fa0cdc4f92f,2331,,"[92.3, 5.6]",3938637,59,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Nicola Zalewski,50502.0,Left Wing Back,94,Poland,789,['b6aca063-783f-4f1d-9045-ff38ff94a251'],13,,,,,,,,,,,,,,,,,Poland,789,00:14:13.288,Ball Receipt*,,,,,,,92.3,5.6,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,6b40d347-b14f-46eb-b0ff-421f5dfc2be6,2334,,"[105.2, 12.2]",3938637,59,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Piotr Zieliński,5660.0,Right Center Midfield,94,Poland,789,['fbe389c7-13af-4a21-80ce-72a07107ba2a'],15,,,,,,,,,,,,,,,,,Poland,789,00:14:15.493,Ball Receipt*,,,,,,,105.2,12.2,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,bc9879da-0590-403b-af32-e11bf956d535,2338,,"[111.8, 40.9]",3938637,59,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Adam Buksa,7663.0,Right Center Forward,94,Poland,789,['974e9861-df62-404e-8794-ac9ebd5fe23f'],17,,,,,,,,,,,,,,,,,Poland,789,00:14:17.687,Ball Receipt*,,,,,,,111.8,40.9,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,7974942b-6eee-4c34-81ed-5f3da312a765,2349,,"[79.3, 3.1]",3938637,60,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Piotr Zieliński,5660.0,Right Center Midfield,95,Poland,789,['71d39ba1-0faf-4089-b3e2-8cc9f24a22b4'],8,,,,,,,,,,,,,,,,,Poland,789,00:15:08.945,Ball Receipt*,,,,,,,79.3,3.1,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,781e5258-4d4b-4725-b31c-397d4a2fa13a,2353,,"[67.2, 6.0]",3938637,60,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Jakub Moder,29480.0,Left Center Midfield,95,Poland,789,['b57ed86d-1cd9-4a34-b7da-a5dfb2c180a3'],11,,,,,,,,,,,,,,,,,Poland,789,00:15:11.298,Ball Receipt*,,,,,,,67.2,6.0,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,bf88a603-c7aa-416e-8642-65fe5fd69158,2358,,"[103.1, 36.4]",3938637,60,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Adam Buksa,7663.0,Right Center Forward,95,Poland,789,"['2c1de4c0-2fab-4ff5-8246-dc3c002276f2', '77cd23df-dc1a-4a32-8bb7-83ed37b89730']",15,,,,,,,,,,,,,,,,,Poland,789,00:15:15.395,Ball Receipt*,True,,,,,,103.1,36.4,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,96c500cd-a7e2-42ba-9e6b-b747d3fc9516,2365,,"[15.1, 59.0]",3938637,60,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jerdy Schouten,15503.0,Right Defensive Midfield,96,Netherlands,941,['09169c08-c9fd-45ea-8a7a-38f48f8e318d'],21,,,,,,,,,,,,,,,,,Netherlands,941,00:15:21.625,Ball Receipt*,,,,,,,15.1,59.0,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,557363c7-c85a-48e6-8d6a-992cb216586d,2368,,"[3.2, 50.1]",3938637,60,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Bart Verbruggen,37274.0,Goalkeeper,96,Netherlands,941,['ed1a7b8d-546a-4e14-a635-820d0e6d5d5f'],23,,,,,,,,,,,,,,,,,Netherlands,941,00:15:23.509,Ball Receipt*,,,,,,,3.2,50.1,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,ce4b7cfe-2e4f-4db1-9170-25321a4a9f35,2371,,"[47.4, 48.0]",3938637,60,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Memphis Depay,2988.0,Center Forward,96,Netherlands,941,['b36f9e26-2c22-4b9d-9507-784fc641dbec'],25,,,,,,,,,,,,,,,,,Netherlands,941,00:15:25.194,Ball Receipt*,,,,,,,47.4,48.0,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,7c923dc2-259f-4320-ab22-2b60d534c73d,2375,,"[97.2, 14.2]",3938637,60,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Karol Świderski,8836.0,Left Center Forward,97,Poland,789,['b5952e51-017e-4fc7-ac7e-d2e964638954'],28,,,,,,,,,,,,,,,,,Poland,789,00:15:28.424,Ball Receipt*,,,,,,,97.2,14.2,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,e04c7f07-5f54-4f29-9121-8c783cb69c1c,2378,,"[109.2, 38.0]",3938637,60,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Adam Buksa,7663.0,Right Center Forward,97,Poland,789,['4a04feeb-5dca-4789-9845-59c5e6134ce7'],31,,,,,,,,,,,,,,,,,Poland,789,00:15:31.249,Ball Receipt*,,,,,,,109.2,38.0,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,f461dea6-d5af-4f42-8e14-85911bccce29,2383,,"[83.4, 62.1]",3938637,60,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Bartosz Slisz,15859.0,Center Defensive Midfield,97,Poland,789,['95c6ffb5-e31c-40e3-bc43-ec8da11adf03'],36,,,,,,,,,,,,,,,,,Poland,789,00:15:36.964,Ball Receipt*,,,,,,,83.4,62.1,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,c6340dab-3845-4178-86a8-eea1000644b6,2386,,"[82.7, 70.8]",3938637,60,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Przemysław Frankowski,7979.0,Right Wing Back,97,Poland,789,['485ac587-c7fe-4b58-b238-1e37f3fc64fa'],38,,,,,,,,,,,,,,,,,Poland,789,00:15:38.494,Ball Receipt*,,,,,,,82.7,70.8,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,a9e9bf7e-f995-423c-a31c-83e2cf9e6e5a,2389,,"[81.8, 63.0]",3938637,60,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jakub Moder,29480.0,Left Center Midfield,97,Poland,789,['706e11fd-a641-4291-9c32-0232e6120da4'],41,,,,,,,,,,,,,,,,,Poland,789,00:15:41.874,Ball Receipt*,,,,,,,81.8,63.0,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,577b298c-7213-4e63-ba40-5fff39c32fc2,2392,,"[111.0, 60.0]",3938637,60,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Karol Świderski,8836.0,Left Center Forward,97,Poland,789,['d4abf5d1-f7e2-456e-81b8-16a658abc9d5'],44,,,,,,,,,,,,,,,,,Poland,789,00:15:44.815,Ball Receipt*,,,,,,,111.0,60.0,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,dea6c2b0-3482-4c12-8793-84a9fe0fb2fd,2397,,"[23.0, 40.5]",3938637,61,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Virgil van Dijk,3669.0,Left Center Back,98,Netherlands,941,['92290cc2-51af-4f09-abfe-b44b8d2d618c'],59,,,,,,,,,,,,,,,,,Netherlands,941,00:16:59.843,Ball Receipt*,,,,,,,23.0,40.5,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,1a25f691-d604-4666-a178-36f1ec42e15b,2402,,"[56.4, 59.0]",3938637,62,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Donyell Malen,15582.0,Right Wing,98,Netherlands,941,['7e388b20-4d2e-436c-a6d0-938638b5646e'],3,,,,,,,,,,,,,,,,,Netherlands,941,00:17:03.869,Ball Receipt*,,,,,,,56.4,59.0,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,9445a344-ce5c-442c-b3ed-71a89ce05866,2406,,"[110.5, 14.7]",3938637,62,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Karol Świderski,8836.0,Left Center Forward,99,Poland,789,['9e308860-ea69-4ebd-a2fa-64d49a67a14f'],9,,,,,,,,,,,,,,,,,Poland,789,00:17:09.104,Ball Receipt*,,,,,,,110.5,14.7,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,8b511e65-1221-4ad0-90dd-dd21b99847fd,2409,,"[108.9, 32.4]",3938637,62,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jakub Moder,29480.0,Left Center Midfield,99,Poland,789,['6644a361-3728-471b-850f-8237d5bd743e'],9,,,,,,,,,,,,,,,,,Poland,789,00:17:09.826,Ball Receipt*,,,,,,,108.9,32.4,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,2b430da9-745b-4735-a265-e178e5fe6555,2414,,"[94.0, 20.9]",3938637,62,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Karol Świderski,8836.0,Left Center Forward,99,Poland,789,['f94582d1-73fc-4505-a6a7-fe6732e6ff9a'],15,,,,,,,,,,,,,,,,,Poland,789,00:17:15.742,Ball Receipt*,,,,,,,94.0,20.9,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,3f512d71-de16-4372-bdad-a3afb312996f,2417,,"[83.4, 14.0]",3938637,62,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Nicola Zalewski,50502.0,Left Wing Back,99,Poland,789,['ec311e22-d385-4362-b841-94f7d9b18c85'],17,,,,,,,,,,,,,,,,,Poland,789,00:17:17.490,Ball Receipt*,,,,,,,83.4,14.0,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,ec8337fd-329e-4866-a39d-05cb26772eca,2420,,"[76.4, 20.2]",3938637,62,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jakub Piotr Kiwior,44166.0,Left Center Back,99,Poland,789,['35c407d2-c2e4-4432-9adb-84c7bc07d677'],19,,,,,,,,,,,,,,,,,Poland,789,00:17:19.481,Ball Receipt*,,,,,,,76.4,20.2,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,617c7e8f-3aae-44d8-a100-eacd2b1b72c6,2423,,"[84.9, 17.8]",3938637,62,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jakub Moder,29480.0,Left Center Midfield,99,Poland,789,['64e5595c-23ed-40a6-8b12-c6796978f457'],20,,,,,,,,,,,,,,,,,Poland,789,00:17:20.736,Ball Receipt*,,,,,,,84.9,17.8,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,,,,,,,,,,e259d26e-9ff4-425c-925f-7f64014e68fb,2426,,"[86.4, 8.0]",3938637,62,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Nicola Zalewski,50502.0,Left Wing Back,99,Poland,789,['2b7f6e66-b662-4269-b3db-45d623247bf9'],22,,,,,,,,,,,,,,,,,Poland,789,00:17:22.039,Ball Receipt*,,,,,,,86.4,8.0,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
