50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,1.418246,,,,,,,,,,6fcac2c4-a53f-4c4b-b5b0-210d962b9a1b,3284,,"[9.0, 16.0]",3941022,83,,,,-0.012986283,,Right Foot,,,"[24.4, 15.8]",,High Pass,,15.4012985,Incomplete,,Muhammed Kerem Aktürkoğlu,49689.0,,,,,,2,Regular Play,Ferdi Erenay Kadıoğlu,30438.0,Left Wing Back,150,Austria,915,"['75aeff66-2c7c-4ccd-ba9c-30f50fdc5949', '7d631973-b156-4700-ab68-135904cc8f30', 'd3b9f917-f52e-4510-81ee-476c3d5bb08e']",27,,,,,,,,,,,,,,,,Turkey,909,00:38:27.472,Pass,True,,,,,,9.0,16.0,24.4,15.8,,,,,,24.4,15.8,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,1.772789,,,,,,,,,,519d6a06-02d0-4bec-af20-4d751b25121c,3289,,"[97.5, 61.9]",3941022,83,,,,-0.9928944,,Right Foot,,,"[105.0, 50.4]",,Ground Pass,,13.72953,,,Marko Arnautović,3325.0,,,,,,2,Regular Play,Florian Grillitsch,11396.0,Left Defensive Midfield,150,Austria,915,"['90c8381d-a647-427e-9650-e84806204ce0', 'eb6d2f89-e293-4fa6-8819-7e42fd939c35']",29,,,,,,,,,,,,,,,,Austria,915,00:38:29.811,Pass,True,,,,,,97.5,61.9,105.0,50.4,,,,,,105.0,50.4,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,1.064212,,,,,,,,,,b074e1ae-9e5b-4101-a0a6-f50e4a17eee2,3300,,"[87.7, 61.7]",3941022,83,,,,0.4008886,,Right Foot,,,"[102.8, 68.1]",,Ground Pass,,16.400305,,,Stefan Posch,11821.0,,,,,Recovery,2,Regular Play,Kevin Danso,11820.0,Right Center Back,150,Austria,915,['e9880f32-f9ee-47ae-bff0-e4b7fd9a747b'],37,,,,,,,,,,,,,,,,Austria,915,00:38:37.248,Pass,,,,,,,87.7,61.7,102.8,68.1,,,,,,102.8,68.1,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,1.801072,,,,,,,,,,6889b832-10d3-4122-b04e-b9eca3178080,3303,,"[106.4, 69.8]",3941022,83,,,,-1.3367741,c29be834-7753-469d-a3c8-bddf8d2e18e9,Right Foot,True,,"[114.1, 37.5]",,High Pass,,33.20512,,,Christoph Baumgartner,24977.0,True,,,,,2,Regular Play,Stefan Posch,11821.0,Right Back,150,Austria,915,['25d4353c-3d5b-4724-b4eb-12a76f7e8ad4'],39,,,,,,,,,,,,,,,,Austria,915,00:38:39.595,Pass,,,,,,,106.4,69.8,114.1,37.5,,,,,,114.1,37.5,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,3.800715,,,,,,,,,,ed192b23-0e74-47b2-bf25-59340423750a,3308,,"[7.0, 46.7]",3941022,84,,,,0.231419,,Right Foot,,,"[74.9, 62.7]",,High Pass,,69.75966,Incomplete,,Barış Alper Yılmaz,134209.0,,,,,Goal Kick,2,From Goal Kick,Fehmi Mert Günok,30310.0,Goalkeeper,151,Turkey,909,"['a1533d2d-bb1e-44d0-a076-a7433e4ab4b3', 'b77d5e02-c444-42c7-939d-40ad57fafaf7']",10,,,,,,,,,,,,,,,,Turkey,909,00:39:10.397,Pass,,,,,,,7.0,46.7,74.9,62.7,,,,,,74.9,62.7,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,3.064492,,,,,,,,,,c7ec3a41-0780-46ba-9a3c-21e84e4b369f,3311,,"[42.2, 27.1]",3941022,84,,,,-0.22194609,,Right Foot,,,"[87.4, 16.9]",,High Pass,,46.336594,Incomplete,,Christoph Baumgartner,24977.0,,,,,Recovery,2,From Goal Kick,Kevin Danso,11820.0,Right Center Back,151,Turkey,909,"['24e5e5fc-01ea-49b1-b5d0-e8511a2702eb', '8f54e400-1e04-4bf5-8906-e7f2ace40a00']",15,,,,,,,,,,,,,,,,Austria,915,00:39:15.968,Pass,,,,,,,42.2,27.1,87.4,16.9,,,,,,87.4,16.9,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,1.627594,,,,,,,,,,8f54e400-1e04-4bf5-8906-e7f2ace40a00,3313,,"[32.7, 63.2]",3941022,84,,,,1.1621095,,Head,,,"[38.2, 75.9]",,Low Pass,,13.839798,,,Mert Müldür,10826.0,,,,,Recovery,2,From Goal Kick,Kaan Ayhan,12293.0,Right Center Back,151,Turkey,909,"['71ab7983-60c0-4fa0-a281-622eed80e529', 'c7ec3a41-0780-46ba-9a3c-21e84e4b369f']",19,,,,,,,,,,,,,,,,Turkey,909,00:39:19.033,Pass,,,,,,,32.7,63.2,38.2,75.9,,,,,,38.2,75.9,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,1.257198,,,,,,,,,,99101777-c3be-413e-ac2f-69f097809333,3317,,"[52.5, 78.1]",3941022,84,,,,-0.11197939,,Right Foot,,,"[77.4, 75.3]",,High Pass,,25.056934,Incomplete,,Barış Alper Yılmaz,134209.0,,,,,,2,From Goal Kick,Mert Müldür,10826.0,Right Wing Back,151,Turkey,909,"['0759dcca-fad6-45af-bd47-42d5c120c16a', 'd8469609-d0a2-4e9c-87d6-88c056dc7a69', 'dd5ff172-0d02-4793-a0e2-e2c339cd93d9']",23,,,,,,,,,,,,,,,,Turkey,909,00:39:23.612,Pass,True,,,,,,52.5,78.1,77.4,75.3,,,,,,77.4,75.3,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,True,,,,,,2.248451,,,,,,,,,,0759dcca-fad6-45af-bd47-42d5c120c16a,3319,,"[42.7, 4.8]",3941022,84,,,,-0.5585993,,Head,,,"[48.3, 1.3]",,Low Pass,,6.603787,,,Michael Gregoritsch,8309.0,,,,,Interception,2,Regular Play,Maximilian Wöber,8068.0,Left Center Back,152,Austria,915,"['99101777-c3be-413e-ac2f-69f097809333', 'd2afda16-8a4e-437f-bea4-c9e88e8f034c']",24,,,,,,,,,,,,,,,,Austria,915,00:39:24.869,Pass,,,,,,,42.7,4.8,48.3,1.3,,,,,,48.3,1.3,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,0.181906,,,,,,,,,,fd9efc48-4abe-46c6-a92f-ccb7da940c20,3322,,"[49.3, 1.3]",3941022,84,,,,0.5456551,,Left Foot,,,"[52.1, 3.0]",,Low Pass,,3.275668,Incomplete,,,,,,,,,2,Regular Play,Michael Gregoritsch,8309.0,Left Center Forward,152,Austria,915,['4ab0c8de-d196-4e4e-90dc-a39385b2ad3c'],28,,,,,,,,,,,,,,,,Austria,915,00:39:28.373,Pass,,,,,,,49.3,1.3,52.1,3.0,,,,,,52.1,3.0,Austria vs Turkey,Austria,Turkey
