50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,,0.996038,,,,,,,,,,,,,,c63b1126-af83-4803-ab26-b1e7e1a8908d,60,,"[85.7, 21.3]",3938641,0,,,,1.9693187,0ccb988f-6d7b-4224-b755-1303580edd4f,Right Foot,,,,"[76.9, 42.2]",,Ground Pass,,22.67708,,,,Stefan Posch,11821.0,True,,,,,1,From Throw In,Nicolas Seiwald,39460.0,Right Defensive Midfield,3,Austria,915,"['5b1b3eb7-5323-46cd-9ecf-927780bb8f62', 'e1d77b86-846e-4c9d-9125-ece5f5a6d6c5']",57,,,,,,,,,,,,,,,,,Austria,915,00:00:57.352,Pass,True,,,,,,85.7,21.3,76.9,42.2,,,,,,76.9,42.2,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,2.149925,,,,,,,,,,,,,,9ffd5e35-9421-4cb4-8a43-92bc63124eef,67,,"[9.3, 37.3]",3938641,1,True,,,-1.0460006,,Keeper Arm,,,,"[13.7, 29.7]",,Ground Pass,,8.781799,,,,Paweł Dawidowicz,30739.0,,,,,,1,From Keeper,Wojciech Szczęsny,5669.0,Goalkeeper,5,Poland,789,['ff13e335-357a-461e-b70c-6b923c05b544'],12,,,,,,,,,,,,,,,,,Poland,789,00:01:12.646,Pass,,,,,,,9.3,37.3,13.7,29.7,,,,,,13.7,29.7,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,0.923685,,,,,,,,,,,,,,99deeb84-d8cd-4812-a59d-6e13a73a12d5,69,,"[21.4, 25.5]",3938641,1,,,,-1.1595026,,Right Foot,,,,"[29.6, 6.7]",,Ground Pass,,20.510485,,,,Jakub Piotr Kiwior,44166.0,,,,,,1,From Keeper,Paweł Dawidowicz,30739.0,Center Back,5,Poland,789,['2e1518b7-2e85-4f9c-9bd1-d092f8e81588'],14,,,,,,,,,,,,,,,,,Poland,789,00:01:14.853,Pass,,,,,,,21.4,25.5,29.6,6.7,,,,,,29.6,6.7,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,1.14362,,,,,,,,,,,,,,06a04a57-722c-4a66-b1db-ecdfa511407b,73,,"[33.7, 3.4]",3938641,1,,,,-0.15722805,,Left Foot,,,,"[50.1, 0.8]",,Ground Pass,,16.604818,,,,Nicola Zalewski,50502.0,,,,,,1,From Keeper,Jakub Piotr Kiwior,44166.0,Left Center Back,5,Poland,789,['b7253e39-4f03-41ad-8a24-59a671c64d59'],16,,,,,,,,,,,,,,,,,Poland,789,00:01:16.708,Pass,,,,,,,33.7,3.4,50.1,0.8,,,,,,50.1,0.8,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,0.152231,,,,,,,,,,,,,,ae096ec6-4419-4b13-a82b-ad967dc7f923,77,,"[48.4, 1.5]",3938641,1,,,,1.3439975,,Right Foot,,,,"[48.7, 2.8]",,Ground Pass,,1.3341664,,Incomplete,,,,,,,,,1,From Keeper,Nicola Zalewski,50502.0,Left Wing Back,5,Poland,789,['9531aff7-01d1-4131-8dd6-5b6d6b39d06f'],18,,,,,,,,,,,,,,,,,Poland,789,00:01:18.731,Pass,,,,,,,48.4,1.5,48.7,2.8,,,,,,48.7,2.8,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,2.271238,,,,,,,,,,,,,,62ce3aff-48e4-4470-85ec-b42d03b33c96,79,,"[80.4, 69.0]",3938641,1,,,,1.741836,,Right Foot,,,,"[78.5, 80.0]",,High Pass,,11.162885,,Out,,Stefan Posch,11821.0,,,,,Recovery,1,From Keeper,Marko Arnautović,3325.0,Center Forward,5,Poland,789,['73c23efe-fda1-4971-b52b-8ec80b312b34'],19,,,,,,,,,,,,,,,,,Austria,915,00:01:19.977,Pass,,,,,,,80.4,69.0,78.5,80.0,,,,,,78.5,80.0,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,1.638966,,,,,,,,,,,,,,a404ae3f-664a-479e-bd3d-71880cb0f028,81,,"[45.2, 0.1]",3938641,1,,,,0.31259748,,,,,,"[71.5, 8.6]",,High Pass,,27.639465,,,,Krzysztof Piątek,12493.0,,,,,Throw-in,1,From Throw In,Jakub Piotr Kiwior,44166.0,Left Center Back,6,Poland,789,['899d0960-e313-492c-9dc3-f9bdbefc2f09'],34,,,,,,,,,,,,,,,,,Poland,789,00:01:34.510,Pass,,,,,,,45.2,0.1,71.5,8.6,,,,,,71.5,8.6,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,2.926565,,,,,,,,,,,,,,4b688c35-e252-40f9-bf7c-b70e9d51d041,83,,"[71.5, 8.6]",3938641,1,,,,1.2228421,,Right Foot,,,,"[82.2, 38.1]",,High Pass,,31.380568,,Incomplete,,,,,,,,,1,From Throw In,Krzysztof Piątek,12493.0,Right Center Forward,6,Poland,789,['cd6c5582-3150-4572-ad85-44a770674ac0'],36,,,,,,,,,,,,,,,,,Poland,789,00:01:36.149,Pass,,,,,,,71.5,8.6,82.2,38.1,,,,,,82.2,38.1,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,0.827184,,,,,,,,,,,,,,98a85e38-0b64-4057-bf57-01427922849b,86,,"[35.0, 43.6]",3938641,1,,,,1.8248041,,Right Foot,,,,"[32.3, 54.0]",,Ground Pass,,10.744766,,,,Philipp Lienhart,8931.0,,,,,,1,Regular Play,Philipp Mwene,13315.0,Left Back,7,Austria,915,['853f931d-c3f2-44e8-87b4-246ba9489a1c'],41,,,,,,,,,,,,,,,,,Austria,915,00:01:41.423,Pass,,,,,,,35.0,43.6,32.3,54.0,,,,,,32.3,54.0,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,1.492373,,,,,,,,,,,,,,edc65a0f-0b6b-4761-bbdb-80b539c9df5a,89,,"[32.1, 53.8]",3938641,1,,,,1.348541,,Right Foot,,,,"[36.1, 71.5]",,Ground Pass,,18.146349,,,,Gernot Trauner,8778.0,,,,,,1,Regular Play,Philipp Lienhart,8931.0,Left Center Back,7,Austria,915,['f84235a6-9baf-4877-86e2-932df44426fb'],43,,,,,,,,,,,,,,,,,Austria,915,00:01:43.520,Pass,,,,,,,32.1,53.8,36.1,71.5,,,,,,36.1,71.5,Poland vs Austria,Poland,Austria
