50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,"[53.3, 26.6]",,,,,,,,,,,,0.958591,,,,,,,,,,,,b571128f-5f4f-4929-a635-0e2fd441b49d,2530,,"[48.7, 26.4]",3940878,59,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Fabian Rieder,50436.0,Right Attacking Midfield,97,Switzerland,773,"['2e8196aa-55b8-43ee-92fc-bd92b2688dfb', '6d0174fc-e34b-4c2e-8271-32d83da8ac05', 'cb212c2a-2433-46e5-b75a-1c47593a4ef6']",53,,,,,,,,,,,,,,,,,Switzerland,773,00:14:53.372,Carry,True,,,,,,48.7,26.4,,,53.3,26.6,,,,53.3,26.6,Switzerland vs Italy,Switzerland,Italy
,,,,,"[76.4, 8.3]",,,,,,,,,,,,1.927044,,,,,,,,,,,,354b9ed3-f434-4add-9043-ec880f617272,2536,,"[69.7, 10.7]",3940878,60,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Michel Aebischer,16016.0,Left Wing Back,98,Switzerland,773,"['4ed08f0e-720e-4cdf-b434-30bfe1b6f3bf', '7a524d08-97a5-4889-932c-e30a0645527e', 'b0331a7b-719d-43db-9280-81fde3479114']",8,,,,,,,,,,,,,,,,,Switzerland,773,00:15:08.846,Carry,True,,,,,,69.7,10.7,,,76.4,8.3,,,,76.4,8.3,Switzerland vs Italy,Switzerland,Italy
,,,,,"[76.6, 2.7]",,,,,,,,,,,,4.104623,,,,,,,,,,,,2dcafacc-079e-4d4e-b776-ff7022763502,2540,,"[78.6, 2.0]",3940878,60,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Ruben Vargas,30401.0,Left Attacking Midfield,98,Switzerland,773,"['3e35a473-4460-4873-bee2-e97feb09df97', '6603c1e1-b9eb-427f-a429-6e760eb228bc']",11,,,,,,,,,,,,,,,,,Switzerland,773,00:15:11.668,Carry,,,,,,,78.6,2.0,,,76.6,2.7,,,,76.6,2.7,Switzerland vs Italy,Switzerland,Italy
,,,,,"[41.1, 8.5]",,,,,,,,,,,,2.438581,,,,,,,,,,,,6b967df2-f1f4-4c0a-a022-6e90134f28b7,2543,,"[57.6, 7.3]",3940878,60,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Ricardo Iván Rodríguez Araya,5544.0,Left Center Back,98,Switzerland,773,"['e5ab927e-c5ce-44cd-ae53-fb724a97a73e', 'f3a5e4d7-468c-42f9-ba5b-bd2b2314b271']",17,,,,,,,,,,,,,,,,,Switzerland,773,00:15:17.020,Carry,,,,,,,57.6,7.3,,,41.1,8.5,,,,41.1,8.5,Switzerland vs Italy,Switzerland,Italy
,,,,,"[16.4, 32.4]",,,,,,,,,,,,2.895041,,,,,,,,,,,,3e141638-5370-4091-a862-54f3bb55c9e9,2546,,"[28.4, 15.5]",3940878,60,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Manuel Obafemi Akanji,5549.0,Center Back,98,Switzerland,773,"['106b7621-58cd-4210-b1bd-1828f6ae6f48', '1a1d77e4-eb90-4b1c-9ce5-4efc64cfd95b', '59caf8c4-256f-4c65-9557-73090628b337']",20,,,,,,,,,,,,,,,,,Switzerland,773,00:15:20.969,Carry,True,,,,,,28.4,15.5,,,16.4,32.4,,,,16.4,32.4,Switzerland vs Italy,Switzerland,Italy
,,,,,"[12.2, 54.3]",,,,,,,,,,,,1.793367,,,,,,,,,,,,6b5987cf-18f5-46aa-872a-df36235c81a0,2550,,"[9.6, 49.6]",3940878,60,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Yann Sommer,5550.0,Goalkeeper,98,Switzerland,773,"['bd0de679-8eb5-47d7-928e-995a65ea0ddf', 'c86fcb42-db6d-4df5-bc4b-2cc7307e9640', 'd794c91b-1c54-47b7-a8f1-ba1aed293f66']",25,,,,,,,,,,,,,,,,,Switzerland,773,00:15:25.247,Carry,True,,,,,,9.6,49.6,,,12.2,54.3,,,,12.2,54.3,Switzerland vs Italy,Switzerland,Italy
,,,,,"[21.4, 40.2]",,,,,,,,,,,,0.68514,,,,,,,,,,,,e6500720-1607-4927-98f8-b6f2cf74596d,2554,,"[21.6, 38.6]",3940878,60,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Granit Xhaka,3500.0,Left Defensive Midfield,98,Switzerland,773,"['0322276c-c474-4216-8494-ee0e258df1a0', '38b166e1-4342-4d34-ab45-04f3a9aaf3e4', '7e37e544-5f3b-4349-903f-46f5f5e003b6']",28,,,,,,,,,,,,,,,,,Switzerland,773,00:15:28.392,Carry,True,,,,,,21.6,38.6,,,21.4,40.2,,,,21.4,40.2,Switzerland vs Italy,Switzerland,Italy
,,,,,"[8.2, 44.0]",,,,,,,,,,,,0.159998,,,,,,,,,,,,ea0e9133-269b-4efb-94de-26bb78c122cc,2558,,"[8.2, 44.0]",3940878,60,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Yann Sommer,5550.0,Goalkeeper,98,Switzerland,773,"['6a25484c-5f4b-4d1e-98e8-758f78beaf4d', 'a4a9824d-7a49-45e5-9ce1-d0e00f4c3a39']",30,,,,,,,,,,,,,,,,,Switzerland,773,00:15:30.193,Carry,,,,,,,8.2,44.0,,,8.2,44.0,,,,8.2,44.0,Switzerland vs Italy,Switzerland,Italy
,,,,,"[18.0, 21.9]",,,,,,,,,,,,1.463334,,,,,,,,,,,,e70ff800-8ad7-461b-bfb0-cf63b9d49862,2561,,"[9.8, 27.9]",3940878,60,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Manuel Obafemi Akanji,5549.0,Center Back,98,Switzerland,773,"['441955e1-8627-489a-b53f-0e0e6c80d08f', '5a6403b0-66a2-4f07-a726-3d67aea16a1c', 'e4a9346b-aa8b-4db3-8779-702d6e69359f']",31,,,,,,,,,,,,,,,,,Switzerland,773,00:15:31.326,Carry,True,,,,,,9.8,27.9,,,18.0,21.9,,,,18.0,21.9,Switzerland vs Italy,Switzerland,Italy
,,,,,"[48.0, 2.5]",,,,,,,,,,,,2.080266,,,,,,,,,,,,aa5d0023-f056-4a58-bc11-c3466cb10774,2565,,"[35.7, 5.9]",3940878,60,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Ricardo Iván Rodríguez Araya,5544.0,Left Center Back,98,Switzerland,773,"['6cebbdad-7420-4722-b616-9a54a86015a1', '73aefef3-5143-4b55-89bb-b66ef344ae15', '9570b86f-83fb-4221-b2ac-dcfe84153152']",34,,,,,,,,,,,,,,,,,Switzerland,773,00:15:34.434,Carry,True,,,,,,35.7,5.9,,,48.0,2.5,,,,48.0,2.5,Switzerland vs Italy,Switzerland,Italy
