50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,"[93.5, 46.6]",,,,,,,,,,,,2.565465,,,,,,,,,,,,,0efe851c-566a-421a-a6a6-81857417abaf,2076,,,"[92.1, 53.8]",3930167,49,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Luka Sučić,39490.0,Center Attacking Midfield,79,Croatia,785,"['9b9ff2d0-d3b1-47aa-8b68-dd7e529c1c8c', 'cac3f233-1968-435c-bd50-1193d33d72c0']",54,,,,,,,,,,,,,,,,,Croatia,785,00:04:54.662,Carry,,,,,,,92.1,53.8,,,93.5,46.6,,,,93.5,46.6,Croatia vs Albania,Croatia,Albania
,,,,,"[111.2, 13.8]",,,,,,,,,,,,3.770248,,,,,,,,,,,,,f88fd9e9-e687-4a11-88ad-a824de07459a,2079,,,"[101.8, 7.5]",3930167,49,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Ivan Perišić,5474.0,Left Back,79,Croatia,785,"['3d7c397f-ef5c-4cd7-a889-83d973d8a110', '3e0d88c5-d6b5-4425-a805-ab0ae7e015b0']",59,,,,,,,,,,,,,,,,,Croatia,785,00:04:59.102,Carry,,,,,,,101.8,7.5,,,111.2,13.8,,,,111.2,13.8,Croatia vs Albania,Croatia,Albania
,,,,,"[62.2, 42.1]",,,,,,,,,,,,4.636946,,,,,,,,,,,,,42b15655-73a6-432d-a54b-11460d7060ad,2095,,,"[43.0, 59.0]",3930167,51,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Luka Sučić,39490.0,Center Attacking Midfield,82,Croatia,785,"['1c66acec-bf75-4a54-8f2c-94530d42e306', '3a7102a8-df16-4c2a-ad3e-a07c2b3d8165', 'f936c76d-7cbc-4c66-aad8-d544a1948add']",12,,,,,,,,,,,,,,,,,Croatia,785,00:06:12.072,Carry,True,,,,,,43.0,59.0,,,62.2,42.1,,,,62.2,42.1,Croatia vs Albania,Croatia,Albania
,,,,,"[70.3, 57.1]",,,,,,,,,,,,2.055863,,,,,,,,,,,,,70e3e580-eaa9-47ac-a15b-92e62312ddd0,2100,,,"[71.0, 49.3]",3930167,51,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Andrej Kramarić,5460.0,Left Wing,82,Croatia,785,"['597fbec8-3754-4022-8017-693a24c0b4ca', 'c191e64f-882e-4176-8953-e9146f784a34', 'd4332c3d-8b14-4757-b39a-438920ab8c40']",17,,,,,,,,,,,,,,,,,Croatia,785,00:06:17.561,Carry,True,,,,,,71.0,49.3,,,70.3,57.1,,,,70.3,57.1,Croatia vs Albania,Croatia,Albania
,,,,,"[86.7, 55.0]",,,,,,,,,,,,5.012666,,,,,,,,,,,,,dcfb2b49-7764-433a-9f22-2280b235705a,2104,,,"[79.4, 74.4]",3930167,51,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mario Pašalić,11603.0,Right Wing,82,Croatia,785,"['015620bf-5f8a-4417-9e50-0ecf3f15bae7', '4045403f-8364-47b8-9c03-8f585d4422de', '75be7174-3f33-4c4c-ab13-77701f0895cf']",20,,,,,,,,,,,,,,,,,Croatia,785,00:06:20.956,Carry,True,,,,,,79.4,74.4,,,86.7,55.0,,,,86.7,55.0,Croatia vs Albania,Croatia,Albania
,,,,,"[93.2, 47.2]",,,,,,,,,,,,3.515598,,,,,,,,,,,,,5d1d616c-f112-4a6b-ba38-e9af7ecdb120,2110,,,"[85.0, 42.1]",3930167,51,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mateo Kovačić,5456.0,Left Defensive Midfield,82,Croatia,785,"['e1d13509-1252-4f05-8103-9fbe9adb4d84', 'e52ebd3d-804d-4d01-ad89-40e55629391d']",27,,,,,,,,,,,,,,,,,Croatia,785,00:06:27.443,Carry,,,,,,,85.0,42.1,,,93.2,47.2,,,,93.2,47.2,Croatia vs Albania,Croatia,Albania
,,,,,"[107.7, 73.0]",,,,,,,,,,,,1.603357,,,,,,,,,,,,,6a4b854f-325b-44c4-a008-d67fa7352d75,2113,,,"[103.5, 75.0]",3930167,51,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Josip Juranović,29163.0,Right Back,82,Croatia,785,"['96f2d053-f032-4275-97e4-7ffed2542bcc', 'c23ddbda-3a65-4fc7-b293-e9d7afdd492d']",32,,,,,,,,,,,,,,,,,Croatia,785,00:06:32.486,Carry,,,,,,,103.5,75.0,,,107.7,73.0,,,,107.7,73.0,Croatia vs Albania,Croatia,Albania
,,,,,"[10.1, 42.0]",,,,,,,,,,,,1.119686,,,,,,,,,,,,,9afb06eb-c399-4ea0-bed1-db3e8af0faa8,2119,,,"[11.7, 35.6]",3930167,51,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Qazim Laçi,7531.0,Right Center Midfield,82,Croatia,785,"['209d7a41-6550-4323-99fa-87245f291d99', '43470cba-4d47-4c94-bc23-010d50dbab5d', 'b4e74aef-3cdd-4b0b-9407-a9bdf722acd8']",36,,,,,,,,,,,,,,,,,Albania,906,00:06:36.999,Carry,True,,,,,,11.7,35.6,,,10.1,42.0,,,,10.1,42.0,Croatia vs Albania,Croatia,Albania
,,,,,"[108.2, 4.8]",,,,,,,,,,,,7.085899,,,,,,,,,,,,,6d54256c-1abc-40f1-b0fc-306e9a27b0a1,2124,,,"[92.1, 20.4]",3930167,51,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Joško Gvardiol,33018.0,Left Center Back,82,Croatia,785,"['8eb1f463-3647-4bb6-b9c5-97cc5d1187b5', 'a9ea861f-f727-47fa-9b34-ddda01d906b4', 'be92f96a-df25-4963-9726-d5c8028af842']",40,,,,,,,,,,,,,,,,,Croatia,785,00:06:40.128,Carry,True,,,,,,92.1,20.4,,,108.2,4.8,,,,108.2,4.8,Croatia vs Albania,Croatia,Albania
,,,,,"[120.0, 10.1]",,,,,,,,,,,,2.825613,,,,,,,,,,,,,1de2f0e5-d034-44bc-a4b2-5ffe8f2d7cd7,2130,,,"[108.2, 4.8]",3930167,51,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Joško Gvardiol,33018.0,Left Center Back,82,Croatia,785,"['0c1acc17-6f5a-4599-ad86-6d3f14f4baa9', '426c6365-cc0d-44db-aa00-eebb982e1640', 'a4b79cfc-0ff2-4dda-9d5c-eadf2c58a31d', 'a939c454-33cb-4090-8312-ae19cf8e8f45', 'a9ea861f-f727-47fa-9b34-ddda01d906b4']",47,,,,,,,,,,,,,,,,,Croatia,785,00:06:47.214,Carry,True,,,,,,108.2,4.8,,,120.0,10.1,,,,120.0,10.1,Croatia vs Albania,Croatia,Albania
